time/env_steps,time/rollout_s,time/gae_s,time/update_s,time/est_s,time/iter_s,time/sps,rollout/ep_len_mean,rollout/ep_ret_mean,rollout/episodes,rollout/finishes,rollout/falls,rollout/t_line_mean,rollout/sprint_d_mean,rollout/reward_mean,rollout/swing_frac_min,rollout/thermal_max,rollout/torque_util,rollout/commit_frac,rollout/resync_frac,diag/freq_hz_median,diag/freq_lo_rail,diag/freq_hi_rail,diag/res_sat_sampled,train/loss_pg,train/loss_vf,train/entropy,train/loss_sym,train/bound_loss,train/mu_out_frac,train/approx_kl,train/clipfrac,train/n_minibatch_updates,train/early_stop,train/ent_coef,train/log_std_clamp,train/std_mean,train/lr,est/vel_rmse,reward_terms/action_rate,reward_terms/air_time,reward_terms/alive,reward_terms/ang_xy,reward_terms/angmom,reward_terms/brake_foot,reward_terms/clearance,reward_terms/duty_sym,reward_terms/energy,reward_terms/foot_flat,reward_terms/foot_slip,reward_terms/fwd_speed,reward_terms/heading,reward_terms/height,reward_terms/hip_roll,reward_terms/knob,reward_terms/lane,reward_terms/lat_vel,reward_terms/motor_vel,reward_terms/overrun,reward_terms/phase_contact,reward_terms/residual,reward_terms/residual_rate,reward_terms/spec_cycle,reward_terms/stance,reward_terms/stance_time,reward_terms/step_rate,reward_terms/stop,reward_terms/swing_floor,reward_terms/thermal,reward_terms/time,reward_terms/torque,reward_terms/track,reward_terms/upright,reward_terms/vz,reward_terms/yaw_rate,curriculum/dr_scale,curriculum/sprint_dist_m,curriculum/stance_ratio,curriculum/eff_scale,curriculum/ctrl_jitter_ms,curriculum/ctrl_drop_prob,curriculum/bringup_scale,curriculum/bringup_p_drop,curriculum/bringup_p_held,curriculum/cmd_zero_p,curriculum/cmd_lo,curriculum/cmd_hi,curriculum/track_sigma,curriculum/shape_scale,curriculum/stoplight_prob,curriculum/gait_freq_lo,curriculum/hold_s,curriculum/hold_z,curriculum/hold_pitch,curriculum/hold_roll,curriculum/start_red_s,curriculum/release_vx,curriculum/release_vy,curriculum/release_vz,time/elapsed_s
36864,50.636481285095215,0.5683653354644775,3.2818045616149902,1.634793758392334,58.004393100738525,635.5380535890162,6.370967741935484,-90.48461151123047,62,0,62,nan,0.0005983849405311048,1.19390070438385,0.1569281667470932,0.7051639556884766,0.22787407040596008,0.112548828125,0.0,2.801710367202759,0.07182453603277898,0.08556278621354543,0.2084373191550926,0.010978405674298605,107.2760009765625,11.32720947265625,1.3524131774902344,1.2847517306605974e-05,0.001089109495903055,0.03334240863720576,0.3114420572916667,3,1.0,0.01,-0.3567,0.6997876167297363,0.000299996929243207,0.12427228457788445,-0.004547982942312956,0.0,1.5,-0.05036630854010582,-0.01549037266522646,0.0,0.018948733806610107,0.0,0.0,-0.6011962890625,-0.2007823884487152,0.0,-0.0005152268568053842,0.0,-0.011191315948963165,-0.005747315939515829,0.0,-0.003305016551166773,0.0,0.0,-0.03944367915391922,-0.0718097984790802,-0.012037679553031921,0.0,-0.03567218407988548,0.0,-0.0051725259982049465,0.0,0.0,0.0,0.0,0.0,2.423269510269165,-0.037451088428497314,-0.0090167336165905,-0.11432390660047531,0.15,100.0,0.65,0.0,0.0,0.0,1.0,-1.0,-1.0,0.0,0.15,0.45,1.5,0.15,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.177340269088745
73728,48.94321036338806,0.0009167194366455078,0.057558298110961914,0.07767820358276367,49.150099754333496,750.0289820157766,15.0938123752495,-81.05774688720703,501,0,501,nan,0.0036738018970936537,-0.3280216455459595,0.5109592080116272,0.7056468725204468,0.2160450518131256,0.011420355902777778,0.0,2.789073944091797,0.0997624703087886,0.08788598574821853,0.2849799262152778,0.014614285280307135,601.4056803385416,6.826112111409505,5.643735249837239,0.007014706109960874,0.07821676135063171,0.03446817398071289,0.2875162760416667,3,1.0,0.01,-0.3567,0.6996989250183105,0.00029999384423717856,1.5643933078793424,-0.004628425929695368,0.0,1.5,-0.08240026235580444,-0.02757149189710617,0.0,0.07233789563179016,0.0,0.0,-0.4381239116191864,-0.1307104080915451,0.0,-0.012681487947702408,0.0,-0.02457411400973797,-0.005753867328166962,0.0,-0.0068094972521066666,0.0,0.0,-0.05483579635620117,-0.08440589159727097,-0.014325284399092197,0.0,-0.08026532828807831,0.0,-0.00485188839957118,0.0,0.0,0.0,0.0,0.0,2.2562496662139893,-0.2562894821166992,-0.01592392474412918,-0.5350501537322998,0.15,100.0,0.65,0.0,0.0,0.0,1.0,-1.0,-1.0,0.0,0.15,0.45,1.49917056,0.15,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.34637761116028
110592,1.7181732654571533,0.0006606578826904297,0.05106997489929199,0.07327079772949219,1.9066154956817627,19334.774968741127,22.728,-76.75666046142578,1000,0,1000,nan,0.006030216813087463,-1.9629454612731934,0.4875759482383728,0.7053648829460144,0.22305434942245483,0.034016927083333336,0.0,2.731055736541748,0.11004784688995216,0.07974481658692185,0.2571207682291667,0.013323809951543808,1005.5428873697916,7.853963216145833,3.947239557902018,0.004958062743147214,0.05868897835413615,0.023982353508472443,0.22810872395833334,3,1.0,0.01,-0.3567,0.6996425986289978,0.0002999907883349806,1.2527214941748919,-0.004581951070576906,6.4675179274609196e-12,1.5,-0.09613417834043503,-0.03564104065299034,0.0,0.08286136388778687,0.0,0.0,-0.4423828125,-0.130573108792305,0.0,-0.05296238139271736,-4.300740692997351e-05,-0.02491920441389084,-0.005823838524520397,0.0,-0.01026652567088604,0.0,0.0,-0.04494939744472504,-0.07975249737501144,-0.013530034571886063,-0.002473958535119891,-0.09283149242401123,0.0,-0.004157714545726776,0.0,0.0,0.0,0.0,0.0,2.0548343658447266,-0.48312461376190186,-0.030411727726459503,-0.6988305449485779,0.15,100.0,0.65,0.0,0.0,0.0,1.0,-1.0,-1.0,0.0,0.15,0.45,1.49834112,0.15,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.26859760284424
147456,1.7134041786193848,0.0007147789001464844,0.05008649826049805,0.07261514663696289,1.9061641693115234,19339.35773831606,29.37447168216399,-76.49451446533203,1183,0,1183,nan,0.004644523840397596,-2.516690969467163,0.46875,0.7097482681274414,0.22066253423690796,0.052571614583333336,0.0,2.5560672283172607,0.1197110423116615,0.0846233230134159,0.23125090422453703,0.013515288941562176,1166.2603759765625,8.663516998291016,2.244602680206299,0.002644700463861227,0.03737818822264671,0.020078998059034348,0.19122314453125,4,1.0,0.01,-0.3567,0.6995958089828491,0.0002999866846948862,1.0180055156400958,-0.004563323687762022,6.076392674003728e-05,1.5,-0.09724368155002594,-0.03895772993564606,0.0,0.07769010961055756,0.0,0.0,-0.4637451171875,-0.14051474630832672,0.0,-0.0911509096622467,-0.0008794001769274473,-0.025153256952762604,-0.005980971734970808,0.0,-0.015523265115916729,0.0,0.0,-0.045140743255615234,-0.07564187049865723,-0.013027881272137165,-0.006013997830450535,-0.08037759363651276,0.0,-0.004241536371409893,0.0,0.0,0.0,0.0,0.0,1.9540939331054688,-0.5652286410331726,-0.04229448363184929,-0.6602973341941833,0.15,100.0,0.65,0.0,0.0,0.0,1.0,-1.0,-1.0,0.0,0.15,0.45,1.49751168,0.15,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.18988227844238
184320,1.7059333324432373,0.0008420944213867188,0.05408191680908203,0.07711410522460938,1.907167911529541,19329.179439457028,33.40235081374322,-75.50772094726562,1106,0,1106,nan,0.0018177697202190757,-2.284956932067871,0.4668511152267456,0.7096772789955139,0.21463020145893097,0.041259765625,0.0,2.4586329460144043,0.14135437212360288,0.06377383300460224,0.22254774305555555,0.012806843434061323,1094.5850306919642,8.157112121582031,1.6272423607962472,0.0019077675949249948,0.02967755709375654,0.019185494099344527,0.20472935267857142,7,1.0,0.01,-0.3567,0.6995716691017151,0.00029997952515259385,0.8255834625907353,-0.004506991244852543,0.0001665580930421129,1.5,-0.0975111573934555,-0.03919997438788414,0.0,0.07624489068984985,0.0,0.0,-0.4574245810508728,-0.13861659169197083,0.0,-0.10072526335716248,-0.00198744866065681,-0.025293029844760895,-0.005951819941401482,0.0,-0.017614103853702545,0.0,0.0,-0.04260572791099548,-0.07413187623023987,-0.013013172894716263,-0.003271484514698386,-0.08469165861606598,0.0,-0.004413248971104622,0.0,0.0,0.0,0.0,0.0,1.9416571855545044,-0.5634464621543884,-0.04303107038140297,-0.6124653220176697,0.15,100.0,0.65,0.0,0.0,0.0,1.0,-1.0,-1.0,0.0,0.15,0.45,1.49668224,0.15,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.11161994934082
221184,1.7115087509155273,0.0007293224334716797,0.07921218872070312,0.07135701179504395,1.9368131160736084,19033.323668798934,35.150735294117645,-74.97142028808594,1088,0,1088,nan,0.0007548224530182779,-2.231642007827759,0.4632432758808136,0.7087106108665466,0.21293732523918152,0.03659396701388889,0.0,2.450870990753174,0.15715344699777614,0.04670126019273536,0.21247468171296297,0.012843292493086595,1010.7470139723557,7.969813126784104,0.9641212316659781,0.0016027549998118328,0.026618518508397616,0.022085465490818024,0.25499549278846156,13,1.0,0.01,-0.3567,0.6995963454246521,0.00029996619559824467,0.6708680080748152,-0.004490762483328581,0.00014539924450218678,1.5,-0.09514180570840836,-0.03718195855617523,0.0,0.07485074549913406,0.0,0.0,-0.4659966230392456,-0.14162854850292206,0.0,-0.09323956072330475,-0.0021404623985290527,-0.025194086134433746,-0.005846843123435974,0.0,-0.016959048807621002,0.0,0.0,-0.0440138578414917,-0.07250654697418213,-0.013061132282018661,-0.002107747597619891,-0.09615641087293625,0.0,-0.00430094450712204,0.0,0.0,0.0,0.0,0.0,1.9611124992370605,-0.5496311783790588,-0.04124422371387482,-0.603718101978302,0.15,100.0,0.65,0.0,0.0,0.0,1.0,-1.0,-1.0,0.0,0.15,0.45,1.4958528,0.15,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.06366896629333
258048,1.7130298614501953,0.000682830810546875,0.13673162460327148,0.07202816009521484,1.9871935844421387,18550.780076440067,34.252285191956126,-75.10403442382812,1094,0,1094,nan,0.0012621983187273145,-2.261533260345459,0.4542643129825592,0.7078968286514282,0.21227258443832397,0.03797743055555555,0.0,2.3749988079071045,0.16285714285714287,0.04857142857142857,0.20424171730324073,-0.0013823790423985985,945.8071560329861,8.026563008626303,0.5201058453983731,0.0014492190805160338,0.02543722962339719,0.016920409475763638,0.21711561414930555,36,0.0,0.01,-0.3567,0.6997785568237305,0.00029992935014888644,0.6223430185507638,-0.004496989771723747,0.00014377162733580917,1.5,-0.09399988502264023,-0.03774544224143028,0.0,0.07449734210968018,0.0,0.0,-0.4703233540058136,-0.14208486676216125,0.0,-0.08991897106170654,-0.001668222015723586,-0.024664143100380898,-0.005774812772870064,0.0,-0.016888456419110298,0.0,0.0,-0.04523102939128876,-0.07118618488311768,-0.013078310526907444,-0.0026692708488553762,-0.09816576540470123,0.0,-0.0042097982950508595,0.0,0.0,0.0,0.0,0.0,1.9542431831359863,-0.5547150373458862,-0.04173683375120163,-0.6229382753372192,0.15,100.0,0.65,0.0,0.0,0.0,1.0,-1.0,-1.0,0.0,0.15,0.45,1.49502336,0.15,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.06557369232178
294912,1.7097084522247314,0.0007815361022949219,0.1400303840637207,0.07349801063537598,1.9934613704681396,18492.455453198974,34.2933962264151,-75.03011322021484,1060,0,1060,nan,0.001220343867316842,-2.1787846088409424,0.4513617753982544,0.7094968557357788,0.2110719084739685,0.037543402777777776,0.0,2.3264496326446533,0.1531791907514451,0.036127167630057806,0.19923683449074073,-0.009343020915467706,813.1670871310764,8.00790023803711,0.36809849739074707,0.001234630381481515,0.023034638000859156,0.005576636551672386,0.0628390842013889,36,0.0,0.01,-0.3567,0.6996811628341675,0.00029989247559569776,0.6403510508142272,-0.004461573902517557,0.00011338971671648324,1.5,-0.09326538443565369,-0.03838127478957176,0.0,0.07264207303524017,0.0,0.0,-0.4762234091758728,-0.14358264207839966,0.0,-0.08768045157194138,-0.001855544513091445,-0.023629523813724518,-0.005746844690293074,0.0,-0.01665801741182804,0.0,0.0,-0.04505779221653938,-0.0701846107840538,-0.012998385354876518,-0.0025227863807231188,-0.08665230125188828,-2.9838654427294387e-06,-0.004316406324505806,0.0,0.0,0.0,0.0,0.0,1.949259638786316,-0.561748206615448,-0.04149692505598068,-0.6324418187141418,0.15,100.0,0.65,0.0,0.0,0.0,1.0,-1.0,-1.0,0.0,0.15,0.45,1.49419392,0.15,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.07395553588867
331776,1.7182426452636719,0.0007462501525878906,0.13487553596496582,0.07203078269958496,1.992227554321289,18503.905890012098,33.34389140271493,-77.31244659423828,1105,0,1105,nan,0.0010173327755182981,-2.3207764625549316,0.4525010883808136,0.7121841907501221,0.2132393717765808,0.03846571180555555,0.0,2.293104410171509,0.17348377997179126,0.04724964739069112,0.1950367115162037,-0.010695491425899996,792.1429985894097,8.04776022169325,0.30916383531358504,0.0010897192017485697,0.0213431136475669,0.005054717094430493,0.050177680121527776,36,0.0,0.01,-0.3567,0.6995596289634705,0.00029985563014633954,0.5571175924317516,-0.004467027261853218,0.00010742185259005055,1.5,-0.09448987990617752,-0.03755193203687668,0.0,0.0740160346031189,-5.493859134730883e-06,0.0,-0.4752739667892456,-0.142064169049263,0.0,-0.09289654344320297,-0.001862116390839219,-0.02403464913368225,-0.0057276212610304356,0.0,-0.016715385019779205,0.0,0.0,-0.04415304213762283,-0.06963711231946945,-0.013005208224058151,-0.0026041667442768812,-0.10215064138174057,-2.0751807824126445e-05,-0.0041788737289607525,0.0,0.0,0.0,0.0,0.0,1.936022400856018,-0.5694769620895386,-0.042484406381845474,-0.646838903427124,0.15,100.0,0.65,0.0,0.0,0.0,1.0,-1.0,-1.0,0.0,0.15,0.45,1.49336448,0.15,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0810215473175
368640,1.7093408107757568,0.0006537437438964844,0.13467121124267578,0.07087850570678711,1.9822661876678467,18596.890229882985,33.76076993583868,-76.6988754272461,1091,0,1091,nan,0.0006011893856339157,-2.270413637161255,0.4461534321308136,0.712493896484375,0.2128826081752777,0.03773328993055555,0.0,2.2839035987854004,0.14737598849748382,0.040258806613946804,0.19102647569444445,-0.012589038349688053,728.4896104600695,8.015017403496635,0.2660633987850613,0.0009308351307279534,0.01919851369327969,0.005809267491309179,0.05361599392361111,36,0.0,0.01,-0.3567,0.6994728446006775,0.0002998187846969813,0.5349196864835892,-0.004435492679476738,0.00017144087178166956,1.5,-0.0931079238653183,-0.037497349083423615,0.0,0.07373878359794617,-1.1977196834322967e-07,0.0,-0.4749213457107544,-0.14384467899799347,0.0,-0.09481552988290787,-0.0018972563557326794,-0.02418546937406063,-0.005699837580323219,0.0,-0.017028944566845894,0.0,0.0,-0.04460873827338219,-0.06898514181375504,-0.012930847704410553,-0.002343750325962901,-0.10809158533811569,-4.8827691898623016e-06,-0.004189453087747097,0.0,0.0,0.0,0.0,0.0,1.934755563735962,-0.5678279399871826,-0.0424281470477581,-0.6267617344856262,0.15,100.0,0.65,0.0,0.0,0.0,1.0,-1.0,-1.0,0.0,0.15,0.45,1.49253504,0.15,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.07778787612915
