time/env_steps,time/rollout_s,time/gae_s,time/update_s,time/est_s,time/iter_s,time/sps,rollout/ep_len_mean,rollout/ep_ret_mean,rollout/episodes,rollout/finishes,rollout/falls,rollout/t_line_mean,rollout/sprint_d_mean,rollout/reward_mean,rollout/swing_frac_min,rollout/thermal_max,rollout/torque_util,rollout/commit_frac,rollout/resync_frac,diag/freq_hz_median,diag/freq_lo_rail,diag/freq_hi_rail,diag/res_sat_sampled,train/loss_pg,train/loss_vf,train/entropy,train/loss_sym,train/bound_loss,train/mu_out_frac,train/approx_kl,train/clipfrac,train/n_minibatch_updates,train/early_stop,train/ent_coef,train/log_std_clamp,train/std_mean,train/lr,est/vel_rmse,reward_terms/action_rate,reward_terms/air_time,reward_terms/alive,reward_terms/ang_xy,reward_terms/angmom,reward_terms/brake_foot,reward_terms/clearance,reward_terms/duty_sym,reward_terms/energy,reward_terms/foot_flat,reward_terms/foot_slip,reward_terms/fwd_speed,reward_terms/heading,reward_terms/height,reward_terms/hip_roll,reward_terms/knob,reward_terms/lane,reward_terms/lat_vel,reward_terms/motor_vel,reward_terms/overrun,reward_terms/phase_contact,reward_terms/residual,reward_terms/residual_rate,reward_terms/spec_cycle,reward_terms/stance,reward_terms/stance_time,reward_terms/step_rate,reward_terms/stop,reward_terms/swing_floor,reward_terms/thermal,reward_terms/time,reward_terms/torque,reward_terms/track,reward_terms/upright,reward_terms/vz,reward_terms/yaw_rate,curriculum/dr_scale,curriculum/alive_scale,curriculum/sprint_dist_m,curriculum/stance_ratio,curriculum/eff_scale,curriculum/ctrl_jitter_ms,curriculum/ctrl_drop_prob,curriculum/bringup_scale,curriculum/bringup_p_drop,curriculum/bringup_p_held,curriculum/cmd_zero_p,curriculum/cmd_lo,curriculum/cmd_hi,curriculum/track_sigma,curriculum/shape_scale,curriculum/stoplight_prob,curriculum/gait_freq_lo,curriculum/hold_s,curriculum/hold_z,curriculum/hold_pitch,curriculum/hold_roll,curriculum/start_red_s,curriculum/release_vx,curriculum/release_vy,curriculum/release_vz,time/elapsed_s
36864,53.90367245674133,0.5344915390014648,3.6365017890930176,1.7258877754211426,61.73556995391846,597.1273708796073,6.363636363636363,-90.10428619384766,55,0,55,nan,0.0005887755542062223,1.2351139783859253,0.1585828959941864,0.7051608562469482,0.22777202725410461,0.11235894097222222,0.0,2.8016915321350098,0.07170449058425882,0.08570738773539353,0.20847348813657407,0.012370159228642782,103.63035074869792,11.320379892985025,1.3545058568318684,1.3039451005170122e-05,0.0011289339357366164,0.03611120333274206,0.32666015625,3,1.0,0.01,-0.3567,0.6998276114463806,0.000299996929243207,0.1251608141949112,-0.004547692835330963,0.0,1.5,-0.05041240528225899,-0.015478981658816338,0.0,0.018994497135281563,0.0,0.0,-0.5984293818473816,-0.2002357840538025,0.0,-0.0005139082204550505,0.0,-0.011293803341686726,-0.005744664929807186,0.0,-0.0033016304951161146,0.0,0.0,-0.03931869938969612,-0.07182630896568298,-0.012037156149744987,0.0,-0.035658981651067734,0.0,-0.005156250204890966,0.0,0.0,0.0,0.0,0.0,2.463653564453125,-0.03722710907459259,-0.008975062519311905,-0.11393043398857117,0.15,1.0,100.0,0.65,0.0,0.0,0.0,1.0,-1.0,-1.0,0.0,0.15,0.45,1.5,0.15,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.91326975822449
73728,51.71424460411072,0.0009126663208007812,0.06842446327209473,0.09961700439453125,51.967963218688965,709.3600559036136,15.193548387096774,-80.23112487792969,496,0,496,nan,0.0036212829872965813,-0.2865206003189087,0.5114474892616272,0.7058488130569458,0.2167680561542511,0.011420355902777778,0.0,2.787984848022461,0.09501187648456057,0.09026128266033254,0.2851426866319444,0.016364542146523792,592.5048421223959,6.822806040445964,5.636511484781901,0.007134319593509038,0.07894399762153625,0.034718205531438194,0.2882486979166667,3,1.0,0.01,-0.3567,0.6997739672660828,0.00029999384423717856,1.5545546891882724,-0.004630383104085922,0.0,1.5,-0.08312055468559265,-0.02785886637866497,0.0,0.07238639146089554,0.0,0.0,-0.4376356303691864,-0.13108474016189575,0.0,-0.012573253363370895,0.0,-0.02491774596273899,-0.0057521238923072815,0.0,-0.0069211008958518505,0.0,0.0,-0.05464942753314972,-0.08439343422651291,-0.01433519832789898,0.0,-0.08433929085731506,0.0,-0.004877116065472364,0.0,0.0,0.0,0.0,0.0,2.312279224395752,-0.2566412091255188,-0.016131559386849403,-0.5315420627593994,0.15,1.0,100.0,0.65,0.0,0.0,0.0,1.0,-1.0,-1.0,0.0,0.15,0.45,1.49917056,0.15,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.91010308265686
110592,1.713303804397583,0.0008003711700439453,0.054752349853515625,0.09089946746826172,1.938098669052124,19020.69406945202,22.875757575757575,-75.78341674804688,990,0,990,nan,nan,-1.9008325338363647,0.4879557192325592,nan,nan,0.03404405381944445,0.0,2.7303929328918457,0.11394422310756971,0.0804780876494024,0.2572337962962963,0.012617683658997217,993.3897298177084,7.8365904490153,3.9365708033243814,0.004962797276675701,0.05900584657986959,0.023537494242191315,0.22639973958333334,3,1.0,0.01,-0.3567,0.699729323387146,0.0002999907883349806,1.2627741884170391,-0.004586109891533852,4.850638554015907e-12,1.5,-0.09557785093784332,nan,0.0,0.08320155739784241,0.0,nan,-0.4422336220741272,nan,0.0,-0.05262811854481697,nan,nan,-0.0058211968280375,nan,nan,nan,0.0,-0.04527841508388519,-0.07973197102546692,-0.013557836413383484,-0.002596028847619891,nan,0.0,-0.004115397110581398,0.0,0.0,nan,0.0,nan,nan,-0.4856751263141632,nan,-0.6924270987510681,0.15,1.0,100.0,0.65,0.0,0.0,0.0,1.0,-1.0,-1.0,0.0,0.15,0.45,1.49834112,0.15,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.8656804561615
147456,1.7111923694610596,0.0007727146148681641,0.07066535949707031,0.10814547538757324,1.970214605331421,18710.647549923575,29.618260869565216,-75.227294921875,1150,0,1150,nan,0.004736044909805059,-2.398329734802246,0.4672037661075592,0.706718921661377,0.22013135254383087,0.051703559027777776,0.0,2.5721206665039062,0.12329485834207765,0.08289611752360965,0.23103389033564814,0.014004291966557503,1135.912841796875,8.584128379821777,2.2795519828796387,0.002718828385695815,0.03753012418746948,0.019788460806012154,0.19293212890625,4,1.0,0.01,-0.3567,0.6996926069259644,0.0002999866846948862,0.9780408122239437,-0.004562774207442999,5.967885226709768e-05,1.5,-0.09733596444129944,-0.038285866379737854,0.0,0.07854851335287094,0.0,0.0,-0.4620632529258728,-0.1380801945924759,0.0,-0.09271959215402603,-0.0009076905553229153,-0.025216324254870415,-0.005981790833175182,0.0,-0.015343793667852879,0.0,0.0,-0.04371420666575432,-0.07567057758569717,-0.013054851442575455,-0.00607910193502903,-0.0825367122888565,0.0,-0.00424967473372817,0.0,0.0,0.0,0.0,0.0,2.0175514221191406,-0.569243311882019,-0.04198303073644638,-0.6616072058677673,0.15,1.0,100.0,0.65,0.0,0.0,0.0,1.0,-1.0,-1.0,0.0,0.15,0.45,1.49751168,0.15,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.8516960144043
184320,1.7156448364257812,0.001027822494506836,0.05722522735595703,0.10202527046203613,1.9524083137512207,18881.291754935526,33.70017793594306,-74.54814147949219,1124,0,1124,nan,0.0023397619370371103,-2.30961012840271,0.4604763388633728,0.7066905498504639,0.2156044840812683,0.04128689236111111,0.0,2.476700782775879,0.1445466491458607,0.07424441524310119,0.22132703993055555,0.01340881415775844,1123.5899135044642,8.16648919241769,1.6307456152779716,0.0018890872597694397,0.02937776063169752,0.01937161386013031,0.202392578125,7,1.0,0.01,-0.3567,0.6996663808822632,0.00029997952515259385,0.8082108627693798,-0.004519532434642315,0.00019856764993164688,1.5,-0.0983404815196991,-0.039473988115787506,0.0,0.07796010375022888,0.0,0.0,-0.4555121660232544,-0.13843604922294617,0.0,-0.10059227049350739,-0.0017422988312318921,-0.025636574253439903,-0.006030210293829441,0.0,-0.016717281192541122,0.0,0.0,-0.041771650314331055,-0.07413133978843689,-0.01301207672804594,-0.0033040365669876337,-0.08664718270301819,0.0,-0.004398600198328495,0.0,0.0,0.0,0.0,0.0,1.9960520267486572,-0.5628693699836731,-0.04265914857387543,-0.6137446165084839,0.15,1.0,100.0,0.65,0.0,0.0,0.0,1.0,-1.0,-1.0,0.0,0.15,0.45,1.49668224,0.15,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.81940197944641
221184,1.723200798034668,0.0010945796966552734,0.08846259117126465,0.0989081859588623,1.9906823635101318,18518.26883360726,34.763430725730444,-73.99613952636719,1061,0,1061,nan,0.001422567293047905,-2.143305778503418,0.4562174379825592,0.7063068747520447,0.21319657564163208,0.036566840277777776,0.0,2.4462132453918457,0.14614243323442136,0.04673590504451038,0.21370442708333334,0.014815511611791758,982.9911921574519,7.978204580453726,0.9627107106722318,0.0015322572480027492,0.026057116114176236,0.02283495435347924,0.26038536658653844,13,1.0,0.01,-0.3567,0.6996662616729736,0.00029996619559824467,0.6990407791821771,-0.004483198747038841,0.0002072481729555875,1.5,-0.09617570042610168,-0.03813871368765831,0.0,0.07683458924293518,-8.764650942794106e-07,0.0,-0.4596354067325592,-0.14118872582912445,0.0,-0.09561114013195038,-0.0019996026530861855,-0.02479429915547371,-0.005923023447394371,0.0,-0.01663733832538128,0.0,0.0,-0.042772725224494934,-0.07268430292606354,-0.013070367276668549,-0.0022054037544876337,-0.09862683713436127,0.0,-0.004327799659222364,0.0,0.0,0.0,0.0,0.0,1.9999651908874512,-0.5557389259338379,-0.0417516827583313,-0.6152209639549255,0.15,1.0,100.0,0.65,0.0,0.0,0.0,1.0,-1.0,-1.0,0.0,0.15,0.45,1.4958528,0.15,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.82506966590881
258048,1.712897539138794,0.0011286735534667969,0.1516706943511963,0.09898853302001953,2.039919376373291,18071.29610187885,34.53152364273205,-74.37443542480469,1142,0,1142,nan,0.0018262597732245922,-2.3842453956604004,0.4555121660232544,0.7052407264709473,0.21353203058242798,0.03968641493055555,0.0,2.3730080127716064,0.1544771018455229,0.045112781954887216,0.20393880208333334,-0.0008380236104130745,978.5418023003472,8.100890901353624,0.521974139743381,0.0013923883800291354,0.02471000204483668,0.01636897213757038,0.21291097005208334,36,0.0,0.01,-0.3567,0.6995832324028015,0.00029992935014888644,0.6430148463915724,-0.004473958630114794,0.0001795789139578119,1.5,-0.09545326977968216,-0.0384739488363266,0.0,0.07571419328451157,-2.25347719151614e-07,0.0,-0.467529296875,-0.14119383692741394,0.0,-0.09386817365884781,-0.0018435956444591284,-0.02437182329595089,-0.005808974150568247,0.0,-0.017452053725719452,0.0,0.0,-0.04380112141370773,-0.0710459053516388,-0.013032522052526474,-0.002718099160119891,-0.10303587466478348,0.0,-0.004216308239847422,0.0,0.0,0.0,0.0,0.0,1.9919081926345825,-0.5768945217132568,-0.04304824396967888,-0.6275081634521484,0.15,1.0,100.0,0.65,0.0,0.0,0.0,1.0,-1.0,-1.0,0.0,0.15,0.45,1.49502336,0.15,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.8804521560669
294912,1.715311050415039,0.0009253025054931641,0.1571657657623291,0.10385441780090332,2.0562424659729004,17927.840605882608,34.53250478011472,-74.77442932128906,1046,0,1046,nan,nan,-2.100484609603882,0.4444986879825592,nan,nan,0.037163628472222224,0.0,2.3288211822509766,0.15474452554744525,0.04671532846715328,0.19753237123842593,-0.009828843221637525,802.5056423611111,7.99094623989529,0.3699408570925395,0.001189674354261822,0.022371476309167013,0.005723468985201584,0.06409369574652778,36,0.0,0.01,-0.3567,0.6995711922645569,0.00029989247559569776,0.5965606270986005,-0.004478345159441233,0.00010633678175508976,1.5,-0.09365114569664001,nan,0.0,0.07536766678094864,-3.679361907416023e-05,nan,-0.4659288227558136,nan,0.0,-0.09209021180868149,nan,nan,-0.005780566018074751,nan,nan,nan,0.0,-0.04281384125351906,-0.07017337530851364,-0.013004478067159653,-0.002368164248764515,nan,-9.494106052443385e-07,-0.004243978299200535,0.0,0.0,nan,0.0,nan,nan,-0.5612261891365051,nan,-0.6204981207847595,0.15,1.0,100.0,0.65,0.0,0.0,0.0,1.0,-1.0,-1.0,0.0,0.15,0.45,1.49419392,0.15,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.95285487174988
331776,1.7150182723999023,0.0014417171478271484,0.15845298767089844,0.10023260116577148,2.0475988388061523,18003.52232898561,33.29528985507246,-76.51632690429688,1104,0,1104,nan,0.0017492757178843021,-2.2705514430999756,0.4358452558517456,0.7112889289855957,0.21154972910881042,0.036810980902777776,0.0,2.2936675548553467,0.1658069270449521,0.0397936624907885,0.19517234519675927,-0.009964060811196558,789.5460340711805,7.975723690456814,0.31021595663494533,0.0010440909665905768,0.021180064727862675,0.00496984891489976,0.05013699001736111,36,0.0,0.01,-0.3567,0.6996352672576904,0.00029985563014633954,0.5682990707443564,-0.004451180342584848,0.00016059020708780736,1.5,-0.09534649550914764,-0.03761215880513191,0.0,0.07629363983869553,-6.122149352449924e-05,0.0,-0.4730767011642456,-0.14068108797073364,0.0,-0.09221789240837097,-0.0020079975947737694,-0.025768542662262917,-0.005772592034190893,0.0,-0.016683991998434067,0.0,0.0,-0.0423806831240654,-0.06961897015571594,-0.012979683466255665,-0.002384440042078495,-0.1044168770313263,-5.425303243100643e-06,-0.004125162959098816,0.0,0.0,0.0,0.0,0.0,2.0075466632843018,-0.5623142719268799,-0.040879860520362854,-0.6315112709999084,0.15,1.0,100.0,0.65,0.0,0.0,0.0,1.0,-1.0,-1.0,0.0,0.15,0.45,1.49336448,0.15,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.01625609397888
368640,1.7252917289733887,0.0008697509765625,0.15505766868591309,0.08933854103088379,2.050076484680176,17981.759766884283,33.13172043010753,-75.50008392333984,1116,0,1116,nan,0.0016655533108860254,-2.2990317344665527,0.4188368022441864,0.7122482061386108,0.2125370353460312,0.03843858506944445,0.0,2.2860870361328125,0.16372618207480594,0.03952011291460833,0.19153284143518517,-0.011940377531573176,751.732164171007,8.046479966905382,0.26844927337434554,0.0009169418157802688,0.019257818245225482,0.005487499422290259,0.04782443576388889,36,0.0,0.01,-0.3567,0.6995975375175476,0.0002998187846969813,0.5319897045881727,-0.004432987421751022,0.00014811191067565233,1.5,-0.09204830229282379,-0.036494143307209015,0.0,0.07372180372476578,-1.2019526366202626e-05,0.0,-0.4793022871017456,-0.14468175172805786,0.0,-0.09194079041481018,-0.001862530130892992,-0.024512823671102524,-0.005746524315327406,0.0,-0.016258947551250458,0.0,0.0,-0.04358717426657677,-0.0690782368183136,-0.012931295670568943,-0.0022949217818677425,-0.09476091712713242,-2.034478939094697e-06,-0.004115397110581398,0.0,0.0,0.0,0.0,0.0,2.0046653747558594,-0.5596081614494324,-0.04088854789733887,-0.6259666085243225,0.15,1.0,100.0,0.65,0.0,0.0,0.0,1.0,-1.0,-1.0,0.0,0.15,0.45,1.49253504,0.15,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.08084058761597
