time/env_steps,time/rollout_s,time/gae_s,time/update_s,time/est_s,time/iter_s,time/sps,rollout/ep_len_mean,rollout/ep_ret_mean,rollout/episodes,rollout/finishes,rollout/falls,rollout/t_line_mean,rollout/sprint_d_mean,rollout/reward_mean,rollout/swing_frac_min,rollout/thermal_max,rollout/torque_util,rollout/commit_frac,rollout/resync_frac,diag/freq_hz_median,diag/freq_lo_rail,diag/freq_hi_rail,diag/res_sat_sampled,train/loss_pg,train/loss_vf,train/entropy,train/loss_sym,train/bound_loss,train/mu_out_frac,train/approx_kl,train/clipfrac,train/n_minibatch_updates,train/early_stop,train/ent_coef,train/log_std_clamp,train/std_mean,train/lr,est/vel_rmse,reward_terms/action_rate,reward_terms/air_time,reward_terms/alive,reward_terms/ang_xy,reward_terms/angmom,reward_terms/brake_foot,reward_terms/clearance,reward_terms/duty_sym,reward_terms/energy,reward_terms/foot_flat,reward_terms/foot_slip,reward_terms/fwd_speed,reward_terms/heading,reward_terms/height,reward_terms/hip_roll,reward_terms/knob,reward_terms/lane,reward_terms/lat_vel,reward_terms/motor_vel,reward_terms/overrun,reward_terms/phase_contact,reward_terms/residual,reward_terms/residual_rate,reward_terms/spec_cycle,reward_terms/stance,reward_terms/stance_time,reward_terms/step_rate,reward_terms/stop,reward_terms/swing_floor,reward_terms/thermal,reward_terms/time,reward_terms/torque,reward_terms/upright,reward_terms/vz,reward_terms/yaw_rate,curriculum/dr_scale,curriculum/alive_scale,curriculum/sprint_dist_m,curriculum/stance_ratio,curriculum/eff_scale,curriculum/ctrl_jitter_ms,curriculum/ctrl_drop_prob,curriculum/bringup_scale,curriculum/bringup_p_drop,curriculum/bringup_p_held,curriculum/cmd_zero_p,curriculum/cmd_lo,curriculum/cmd_hi,curriculum/track_sigma,curriculum/shape_scale,curriculum/stoplight_prob,curriculum/gait_freq_lo,curriculum/hold_s,curriculum/hold_z,curriculum/hold_pitch,curriculum/hold_roll,curriculum/start_red_s,curriculum/release_vx,curriculum/release_vy,curriculum/release_vz,time/elapsed_s
36864,49.95240569114685,0.5147225856781006,3.4084744453430176,1.5948538780212402,57.299158573150635,643.3602140808856,7.045454545454546,-95.4114990234375,66,0,66,nan,0.0009224184323102236,0.34238120913505554,0.2364637553691864,0.7049444317817688,0.2024696320295334,0.1125759548611111,0.0,3.340623378753662,0.01927710843373494,0.2308433734939759,0.2003490306712963,0.00607187549273173,80.635986328125,11.245726267496744,1.217099666595459,3.100754111073911e-05,0.0018336518357197444,0.03592173755168915,0.326416015625,3,1.0,0.01,-0.3567,0.699894905090332,0.000299996929243207,0.13244710473719165,-0.00467649195343256,0.0,2.25,-0.056287892162799835,-0.01937187649309635,0.0,0.018488574773073196,0.0,0.0,-0.6099989414215088,-0.1962074190378189,0.022547950968146324,-0.0005213735275901854,0.0,-0.012200280092656612,-0.0055387672036886215,0.0,-0.0032303077168762684,0.0,0.0,-0.05532298982143402,-0.07059668004512787,-0.012348031625151634,0.0,-0.03390498086810112,0.0,-0.005109049845486879,0.0,0.0,0.0,0.0,0.0,-0.04324233904480934,-0.006980221252888441,-0.11537931859493256,0.15,1.0,100.0,0.65,0.0,0.0,0.0,1.0,-1.0,-1.0,0.0,0.0,1.0,0.6,0.15,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.47378993034363
73728,48.63889026641846,0.0011134147644042969,0.059432268142700195,0.08262062072753906,48.85245132446289,754.5987581177634,15.174528301886792,-93.7425308227539,424,0,424,nan,0.004780192393809557,-0.9660509824752808,0.4667154848575592,0.7081435322761536,0.21585975587368011,0.009684244791666666,0.0,3.325660467147827,0.10364145658263306,0.10364145658263306,0.2885335286458333,0.015877415736516316,527.529541015625,6.830521901448567,5.828285217285156,0.009628470987081528,0.08921694755554199,0.03537179032961527,0.2828776041666667,3,1.0,0.01,-0.3567,0.6998742818832397,0.00029999384423717856,1.5904805175873582,-0.004768928047269583,0.0,2.25,-0.09728115051984787,-0.037393826991319656,0.0,0.0678962841629982,0.0,-2.2267780877882615e-05,-0.4834119975566864,-0.14100827276706696,-0.15857288241386414,-0.012748956680297852,0.0,-0.02840196155011654,-0.005618373863399029,0.0,-0.00708786491304636,-4.18487616116181e-06,0.0,-0.05761346593499184,-0.08549507707357407,-0.0145778339356184,0.0,-0.06682246178388596,0.0,-0.004533825907856226,0.0,0.0,0.0,0.0,-0.00014472669863607734,-0.32118871808052063,-0.017344607040286064,-0.5246695876121521,0.15,1.0,100.0,0.649929344,0.0003072,0.0,0.0,1.0,-1.0,-1.0,0.0,0.0,1.0,0.6,0.151253376,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.3432343006134
110592,1.714731216430664,0.0009310245513916016,0.05156421661376953,0.07669854164123535,1.9104650020599365,19295.821048429236,23.101156069364162,-94.58063507080078,1038,0,1038,nan,0.007840540260076523,-2.793281078338623,0.5189073085784912,0.7085949182510376,0.2121332734823227,0.047797309027777776,0.0,3.207819938659668,0.10726447219069239,0.1515323496027242,0.27358217592592593,0.017984967678785324,1144.390380859375,8.441131591796875,4.340752601623535,0.00978498812764883,0.08034174144268036,0.02642161212861538,0.248779296875,4,1.0,0.01,-0.3567,0.6998551487922668,0.00029998974059708416,1.1011830210586795,-0.0047742631286382675,8.084397734586801e-12,2.25,-0.10402454435825348,-0.04168018698692322,0.0,0.08792112022638321,0.0,-4.122208338230848e-05,-0.4304741621017456,-0.13150909543037415,-0.4531090557575226,-0.053811680525541306,-5.2634175517596304e-05,-0.029421724379062653,-0.005795117001980543,0.0,-0.009804866276681423,-8.791465006652288e-06,0.0,-0.045241814106702805,-0.08380574733018875,-0.01374816708266735,-0.006660587154328823,-0.0801510289311409,0.0,-0.003892927197739482,0.0,0.0,0.0,0.0,-0.00028385253972373903,-0.6022908687591553,-0.036955542862415314,-0.684593141078949,0.15,1.0,100.0,0.649858688,0.0006144,0.0,0.0,1.0,-1.0,-1.0,0.0,0.0,1.0,0.6,0.152506752,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.26879835128784
147456,1.7087867259979248,0.0008027553558349609,0.050107479095458984,0.07786941528320312,1.9158062934875488,19242.02407623394,29.7401998462721,-97.47724151611328,1301,0,1301,nan,0.005895184352993965,-3.4743165969848633,0.4714084267616272,0.7084463834762573,0.2128933072090149,0.060709635416666664,0.0,2.864600658416748,0.06478999106344951,0.1613047363717605,0.2311107494212963,0.01695799082517624,1283.5594889322917,9.078905741373697,2.0818103154500327,0.003720613196492195,0.04113163302342097,0.02518184979756673,0.22696940104166666,6,1.0,0.01,-0.3567,0.6998382210731506,0.0002999835996888578,0.897321588533844,-0.004736968781799078,7.161461689975113e-05,2.25,-0.10312867164611816,-0.04185828939080238,0.0,0.08081885427236557,0.0,-6.0870504967169836e-05,-0.4450276792049408,-0.14005252718925476,-0.5755937099456787,-0.08575297147035599,-0.0011930117616429925,-0.027069641277194023,-0.006265387870371342,0.0,-0.014923498034477234,-1.2688204151345417e-05,0.0,-0.042793963104486465,-0.07757116854190826,-0.013313641771674156,-0.007699685171246529,-0.07804438471794128,0.0,-0.004233575891703367,0.0,0.0,0.0,0.0,-0.0004356633289717138,-0.6279775500297546,-0.05046325922012329,-0.6199858784675598,0.15,1.0,100.0,0.649788032,0.0009216,0.0,0.0,1.0,-1.0,-1.0,0.0,0.0,1.0,0.6,0.153760128,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.19905304908752
184320,1.717900276184082,0.0009431838989257812,0.08412504196166992,0.08691096305847168,1.9641005992889404,18768.889225322826,33.306654676258994,-98.03215026855469,1112,0,1112,nan,nan,-2.9221625328063965,0.4634602963924408,nan,nan,0.038492838541666664,0.0,2.9546985626220703,0.057787174066243834,0.15644820295983086,0.2222900390625,0.013839047774672509,1119.4485107421874,8.050887203216552,1.3989286184310914,0.002408847352489829,0.033872177451848985,0.02070523425936699,0.220849609375,10,1.0,0.01,-0.3567,0.699823796749115,0.0002999733842443675,0.7682939836130714,-0.004717477597296238,0.00023057714861351997,2.25,-0.09939572960138321,nan,0.0,0.07784443348646164,0.0,nan,-0.4559326171875,nan,nan,-0.08555345982313156,nan,nan,-0.0062819975428283215,nan,nan,nan,0.0,-0.05021171271800995,-0.07675819098949432,-0.01355593279004097,-0.002438905881717801,nan,0.0,-0.004343776032328606,0.0,0.0,nan,0.0,nan,-0.5618014931678772,nan,-0.5735181570053101,0.15,1.0,100.0,0.649717376,0.0012288,0.0,0.0,1.0,-1.0,-1.0,0.0,0.0,1.0,0.6,0.155013504,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.177561044693
221184,1.7035293579101562,0.0010204315185546875,0.11080193519592285,0.08313131332397461,1.9666125774383545,18744.917776202015,33.516941789748046,-97.12945556640625,1151,0,1151,nan,0.0014342372305691242,-3.0065298080444336,0.46923828125,0.7076280117034912,0.22096194326877594,0.04212782118055555,0.0,3.014863967895508,0.05988409529942048,0.14810045074050227,0.21338342737268517,0.010596209466457366,1051.4030078125,8.210751495361329,0.7938210868835449,0.0020702578872442245,0.030965133905410766,0.026057213842868805,0.285654296875,25,1.0,0.01,-0.3567,0.6998281478881836,0.00029994777287356555,0.5291275372893817,-0.004801101051270962,0.00017144088633358479,2.25,-0.10040519386529922,-0.04105118289589882,0.0,0.07796376198530197,-3.6773208194063045e-06,-0.00010892446152865887,-0.4471842348575592,-0.14379703998565674,-0.4664760231971741,-0.07841406762599945,-0.002461068332195282,-0.02785293012857437,-0.006203504279255867,0.0,-0.016558997333049774,-2.479180875525344e-05,0.0,-0.05051146447658539,-0.0754840299487114,-0.013667406514286995,-0.0033488180488348007,-0.0755845457315445,0.0,-0.004595935344696045,0.0,0.0,0.0,0.0,-0.0007735617691650987,-0.5199394822120667,-0.04200834035873413,-0.5684319734573364,0.15,1.0,100.0,0.64964672,0.001536,0.0,0.0,1.0,-1.0,-1.0,0.0,0.0,1.0,0.6,0.15626688,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.15634799003601
258048,1.713440179824829,0.0009315013885498047,0.13452696800231934,0.07894730567932129,1.996826410293579,18461.289878247928,32.719016083254495,-96.65399932861328,1057,0,1057,nan,0.001386046875268221,-2.762690544128418,0.4823404848575592,0.7091591358184814,0.22136031091213226,0.04356553819444445,0.0,2.968595504760742,0.0722291407222914,0.15628891656288915,0.20474808304398148,-0.0074606086677199025,888.7674831814236,8.27030160692003,0.5126192039913602,0.0017576408313794269,0.028598071800337896,0.00826292671263218,0.10478379991319445,36,0.0,0.01,-0.3567,0.6998024582862854,0.00029991092742420733,0.5111733361849626,-0.004833236336708069,0.0001443141809431836,2.25,-0.10039867460727692,-0.04105161875486374,0.0,0.08054219186306,-9.941913958755322e-06,-0.0001307587226619944,-0.4399956464767456,-0.14189225435256958,-0.4594665765762329,-0.07780124247074127,-0.0019975316245108843,-0.026866011321544647,-0.0061737853102386,0.0,-0.015957262367010117,-2.577766645117663e-05,0.0,-0.048744525760412216,-0.07469240576028824,-0.013818665407598019,-0.00476867938414216,-0.07485446333885193,0.0,-0.004420856479555368,0.0,0.0,0.0,0.0,-0.0009327083826065063,-0.5168616771697998,-0.041195422410964966,-0.5976244807243347,0.15,1.0,100.0,0.649576064,0.0018432000000000001,0.0,0.0,1.0,-1.0,-1.0,0.0,0.0,1.0,0.6,0.157520256,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.16719436645508
294912,1.707918405532837,0.0010192394256591797,0.14002370834350586,0.08257174491882324,2.0031871795654297,18402.667116401983,32.217902350813745,-96.047607421875,1106,0,1106,nan,0.0019025421934202313,-2.9001786708831787,0.48388671875,0.7128137946128845,0.22065943479537964,0.044189453125,0.0,2.978602886199951,0.06998158379373849,0.16697360343769183,0.20002803096064814,-0.010005647766067542,841.0730523003472,8.297444661458334,0.4042039712270101,0.0015228042999903362,0.026118861304389104,0.0048109530018539065,0.05117458767361111,36,0.0,0.01,-0.3567,0.6998116374015808,0.00029987405287101865,0.4846402026771501,-0.004840565845370293,0.00016276031965389848,2.25,-0.10062780976295471,-0.04103176295757294,0.0,0.08160533010959625,-5.126542873767903e-06,-0.00015084075857885182,-0.4338107705116272,-0.14046292006969452,-0.4646572470664978,-0.08540705591440201,-0.0016531414585188031,-0.027024544775485992,-0.006171409506350756,0.0,-0.015385339967906475,-2.8684702556347474e-05,0.0,-0.048298388719558716,-0.07477754354476929,-0.013812074437737465,-0.004375922493636608,-0.07220892608165741,-1.898821210488677e-06,-0.0045645697973668575,0.0,0.0,0.0,0.0,-0.0010801715543493629,-0.5274718999862671,-0.04301402345299721,-0.6219121217727661,0.15,1.0,100.0,0.649505408,0.0021504000000000002,0.0,0.0,1.0,-1.0,-1.0,0.0,0.0,1.0,0.6,0.158773632,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.18480801582336
331776,1.7110447883605957,0.0009407997131347656,0.13965964317321777,0.08368611335754395,2.0067288875579834,18370.18796568876,32.68615107913669,-96.90776824951172,1112,0,1112,nan,0.001995708094909787,-2.9177539348602295,0.4791666567325592,0.7107933163642883,0.22020556032657623,0.04245334201388889,0.0,2.997091293334961,0.058146964856230034,0.17955271565495207,0.19954427083333334,-0.011934057214400835,815.7859700520834,8.22187720404731,0.3427696294254727,0.001350426089225544,0.0242345639401012,0.005120687768794596,0.04833984375,36,0.0,0.01,-0.3567,0.699830174446106,0.0002998372074216604,0.49153969534172304,-0.004875645041465759,0.0001491969742346555,2.25,-0.10183273255825043,-0.040770288556814194,0.0,0.08039537817239761,-4.355899363872595e-06,-0.00016967409464996308,-0.4415012001991272,-0.14124029874801636,-0.47442352771759033,-0.08835750818252563,-0.001965850591659546,-0.02746599353849888,-0.0062204524874687195,0.0,-0.016789445653557777,-3.234266841900535e-05,0.0,-0.05011174455285072,-0.07497765868902206,-0.013919811695814133,-0.004071867559105158,-0.0645480677485466,-7.866692612878978e-06,-0.00458931690081954,0.0,0.0,0.0,0.0,-0.0012262077070772648,-0.5331525206565857,-0.04462023451924324,-0.6111783385276794,0.15,1.0,100.0,0.649434752,0.0024576000000000003,0.0,0.0,1.0,-1.0,-1.0,0.0,0.0,1.0,0.6,0.160027008,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.20554447174072
368640,1.709892749786377,0.0007195472717285156,0.1393904685974121,0.08265352249145508,2.0029869079589844,18404.50932433201,33.971509971509974,-96.91239929199219,1053,0,1053,nan,0.0018716624472290277,-2.75591778755188,0.4772406816482544,0.718931257724762,0.21706360578536987,0.043375651041666664,0.0,3.006958246231079,0.04815509693558474,0.16010006253908693,0.1951316550925926,-0.013444810691807006,734.9883626302084,8.262107001410591,0.3020543058713277,0.0011947992930395736,0.022562951263454225,0.0060550198217646945,0.049309624565972224,36,0.0,0.01,-0.3567,0.699851393699646,0.00029980033286847174,0.4860405895380914,-0.004937758669257164,0.00018880200514104217,2.25,-0.103766530752182,-0.04119749367237091,0.0,0.07942308485507965,-1.4445692613662686e-05,-0.00018847684259526432,-0.4469943642616272,-0.14601370692253113,-0.4710153341293335,-0.09010226279497147,-0.0019572386518120766,-0.027309004217386246,-0.006284545175731182,0.0,-0.016368992626667023,-5.6954584579216316e-05,0.0,-0.05131463706493378,-0.07485736161470413,-0.014029471203684807,-0.004856261424720287,-0.06655111908912659,-5.1540214371925686e-06,-0.004544760566204786,0.0,0.0,0.0,0.0,-0.0013508216943591833,-0.5363990068435669,-0.045116763561964035,-0.596571683883667,0.15,1.0,100.0,0.649364096,0.0027648000000000004,0.0,0.0,1.0,-1.0,-1.0,0.0,0.0,1.0,0.6,0.161280384,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.22292065620422
