time/iterations,reward_terms/hip_roll,reward_terms/pos_pen,reward_terms/ang_xy,reward_terms/foot_slip,time/fps,reward_terms/height,reward_terms/overrun,reward_terms/stop,reward_terms/air_time,reward_terms/time,curriculum/ent_coef,reward_terms/track_vx,reward_terms/track_pos,rollout/ep_rew_mean,reward_terms/lat_vel,reward_terms/clearance,reward_terms/progress,reward_terms/alive,rollout/ep_len_mean,reward_terms/fwd_speed,reward_terms/torque,reward_terms/vz,reward_terms/track_heading,reward_terms/action_rate,reward_terms/upright,time/time_elapsed,reward_terms/stance_time,reward_terms/yaw_rate,time/total_timesteps,reward_terms/track_yaw,curriculum/sprint_dist_m,reward_terms/heading_pen,reward_terms/stance,train/loss,train/entropy_loss,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/n_updates,train/approx_kl,train/explained_variance,train/clip_fraction,train/clip_range,train/std
1,-0.041172960729270486,0.0,-4.0647296761021035e-07,-0.19167180271903908,144,-0.12826747562960228,0.0,0.0,2.0710408216352512e-05,-0.5,0.01,0.0,0.0,-103.80132008000001,-2.7202359430049666e-09,0.03650066589823248,0.0,0.0,2.62,0.21801623624212044,-0.29589518577923646,-0.3708319716880423,0.0,-0.006014721614869868,-1.506670563984089e-07,26,-0.2058644574667711,0.0,3840,0.0,25.0,0.0,-0.025138934610000822,,,,,,,,,,,
2,-0.04153438062426212,0.0,-4.039234582464977e-07,-0.19706237265291005,146,-0.12706100208728602,0.0,0.0,6.384329077874199e-05,-0.5,0.01,0.0,0.0,-104.02400811,-3.603444009916858e-09,0.03691992865678586,0.0,0.0,2.79,0.22456686325058028,-0.29747564698663187,-0.3720778877420187,0.0,-0.006395389529271571,-1.5405686041473683e-07,52,-0.2071458792592088,0.0,7680,0.0,25.72,0.0,-0.022798558047516668,4027.04736328125,-25.545297145843506,0.000299904,8139.544708251953,-0.04382923372759251,4,0.01800476,-0.0045239925384521484,0.14276123046875,0.2,1.0001829862594604
3,-0.04584776466845641,0.0,-4.781962260726209e-07,-0.2072892729395957,146,-0.12461394126064523,0.0,0.0,7.452119513089475e-05,-0.5,0.01,0.0,0.0,-104.14819734000001,-3.916455375614058e-09,0.033993143891300356,0.0,0.0,2.83,0.26004433932131427,-0.31965204411470477,-0.3488369942399891,0.0,-0.006422351535014111,-1.7010038818939998e-07,78,-0.2229944897934171,0.0,11520,0.0,26.44,0.0,-0.03018972330234383,3757.384765625,-25.514701306819916,0.000299808,7584.441131591797,-0.03335950957261957,8,0.0129739605,-0.07747471332550049,0.0738525390625,0.2,0.9984201788902283
4,-0.04238607075873668,0.0,-3.7192701777146125e-07,-0.21256416620304744,146,-0.11591993934136306,0.0,0.0,0.00010418099662323527,-0.5,0.01,0.0,0.0,-104.84440694000001,-2.940973590277763e-09,0.03181315484917914,0.0,0.0,3.18,0.2793098896091124,-0.3223652146533872,-0.3282888795810045,0.0,-0.006559568492749761,-1.742396850024663e-07,104,-0.23831890547679876,0.0,15360,0.0,27.16,0.0,-0.02636869830446721,3513.406494140625,-25.49716579914093,0.000299712,7075.227951049805,-0.029386124951997772,12,0.010571035,-0.4240797758102417,0.056396484375,0.2,0.9975079298019409
5,-0.04218778474436303,0.0,-4.0774000361114627e-07,-0.22367920979911926,147,-0.11494819047164799,0.0,0.0,0.0001651774445863458,-0.5,0.01,0.0,0.0,-104.88958298,-2.830559872893568e-09,0.030790923861461286,0.0,0.0,3.54,0.28976625075867696,-0.32874628006410783,-0.3201094599747394,0.0,-0.006583606683347133,-1.808820062462282e-07,129,-0.24852682322331754,0.0,19200,0.0,27.88,0.0,-0.02723233570573546,3397.366455078125,-25.48886466026306,0.000299616,6555.202301025391,-0.02762356129824184,16,0.009534612,-0.9378248453140259,0.04779052734375,0.2,0.9971535205841064
6,-0.041897150936926426,0.0,-4.1770574810461956e-07,-0.23163912465605974,148,-0.11667597159052694,0.0,0.0,5.567712108400506e-05,-0.5,0.01,0.0,0.0,-105.15084329,-3.4985289144560987e-09,0.031010131237284015,0.0,0.0,3.46,0.3046691052417598,-0.34098137728988415,-0.32153250115002124,0.0,-0.006769109404462465,-1.8631625183042178e-07,155,-0.23542684350190374,0.0,23040,0.0,28.6,0.0,-0.022535462395142383,3106.10302734375,-25.485190987586975,0.00029952,6117.867172241211,-0.027055836326326244,20,0.008939725,-1.3777692317962646,0.0467529296875,0.2,0.9972889423370361
7,-0.04173657303569504,0.0,-4.486253134944558e-07,-0.245732403162136,148,-0.11161777793049926,0.0,0.0,7.663738526050021e-05,-0.5,0.01,0.0,0.0,-105.22451254000002,-2.916174047317348e-09,0.026741487266575104,0.0,0.0,3.67,0.3473392105896115,-0.3572142060970532,-0.29360417631814356,0.0,-0.006741075168414125,-2.0201033244873472e-07,180,-0.2561863536934362,0.0,26880,0.0,29.32,0.0,-0.026425202130851876,2805.197021484375,-25.476210296154022,0.000299424,5793.902603149414,-0.030541676402208395,24,0.011323719,-1.933845043182373,0.0596923828125,0.2,0.9965320229530334
8,-0.04233677124314448,0.0,-3.9072370201670447e-07,-0.2448303639221207,148,-0.10455787514684968,0.0,0.0,0.0001187082577522643,-0.5,0.01,0.0,0.0,-105.22601585000001,-4.247838951971402e-09,0.02653657501275565,0.0,0.0,3.78,0.3486609083184649,-0.34529808496938064,-0.2844622639256781,0.0,-0.006902008092235112,-2.006291716160263e-07,206,-0.25832700239176076,0.0,30720,0.0,30.04,0.0,-0.027672256738510148,2642.649658203125,-25.469776928424835,0.00029932799999999996,5406.490371704102,-0.02880012383684516,28,0.00944703,-2.6990673542022705,0.04736328125,0.2,0.9965549111366272
9,-0.04581351683524643,0.0,-3.7310878736323015e-07,-0.25012768781516664,148,-0.10248158128102898,0.0,0.0,0.00012741270649278862,-0.5,0.01,0.0,0.0,-105.53505953999998,-3.1213314920460145e-09,0.025612263371656466,0.0,0.0,3.76,0.36212445721975467,-0.35510717631195565,-0.2777304531154755,0.0,-0.006737286111112683,-2.0984796156971926e-07,232,-0.25997643908919704,0.0,34560,0.0,30.759999999999998,0.0,-0.033752477977778764,2318.575927734375,-25.46634703874588,0.00029923199999999997,5006.186798095703,-0.027685822380590253,32,0.008654412,-2.408864736557007,0.04058837890625,0.2,0.9964424967765808
10,-0.03982410418458895,0.0,-4.094445243613451e-07,-0.2496329479813206,148,-0.09942683376232139,0.0,0.0,0.0001312957414192995,-0.5,0.01,0.0,0.0,-106.39087255,-2.962102851860058e-09,0.024885553849964312,0.0,0.0,4.25,0.3738167323244051,-0.3494977962722154,-0.2733111377894654,0.0,-0.006652803672975228,-2.0651875982885871e-07,258,-0.25904773740673465,0.0,38400,0.0,31.48,0.0,-0.0281267272778883,2568.833740234375,-25.462990045547485,0.000299136,4616.40266418457,-0.027483982383273542,36,0.00758369,-2.82869291305542,0.031494140625,0.2,0.9963069558143616
11,-0.041945553479386465,0.0,-3.9283895988442034e-07,-0.25991251861446235,148,-0.09933026808202688,0.0,0.0,8.81495120467478e-05,-0.5,0.01,0.0,0.0,-105.99313204999997,-2.4513679712234517e-09,0.024699625154640976,0.0,0.0,4.17,0.3832891381269741,-0.36236443504663723,-0.27176230131650503,0.0,-0.006748380436137668,-2.165890331512242e-07,284,-0.2669539090012838,0.0,42240,0.0,32.2,0.0,-0.033690738719897646,2093.487548828125,-25.45668125152588,0.00029904,4293.069984436035,-0.02796336692699697,40,0.00796122,-3.2718896865844727,0.0390625,0.2,0.9961223602294922
12,-0.0424170258080285,0.0,-3.6187431914419565e-07,-0.26130156555569045,148,-0.09674610491897141,0.0,0.0,0.00011145997194832268,-0.5,0.01,0.0,0.0,-105.9623405,-3.425622982625518e-09,0.022393716710892037,0.0,0.0,4.19,0.4079349271546507,-0.36664091706251345,-0.25462277557664603,0.0,-0.006648837772247901,-2.238628857799971e-07,310,-0.2714650717375234,0.0,46080,0.0,32.92,0.0,-0.03160283063152796,2060.334228515625,-25.447109818458557,0.000298944,4174.110237121582,-0.030063901911489666,44,0.0091396915,-4.0381317138671875,0.04534912109375,0.2,0.9954497814178467
13,-0.04296428360168189,0.0,-3.489251351139105e-07,-0.28228722122368133,148,-0.09204637728551854,0.0,0.0,0.00018337494969793724,-0.5,0.01,0.0,0.0,-105.94811815000001,-3.0783921069965e-09,0.020858883135620832,0.0,0.0,4.17,0.4357010924189842,-0.37916758116154675,-0.2418021030610031,0.0,-0.006713372990594663,-2.335961341260246e-07,336,-0.2810408873821454,0.0,49920,0.0,33.64,0.0,-0.041143846005065994,1867.22705078125,-25.441269993782043,0.000298848,4013.443046569824,-0.03209141019033268,48,0.00971788,-3.5994362831115723,0.0496826171875,0.2,0.9948816299438477
14,-0.04324737982971909,0.0,-3.85700219871233e-07,-0.29268153673054353,148,-0.09130212110226078,0.0,0.0,0.00014292269378024132,-0.5,0.01,0.0,0.0,-106.44576312000001,-3.2991444015997024e-09,0.020925564596904075,0.0,0.0,4.43,0.4298760486101007,-0.3904332964771315,-0.23814850174825697,0.0,-0.0067202559610752746,-2.397833326646392e-07,361,-0.29232734213528005,0.0,53760,0.0,34.36,0.0,-0.03518601918657019,1727.5892333984375,-25.433197259902954,0.000298752,3747.618392944336,-0.029952920507639647,52,0.009653245,-3.6323986053466797,0.0521240234375,0.2,0.9948188066482544
15,-0.04020546984474112,0.0,-3.710372669861879e-07,-0.3030971309665657,148,-0.08715755265162034,0.0,0.0,9.495486655256011e-05,-0.5,0.01,0.0,0.0,-105.90855223,-3.7813215966025e-09,0.019762512130806764,0.0,0.0,4.4,0.46446093841017544,-0.3983744467748393,-0.233073902496084,0.0,-0.006615014001250313,-2.5202468403322206e-07,387,-0.2910081000516865,0.0,57600,0.0,35.08,0.0,-0.03116792022684199,2009.8525390625,-25.441602647304535,0.000298656,3639.27725982666,-0.030930772816645913,56,0.009953947,-4.710071086883545,0.0560302734375,0.2,0.9959930777549744
16,-0.04091190892113467,0.0,-3.778793973521253e-07,-0.3064907467106858,148,-0.08842782941693522,0.0,0.0,0.0001598796384424827,-0.5,0.01,0.0,0.0,-106.37443969999998,-2.637033065164011e-09,0.018770859566319464,0.0,0.0,4.63,0.47241540241273333,-0.40294088569695863,-0.22442694183192963,0.0,-0.006613634943079266,-2.5756639164838417e-07,413,-0.3009439804861452,0.0,61440,0.0,35.8,0.0,-0.034701366327665885,1336.703125,-25.43725460767746,0.00029856,3153.485710144043,-0.029480372155376244,60,0.0082749715,-4.733837127685547,0.03997802734375,0.2,0.9948611855506897
17,-0.044469319200433954,0.0,-3.282936975750523e-07,-0.30471401921669966,148,-0.08657126769842563,0.0,0.0,0.000136675530270674,-0.5,0.01,0.0,0.0,-106.4367951,-3.6543321332808886e-09,0.01793877225824282,0.0,0.0,4.7,0.4878801812833443,-0.4145984518099548,-0.2199867427525665,0.0,-0.006468490399336071,-2.652696158697841e-07,439,-0.30749062620891654,0.0,65280,0.0,36.519999999999996,0.0,-0.03149180620916693,1051.9581298828125,-25.434480130672455,0.00029846399999999997,2974.8710021972656,-0.02946273636916885,64,0.009201899,-4.738694667816162,0.0469970703125,0.2,0.9950775504112244
