time/total_timesteps,curriculum/eff_scale,reward_terms/stop,reward_terms/alive,reward_terms/coef_rate,reward_terms/vz,curriculum/stance_ratio,reward_terms/hip_roll,reward_terms/residual,reward_terms/motor_vel,time/time_elapsed,curriculum/ctrl_drop_prob,curriculum/ent_coef,reward_terms/residual_rate,reward_terms/torque,reward_terms/assist_pen,curriculum/ctrl_jitter_ms,reward_terms/fwd_speed,rollout/ep_len_mean,reward_terms/energy,reward_terms/foot_ahead,reward_terms/ang_xy,reward_terms/foot_slip,reward_terms/overrun,time/iterations,rollout/ep_rew_mean,reward_terms/lat_vel,reward_terms/clearance,reward_terms/stance_time,reward_terms/phase_contact,reward_terms/step_rate,reward_terms/height,time/fps,reward_terms/action_rate,reward_terms/stance,reward_terms/upright,reward_terms/time,curriculum/sprint_dist_m,reward_terms/angmom,reward_terms/air_time,train/clip_range,train/entropy_loss,train/clip_fraction,train/learning_rate,train/approx_kl,train/policy_gradient_loss,train/explained_variance,train/std,train/value_loss,train/n_updates,train/loss
18432,0.0,0.0,0.0,-1.5738841450622005,-0.18424366267752418,0.65,-0.004458902207168636,-0.06116337446345806,0.0,4,0.0,0.01,0.0,0.0,0.0,0.0,-1.3625872454547376,332.0416666666667,0.0,0.0,-1.5466003016200913e-05,-0.3807009948762554,0.0,1,-182.80811377083333,-3.8764055768383976e-08,0.04916514530263329,-0.048470614277499005,-0.5107913013663103,0.0,-0.05203462436136016,4302,-0.2165716273168203,0.0,-8.938175334361689e-08,-0.5,25.0,0.0,0.0,,,,,,,,,,,
36864,7.68e-05,0.0,0.0,-1.5797748412034567,-0.1985519184007945,0.649982336,-0.0052997340876052065,-0.06105349741347391,-1.3857012586539358e-07,8,0.0,0.01,0.0,-2.1945420068954086e-05,0.0,0.0,-1.4126028201680705,332.26,-1.6591189706665056e-06,0.0,-1.5300951184270524e-05,-0.3720220901643233,0.0,2,-182.87939587999998,-3.776569335116688e-08,0.05156680298761555,-0.05256850606949431,-0.5043991306030898,0.0,-0.05652742303445938,4131,-0.21699888914243193,0.0,-8.92948461251724e-08,-0.5,25.01152,0.0,0.0,0.2,-34.08550796508789,0.0492431640625,0.000299990784,0.007900197,-0.019161732657812534,-0.006306767463684082,1.0029453039169312,278.38879318237304,4,116.84030151367188
55296,0.0001536,0.0,0.0,-1.5809511833080592,-0.19920295840185093,0.6499646720000001,-0.00542307220943459,-0.0612159227127651,-2.777043574434724e-07,13,0.0,0.01,0.0,-4.3915132333515106e-05,0.0,0.0,-1.391056960856555,338.38,-3.3363879527423573e-06,0.0,-1.5227606469235198e-05,-0.37481856046023226,0.0,3,-184.41295194999998,-3.7621518191546075e-08,0.0519459431627742,-0.06392822243570764,-0.5064591420913126,0.0,-0.05663538403655929,4203,-0.21680252974237363,0.0,-8.530899832219707e-08,-0.5,25.02304,0.0,0.0,0.2,-34.08216819763184,0.0154052734375,0.000299981568,0.004717854,-0.012565056933090091,0.15685385465621948,1.0023086071014404,297.37482299804685,8,133.63720703125
73728,0.0002304,0.0,0.0,-1.5685835687024718,-0.19679580931190727,0.649947008,-0.005316499752397533,-0.06138989913752461,-4.1312674357587974e-07,17,0.0,0.01,0.0,-6.558467977865986e-05,0.0,0.0,-1.3951270581538326,346.14,-4.956733518552856e-06,0.0,-1.5375174629990194e-05,-0.38199705606319045,0.0,4,-186.32863511,-3.8456447651284894e-08,0.05069871930799878,-0.059241660002347395,-0.5154397659377676,0.0,-0.05594925200844181,4240,-0.21779455356756447,-8.625778654883933e-06,-9.031907855684648e-08,-0.5,25.03456,0.0,0.0,0.2,-34.07770404815674,0.01124267578125,0.00029997235199999997,0.0040678894,-0.010971035505644978,0.3356042504310608,1.002113938331604,268.96277923583983,12,126.67052459716797
92160,0.0003072,0.0,0.0,-1.5754949225964696,-0.18251187867715027,0.649929344,-0.004808985143629598,-0.061165558464976275,-5.566982026618281e-07,21,0.0,0.01,0.0,-8.469326986229242e-05,0.0,0.0,-1.3185386882000523,354.29,-6.546969246195974e-06,0.0,-1.58531577829984e-05,-0.3773909901112675,0.0,5,-188.35058372,-3.848965417231454e-08,0.048003315592588726,-0.09113996333164526,-0.5266042999400826,0.0,-0.051877507723660864,4268,-0.21559844100487666,0.0,-8.830652981840667e-08,-0.5,25.04608,0.0,0.0,0.2,-34.07808380126953,0.01207275390625,0.000299963136,0.004178411,-0.011131341510917991,0.47754693031311035,1.0020674467086792,253.68687057495117,16,110.28160095214844
110592,0.000384,0.0,0.0,-1.5753629712035937,-0.18864499177784821,0.64991168,-0.005468779112521508,-0.06154278509633972,-7.077992693704731e-07,25,0.0,0.01,0.0,-0.00010786420647190706,0.0,0.0,-1.3643267825894272,365.36,-8.275893576440277e-06,0.0,-1.527304678423606e-05,-0.37843842369776404,0.0,6,-191.13477279000003,-3.921132321830946e-08,0.048779255021746876,-0.08767710641647379,-0.5154680967687428,0.0,-0.053243381943528394,4286,-0.21671435337633402,0.0,-8.634930419667926e-08,-0.5,25.0576,0.0,0.0,0.2,-34.07857723236084,0.0094482421875,0.00029995392,0.0037967265,-0.011253812909126281,0.5680919885635376,1.00215482711792,223.23390350341796,20,100.03227996826172
129024,0.0004608,0.0,0.0,-1.5679252621316326,-0.19884780519506917,0.6498940160000001,-0.005565228952945391,-0.061022101042039284,-8.45699193696847e-07,29,0.0,0.01,0.0,-0.0001331947092026571,0.0,0.0,-1.4051495427378262,353.13,-1.0099647561353389e-05,0.0,-1.5266149563456064e-05,-0.3675379293964418,0.0,7,-188.08506150999997,-3.8379833690040406e-08,0.05220232588917382,-0.0589168341814204,-0.49732438725770334,0.0,-0.05663689938079259,4302,-0.21702136921701476,0.0,-8.636502681162224e-08,-0.5,25.06912,0.0,0.0,0.2,-34.07545070648193,0.01011962890625,0.00029994470399999997,0.0040063197,-0.010812145279487595,0.5840898156166077,1.0018895864486694,234.35977935791016,24,103.84097290039062
147456,0.0005376,0.0,0.0,-1.5855205176109566,-0.1827228053894164,0.649876352,-0.005543017378684385,-0.061130654071278726,-9.896433478588237e-07,34,0.0,0.01,0.0,-0.00015138537815988917,0.0,0.0,-1.3527522838776052,348.67,-1.174451511757176e-05,0.0,-1.5580363712257825e-05,-0.38832520612461185,0.0,8,-186.97660290000005,-4.038364030934341e-08,0.047514771031306545,-0.05910399916400719,-0.5188805816519669,0.0,-0.05189816794324012,4307,-0.21811033420700382,0.0,-8.938717422728796e-08,-0.5,25.08064,0.0,0.0,0.2,-34.07228813171387,0.0074462890625,0.000299935488,0.0034260706,-0.00977685279212892,0.6234269142150879,1.0016024112701416,230.5925392150879,28,98.49769592285156
165888,0.0006144,0.0,0.0,-1.5819907203807178,-0.19205091976144437,0.649858688,-0.005107979429005188,-0.06119054982270654,-1.089891809663682e-06,38,0.0,0.01,0.0,-0.00017491132607918658,0.0,0.0,-1.353560733392756,359.41,-1.3152497465928874e-05,0.0,-1.5288788124045487e-05,-0.36303146473057507,0.0,9,-189.65745194,-3.637648363488446e-08,0.050341424654717234,-0.0860075726296701,-0.5130080213208396,0.0,-0.05518117977162915,4317,-0.21694346201768056,0.0,-8.955071547998746e-08,-0.5,25.09216,0.0,0.0,0.2,-34.075574684143064,0.00782470703125,0.000299926272,0.0035432163,-0.009951632830779999,0.6607855558395386,1.0018864870071411,199.79142074584962,32,93.5116195678711
184320,0.0006912,0.0,0.0,-1.5819594832878616,-0.18135467356547752,0.649841024,-0.005432012454928612,-0.06140789706899114,-1.2570346623051417e-06,42,0.0,0.01,0.0,-0.00019874104758964525,0.0,0.0,-1.3609215540187778,368.56,-1.5074965677859117e-05,0.0,-1.546531901081415e-05,-0.3861226697035309,0.0,10,-191.92711741,-4.0057674146834494e-08,0.0489783217692893,-0.09231929630914237,-0.5188371744372672,0.0,-0.051682563380985716,4323,-0.21540702085927907,0.0,-8.922145965495185e-08,-0.5,25.10368,0.0,0.0,0.2,-34.07309627532959,0.00628662109375,0.000299917056,0.0031684253,-0.009378137189196422,0.6652660369873047,1.0017181634902954,204.9419708251953,36,91.05908203125
