reward_terms/energy,reward_terms/ang_xy,reward_terms/stance_time,reward_terms/action_rate,curriculum/ctrl_drop_prob,reward_terms/fwd_speed,reward_terms/foot_slip,rollout/ep_len_mean,reward_terms/hip_roll,reward_terms/alive,rollout/ep_rew_mean,reward_terms/stop,time/fps,reward_terms/lat_vel,reward_terms/angmom,reward_terms/clearance,reward_terms/height,time/time_elapsed,curriculum/stance_ratio,reward_terms/air_time,reward_terms/residual_rate,time/total_timesteps,curriculum/sprint_dist_m,reward_terms/time,reward_terms/step_rate,curriculum/ctrl_jitter_ms,reward_terms/assist_pen,reward_terms/vz,curriculum/ent_coef,reward_terms/torque,time/iterations,reward_terms/residual,reward_terms/upright,curriculum/eff_scale,reward_terms/foot_ahead,reward_terms/stance,reward_terms/coef_rate,reward_terms/overrun,reward_terms/motor_vel,reward_terms/phase_contact,train/entropy_loss,train/std,train/loss,train/value_loss,train/clip_range,train/approx_kl,train/clip_fraction,train/explained_variance,train/policy_gradient_loss,train/n_updates,train/learning_rate
0.0,-1.0200394942440782e-05,-0.025374142202458136,-0.1298715143602739,0.0,-1.6716004033008929,-0.6277327768706414,358.1,-0.007370899179360295,0.0,-189.16988425,0.0,3123,-4.295311405172679e-08,0.0,0.0432526848420481,-0.04555196565382778,5,0.65,0.0,0.0,18432,25.0,-0.5,0.0,0.0,0.0,-0.1663082660053387,0.01,0.0,1,-0.061297734243557604,-7.715020478432381e-08,0.0,0.0,-8.113957381997114e-06,-1.2944671308601827,0.0,0.0,-0.4990712202684571,,,,,,,,,,,
-1.2935965815376268e-06,-9.87869621175751e-06,-0.029232092268001806,-0.13084656901268818,0.0,-1.7671908554977263,-0.6136179749288048,359.01063829787233,-0.00842422789394468,0.0,-189.4015867340426,0.0,3107,-4.009114344373217e-08,0.0,0.04980238226182803,-0.05600862045039946,11,0.649982336,0.0,0.0,36864,25.01152,-0.5,0.0,0.0,0.0,-0.20178519186065927,0.01,-1.6083452030107347e-05,2,-0.06118798870371985,-7.506672652162911e-08,7.68e-05,0.0,-1.8849829749977134e-05,-1.3053896730475063,0.0,-1.3111573476005675e-07,-0.48149204094909,-19.878285503387453,1.0020900964736938,112.70258331298828,234.6568145751953,0.2,0.0069678514,0.0365234375,0.017702817916870117,-0.011728763079736382,4,0.000299990784
-2.599200170634446e-06,-1.0074328627046742e-05,-0.02917350196447741,-0.1308773153350348,0.0,-1.7538456206796065,-0.6136944685659022,366.46,-0.008288350934163587,0.0,-191.27622485,0.0,3405,-4.1198015211436766e-08,0.0,0.04850044760154574,-0.053448013992632555,16,0.6499646720000001,0.0,0.0,55296,25.02304,-0.5,0.0,0.0,0.0,-0.19008105779330026,0.01,-3.268505726790572e-05,3,-0.061302089076402,-7.508574213971281e-08,0.0001536,0.0,-6.094017967273397e-05,-1.3034505926451052,0.0,-2.628121065940384e-07,-0.481075084546263,-19.878248596191405,1.0022153854370117,117.1216812133789,281.9596374511719,0.2,0.003740096,0.00966796875,0.17347145080566406,-0.007065090327523648,8,0.000299981568
-3.9131804287924466e-06,-9.896652916033395e-06,-0.027006894485869754,-0.12989059881545897,0.0,-1.80012260871297,-0.6022451606520713,371.06,-0.008210738789649384,0.0,-192.41940724,0.0,3579,-4.223127418260931e-08,0.0,0.05144188124936154,-0.05564768491164059,20,0.649947008,0.0,0.0,73728,25.03456,-0.5,0.0,0.0,0.0,-0.2002187554753028,0.01,-4.946609219873867e-05,4,-0.06121138822825947,-7.277117051445596e-08,0.0002304,0.0,-4.542424298527333e-05,-1.2929405018637754,0.0,-3.925512230425603e-07,-0.4738433189916021,-19.87240743637085,1.0013220310211182,121.28639221191406,239.48445358276368,0.2,0.003539069,0.00855712890625,0.3337867856025696,-0.006649035413283854,12,0.00029997235199999997
-5.126693545904688e-06,-9.770213229905185e-06,-0.03453589856508188,-0.1312989193506344,0.0,-1.7734820731104604,-0.6024456565997487,366.96,-0.008079667308230069,0.0,-191.37461337000002,0.0,3690,-3.835252151683045e-08,0.0,0.05031398222520003,-0.05522480847553999,24,0.649929344,0.0,0.0,92160,25.04608,-0.5,0.0,0.0,0.0,-0.19813772660717913,0.01,-6.486320021266598e-05,5,-0.06128063469604401,-7.318896478011156e-08,0.0003072,0.0,-0.00032491665308222785,-1.2900715494901775,0.0,-5.096610391959973e-07,-0.47845059917882704,-19.869347667694093,1.001075029373169,112.55418395996094,235.73828125,0.2,0.0030081281,0.00562744140625,0.4494301676750183,-0.005762093339581042,16,0.000299963136
-6.545683377775286e-06,-1.0006619511550672e-05,-0.02711892733188708,-0.13080916605601564,0.0,-1.8086573835793907,-0.6236982705132665,369.94,-0.008913645754457366,0.0,-192.11287838,0.0,3775,-4.2841927927665065e-08,0.0,0.051297223908312664,-0.05597163590776936,29,0.64991168,0.0,0.0,110592,25.0576,-0.5,0.0,0.0,0.0,-0.1981363838457196,0.01,-8.198407239788793e-05,6,-0.06106626678669353,-7.472398710376783e-08,0.000384,0.0,-0.00030870416862827034,-1.2942690847644398,0.0,-6.57078662260998e-07,-0.4787379822701881,-19.87106704711914,1.0015546083450317,107.14054870605469,229.8474479675293,0.2,0.0033254467,0.00760498046875,0.5310630202293396,-0.006339751498308033,20,0.00029995392
-7.824507017913336e-06,-1.0166299051550588e-05,-0.03872304011504942,-0.13097299217273572,0.0,-1.7960678264231111,-0.6202164135443821,372.32,-0.008295772382210652,0.0,-192.7212054,0.0,3834,-4.129472130160541e-08,0.0,0.050029412000019174,-0.05453028560462674,33,0.6498940160000001,0.0,0.0,129024,25.06912,-0.5,0.0,0.0,0.0,-0.19009760982424123,0.01,-0.00010002420293381304,7,-0.061258198199136596,-7.662893497367277e-08,0.0004608,0.0,-4.072668944859984e-05,-1.2911127697895965,0.0,-7.722887187874471e-07,-0.49015719263091423,-19.875242042541505,1.0018630027770996,115.37538146972656,218.28860778808593,0.2,0.0031619288,0.005517578125,0.5766478776931763,-0.005656010971870273,24,0.00029994470399999997
-9.038554272014036e-06,-1.0198409428609573e-05,-0.035650126652197085,-0.13056504060374952,0.0,-1.7489110044413516,-0.5816756627469153,373.25,-0.008285464620682411,0.0,-192.97504640000005,0.0,3882,-4.071050735823846e-08,0.0,0.04854027708811591,-0.0560470407361953,37,0.649876352,0.0,0.0,147456,25.08064,-0.5,0.0,0.0,0.0,-0.19665878835195352,0.01,-0.00011196272757963192,8,-0.06111880839277766,-7.478642181218492e-08,0.0005376,0.0,-3.3284038382522145e-05,-1.3052601139305637,0.0,-9.264884595313607e-07,-0.48767264210486044,-19.872244548797607,1.0013221502304077,83.38463592529297,199.03741989135742,0.2,0.0030986324,0.0064208984375,0.6004730463027954,-0.006582124694250524,28,0.000299935488
-1.04302143449641e-05,-1.0060783785681526e-05,-0.0297198333686942,-0.130152966260776,0.0,-1.8114291161814782,-0.6038338859061851,376.33,-0.007891173263636943,0.0,-193.72228260999998,0.0,3919,-3.969022323700243e-08,0.0,0.051201642057777975,-0.055785804455113754,42,0.649858688,0.0,0.0,165888,25.09216,-0.5,0.0,0.0,0.0,-0.19643912577797157,0.01,-0.0001310590492272258,9,-0.06143998385305435,-7.494709190078963e-08,0.0006144,0.0,-0.00014641966000132492,-1.2911862507266167,0.0,-1.0428622327554433e-06,-0.48388294342243793,-19.875466537475585,1.001596212387085,93.57691192626953,207.44370651245117,0.2,0.0028596097,0.0046875,0.6197935342788696,-0.006291926256380975,32,0.000299926272
-1.1856270000877446e-05,-1.0042370052630025e-05,-0.03557404182760769,-0.1294338000569614,0.0,-1.8293454427081786,-0.6228993894929515,373.46,-0.007904824433629994,0.0,-192.98285788,0.0,3949,-3.9142911002659984e-08,0.0,0.049270932048867046,-0.053073154094372,46,0.649841024,0.0,0.0,184320,25.10368,-0.5,0.0,0.0,0.0,-0.18929685194628607,0.01,-0.0001475084942071069,10,-0.06137817693484959,-7.516289901179973e-08,0.0006912,0.0,-5.83689677222729e-05,-1.3087953977233107,0.0,-1.1846758899633388e-06,-0.492441525663432,-19.878696060180665,1.0021718740463257,79.334228515625,187.89726867675782,0.2,0.0032369657,0.006005859375,0.6254605650901794,-0.006007565825711936,36,0.000299917056
