reward_terms/time,reward_terms/action_rate,reward_terms/stance,rollout/ep_rew_mean,reward_terms/foot_slip,reward_terms/residual,reward_terms/height,time/fps,time/total_timesteps,curriculum/ent_coef,curriculum/ctrl_jitter_ms,reward_terms/torque,reward_terms/overrun,reward_terms/hip_roll,rollout/ep_len_mean,reward_terms/coef_rate,curriculum/stance_ratio,reward_terms/lat_vel,reward_terms/energy,reward_terms/alive,curriculum/ctrl_drop_prob,reward_terms/residual_rate,reward_terms/phase_contact,time/iterations,reward_terms/fwd_speed,reward_terms/ang_xy,curriculum/eff_scale,reward_terms/air_time,time/time_elapsed,reward_terms/step_rate,reward_terms/motor_vel,reward_terms/vz,reward_terms/upright,reward_terms/clearance,reward_terms/stance_time,reward_terms/assist_pen,curriculum/sprint_dist_m,reward_terms/foot_ahead,reward_terms/angmom,reward_terms/stop,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/clip_fraction,train/loss,train/value_loss,train/n_updates,train/explained_variance,train/std,train/entropy_loss,train/approx_kl
-0.5,-0.03556482079166292,-0.00011320540765821317,-142.33607215,-0.4173566595404571,0.0,-0.03590055083600183,4125,18432,0.01,0.0,0.0,0.0,-0.00530894470591289,171.18,-1.297310319464418,0.65,-3.6310606826637274e-08,0.0,0.0,0.0,0.0,-0.3485337506820005,1,-1.1077533897272975,-0.26794478094627466,0.0,2.6041573922460277e-05,4,0.0,0.0,-0.1599710072677635,-0.20007282888385608,0.06123521711833919,0.0,0.0,25.0,0.0,-0.06403739085493704,0.0,,,,,,,,,,,
-0.5,-0.03599800036999818,-4.084577401580626e-05,-142.91754132,-0.39462779027922434,0.0,-0.03664597107236674,3985,36864,0.01,0.0,-1.6949717048851685e-05,0.0,-0.004929809099087187,173.56,-1.3045740343498913,0.649982336,-3.415439902824794e-08,-2.132761932894481e-06,0.0,0.0,0.0,-0.3330451676505625,2,-1.1024770865055276,-0.28133394379043397,7.68e-05,5.425322645654281e-06,9,0.0,-3.512242029777855e-07,-0.16506667585032708,-0.2080932195701802,0.06320149814936717,-1.1257364854423537e-05,0.0,25.01152,0.0,-0.06647233496174626,0.0,0.2,0.000299990784,-0.00714163042139262,0.039404296875,283.0777282714844,578.4613952636719,4,-0.00641632080078125,1.0022209882736206,-11.359136199951172,0.006924735
-0.5,-0.03624478199667183,-5.664846959014106e-07,-145.3620003,-0.3947743666461789,0.0,-0.04434720500462948,4058,55296,0.01,0.0,-3.298140140227507e-05,0.0,-0.004871307610629625,183.27,-1.309253121239866,0.6499646720000001,-3.410908124006885e-08,-4.2212007719456325e-06,0.0,0.0,0.0,-0.3204600650099103,3,-1.2760111352380803,-0.27917992031182415,0.0001536,3.9604929042980075e-05,13,0.0,-6.957538890320035e-07,-0.18372116676974415,-0.22245700486534847,0.0723505257263853,-1.3562061616943942e-07,0.0,25.02304,0.0,-0.06836965197609682,0.0,0.2,0.000299981568,-0.0040190151892602445,0.008203125,272.0712585449219,554.0248306274414,8,0.11483228206634521,1.0023696422576904,-11.360425233840942,0.0036429162
-0.5,-0.03555988530895563,-6.963085817978141e-05,-143.84603115,-0.40836402475883715,0.0,-0.03958327837270384,4097,73728,0.01,0.0,-5.2454174056811454e-05,0.0,-0.004829168343301452,177.22,-1.3037973040786832,0.649947008,-3.4099310404858964e-08,-6.532822274591868e-06,0.0,0.0,0.0,-0.3391609946433396,4,-1.1507006175755534,-0.29530059818325743,0.0002304,1.8988668064897258e-05,17,0.0,-1.062238978821844e-06,-0.17589663338457967,-0.201009376281054,0.06572739922706083,-2.0751713438787396e-05,0.0,25.03456,0.0,-0.062032889197583034,0.0,0.2,0.00029997235199999997,-0.0035995320416986943,0.009326171875,233.58030700683594,546.1764938354493,12,0.23527705669403076,1.0015597343444824,-11.358218431472778,0.0038530522
-0.5,-0.03635727561741606,-0.00039441125675806186,-146.27930254,-0.37681402516355833,0.0,-0.04846181989432456,4119,92160,0.01,0.0,-6.450457086928686e-05,0.0,-0.005444175800373336,186.84,-1.3122462607295873,0.649929344,-3.1485948567314046e-08,-8.289008971204249e-06,0.0,0.0,0.0,-0.3222819759814875,5,-1.2940473210761874,-0.2719131504203767,0.0003072,2.8211739845573902e-05,22,0.0,-1.3590053340696345e-06,-0.1885772210271771,-0.21908559974229133,0.06881991249408065,0.0,0.0,25.04608,0.0,-0.0694530462971764,0.0,0.2,0.000299963136,-0.003364250424783677,0.0047119140625,231.59674072265625,511.30347900390626,16,0.33923035860061646,1.0012264251708984,-11.355969047546386,0.0029537198
-0.5,-0.03586925514991842,-1.181579534524261e-05,-146.65012921,-0.39968452415000166,0.0,-0.04069843811421642,4136,110592,0.01,0.0,-8.317199210895867e-05,0.0,-0.005415649016074118,188.39,-1.3077557386207141,0.64991168,-3.5000433394306785e-08,-1.0375562384499865e-05,0.0,0.0,0.0,-0.3362523232338974,6,-1.2158798501824961,-0.2732460423436576,0.000384,3.906243364326656e-05,26,0.0,-1.7001592378863938e-06,-0.17765249374713207,-0.22537321465179636,0.06678518426007912,-8.137625021239122e-07,0.0,25.0576,0.0,-0.07034454874487182,0.0,0.2,0.00029995392,-0.0037967624492011966,0.00816650390625,233.42247009277344,475.9481964111328,20,0.41484200954437256,1.0010101795196533,-11.35536470413208,0.0035015359
-0.5,-0.035755871009708944,-0.0002832839081290436,-147.71823566999998,-0.36081661671730175,0.0,-0.04981232142828048,4149,129024,0.01,0.0,-0.00010233257135193627,0.0,-0.006332479220861283,192.62,-1.3115487414717022,0.6498940160000001,-3.092917011059323e-08,-1.230808065214267e-05,0.0,0.0,0.0,-0.3058660996720224,7,-1.2633331505301963,-0.29934505074265316,0.0004608,4.286014397318164e-05,31,0.0,-1.988453982529999e-06,-0.20056544948339328,-0.26182503129432333,0.07619272485336195,-8.137625021239122e-07,0.0,25.06912,0.0,-0.07429990211824276,0.0,0.2,0.00029994470399999997,-0.003936217736918479,0.0111083984375,202.01007080078125,438.8784515380859,24,0.4633561372756958,1.0019114017486572,-11.357346153259277,0.0040191906
-0.5,-0.03552965737759757,-0.00042889679430070996,-145.99299846,-0.38067033157850566,0.0,-0.0424404164222908,4159,147456,0.01,0.0,-0.0001142768321413122,0.0,-0.005720757998553531,185.82,-1.300052520237235,0.649876352,-3.2376475185509375e-08,-1.472586586731352e-05,0.0,0.0,0.0,-0.32777587467035707,8,-1.2145233062314724,-0.2913477004160911,0.0005376,2.4414000411828358e-05,35,0.0,-2.4049386874644086e-06,-0.17370331104855352,-0.22601972618560748,0.0691209917737401,-7.4597159659283025e-06,0.0,25.08064,0.0,-0.0657157130505926,0.0,0.2,0.000299935488,-0.0034018724458292128,0.00494384765625,211.73696899414062,446.024169921875,28,0.4871370196342468,1.0017497539520264,-11.35883412361145,0.0029591937
-0.5,-0.03576338928086662,-0.00021972619461900538,-151.10012396,-0.35951974270605114,0.0,-0.05312355631435308,4169,165888,0.01,0.0,-0.00013978885368403677,0.0,-0.006645462222197012,206.19,-1.3029300916582798,0.649858688,-3.384704382167322e-08,-1.6456430276476917e-05,0.0,0.0,0.0,-0.3138171069977866,9,-1.3325763182256278,-0.31244019414344776,0.0006144,3.960493874425689e-05,39,0.0,-2.633303209308728e-06,-0.20587148512347697,-0.26956990214778737,0.07628022770127668,-2.848226965094606e-06,0.0,25.09216,0.0,-0.0711786732461478,0.0,0.2,0.000299926272,-0.004253519547637552,0.00703125,197.84539794921875,439.8263870239258,32,0.5107693672180176,1.001570701599121,-11.357360124588013,0.0032848697
-0.5,-0.03491558036402335,-0.0001362456267005535,-149.98022433,-0.38734678461226957,0.0,-0.0453810622460821,4175,184320,0.01,0.0,-0.00016110672068959313,0.0,-0.006030059421080388,201.73,-1.3064947126489668,0.649841024,-3.466115232674176e-08,-1.907058995591248e-05,0.0,0.0,0.0,-0.33081109309276435,10,-1.2496742082435437,-0.2994065148838867,0.0006912,3.689228712270657e-05,44,0.0,-3.006824548329734e-06,-0.1926549520303354,-0.23887070603625915,0.07598267420380991,-2.848226965094606e-06,0.0,25.10368,0.0,-0.06494725809717201,0.0,0.2,0.000299917056,-0.003325762471649796,0.0070556640625,149.03919982910156,363.5979919433594,36,0.4860301613807678,1.0013182163238525,-11.356789207458496,0.003339535
