time/fps,reward_terms/overrun,curriculum/sprint_dist_m,time/time_elapsed,rollout/ep_len_mean,reward_terms/clearance,reward_terms/coef_rate,reward_terms/ang_xy,reward_terms/angmom,reward_terms/stance,curriculum/stance_ratio,curriculum/ctrl_jitter_ms,reward_terms/time,reward_terms/stop,reward_terms/assist_pen,rollout/ep_rew_mean,reward_terms/motor_vel,reward_terms/residual_rate,reward_terms/action_rate,reward_terms/foot_ahead,reward_terms/upright,reward_terms/stance_time,time/total_timesteps,reward_terms/foot_slip,reward_terms/air_time,reward_terms/residual,time/iterations,reward_terms/torque,reward_terms/step_rate,reward_terms/fwd_speed,reward_terms/height,reward_terms/vz,curriculum/ctrl_drop_prob,reward_terms/energy,curriculum/eff_scale,reward_terms/phase_contact,reward_terms/hip_roll,curriculum/ent_coef,reward_terms/alive,reward_terms/lat_vel,train/learning_rate,train/n_updates,train/clip_fraction,train/std,train/approx_kl,train/loss,train/policy_gradient_loss,train/value_loss,train/clip_range,train/explained_variance,train/entropy_loss
4131,0.0,25.0,4,220.06578947368422,0.0782566100935706,-0.4033122407239667,-0.3039282164743767,-0.04239203315943111,-0.2870798541732051,0.65,0.0,-0.5,0.0,0.0,-154.02004996052636,0.0,0.0,-0.011066679147503767,0.0,-0.23761059240079627,-0.0011163964259645177,18432,-0.4645137391365863,0.00013780356514164142,0.0,1,0.0,0.0,-1.0004883449979676,-0.051870220964344765,-0.19519112510179065,0.0,0.0,0.0,-0.2163859050932478,-0.12211688589646669,0.01,0.0,-5.620562220727645e-08,,,,,,,,,,,
3978,0.0,25.01152,9,204.32,0.08282453798959782,-0.3880805962193409,-0.3368407776727736,-0.04156542697249807,-0.3542057553698914,0.649982336,0.0,-0.5,0.0,0.0,-150.07929477,-3.2935771998610153e-07,0.0,-0.012028169785276115,0.0,-0.25782542526407515,-0.00021063787021881176,36864,-0.475573078229147,0.0001850039892209073,0.0,2,-2.3081684026890568e-05,0.0,-0.9860447471367846,-0.050497256522885864,-0.20979126457593533,0.0,-2.122831326348892e-06,7.68e-05,-0.2339329074661336,-0.12959663324564943,0.01,0.0,-5.532716097942789e-08,0.000299990784,16276,0.07115478515625,1.000200867652893,0.01018285,123.16313934326172,0.001669482549186796,683.4984680175781,0.2,-0.797470211982727,-11.35127239227295
4055,0.0,25.02304,13,186.39,0.08800933507724557,-0.41059445345342355,-0.37746249341882343,-0.053729495857994296,-0.2795894592670771,0.6499646720000001,0.0,-0.5,0.0,0.0,-145.56442947,-6.900523455363932e-07,0.0,-0.01215493378140484,0.0,-0.2890313169780752,-2.31931044254452e-05,55296,-0.4639581381402667,0.00010036871147652467,0.0,3,-4.7407191788847636e-05,0.0,-0.8679094404860037,-0.04606392636449904,-0.21547483805123846,0.0,-4.340531777617979e-06,0.0001536,-0.228798231450079,-0.12033680836263594,0.01,0.0,-6.505783614597456e-08,0.000299981568,16280,0.000146484375,0.9995324015617371,0.00021150979,30.50718879699707,-0.0008353170822374522,173.04595031738282,0.2,-0.2984638214111328,-11.347465801239014
4092,0.0,25.03456,18,170.78,0.08963950076683552,-0.44922508702423525,-0.4002176005588966,-0.057578000242514554,-0.22672919782654544,0.649947008,0.0,-0.5,0.0,0.0,-141.82648829,-1.0687791206921239e-06,0.0,-0.012090974333560432,0.0,-0.31389203953208794,0.0,73728,-0.4640537960112466,0.00014214379674134156,0.0,4,-7.505478290549941e-05,0.0,-0.8151191712337679,-0.04937445919037222,-0.2221459148045598,0.0,-6.6330899990326835e-06,0.0002304,-0.23396972609462663,-0.12459042295518491,0.01,0.0,-6.120022855324706e-08,0.00029997235199999997,16284,0.00059814453125,0.9994506239891052,0.00045779362,17.956714630126953,-0.00074588741408661,96.32546958923339,0.2,0.2770932912826538,-11.347010183334351
4116,0.0,25.04608,22,152.74,0.0896781732579863,-0.4970677154541161,-0.4591439291887018,-0.07600116457661338,-0.1507811840946286,0.649929344,0.0,-0.5,0.0,0.0,-137.36495795000002,-1.5031225055181896e-06,0.0,-0.01267826408232235,0.0,-0.30819541008966334,-0.00010579366547365983,92160,-0.44750304906839733,2.170131968644758e-05,0.0,5,-9.446794769412272e-05,0.0,-0.6891480411888656,-0.038443947939991945,-0.21250473407774953,0.0,-8.987417533603782e-06,0.0003072,-0.22461947948180605,-0.100956321724319,0.01,0.0,-6.540290480421664e-08,0.000299963136,16288,0.000390625,0.9994564652442932,0.0006216656,12.471698760986328,-0.0014576239278540014,52.9107268333435,0.2,0.483076274394989,-11.346973419189453
4130,0.0,25.0576,26,144.13,0.09035545076394336,-0.5219510632866333,-0.49356158491863095,-0.0752431413898307,-0.1033799721649021,0.64991168,0.0,-0.5,0.0,0.0,-135.19553186000002,-1.9551176448005645e-06,0.0,-0.012836173578288578,0.0,-0.32717167100504635,0.0,110592,-0.4462645372201604,3.255201348414024e-05,0.0,6,-0.00011958182998879017,0.0,-0.6298257221241977,-0.036840341605457676,-0.20260431965638392,0.0,-1.145385852171161e-05,0.000384,-0.221381710846136,-0.10457705432062235,0.01,0.0,-7.028481914144954e-08,0.00029995392,16292,0.00111083984375,0.999485969543457,0.0012254005,9.067499160766602,-0.0019253492006100713,40.55906610488891,0.2,0.6029809713363647,-11.347103118896484
4145,0.0,25.06912,31,149.51,0.0868328799432103,-0.5294003496042321,-0.4813426734627776,-0.07290908878409356,-0.07936314391375418,0.6498940160000001,0.0,-0.5,0.0,0.0,-136.51135930999996,-2.360935866821499e-06,0.0,-0.013043652772194745,0.0,-0.3047072307110496,-3.43150038841284e-05,129024,-0.4625359255360795,3.960493874425689e-05,0.0,7,-0.0001403500107689455,0.0,-0.6800718998726063,-0.034453263772429334,-0.19899740673616137,0.0,-1.3751364261327615e-05,0.0004608,-0.22103017999296246,-0.09907820160247124,0.01,0.0,-8.340164187670523e-08,0.00029994470399999997,16296,0.00181884765625,0.9995172023773193,0.0015559408,7.509760856628418,-0.0018823885882738977,32.519743824005126,0.2,0.755007266998291,-11.347295999526978
4155,0.0,25.08064,35,139.63,0.09028522873426964,-0.5501569568033796,-0.5146468303647489,-0.08666362397483902,-0.042301395008262466,0.649876352,0.0,-0.5,0.0,0.0,-133.97899830999998,-2.9188868950283546e-06,0.0,-0.013391747317417825,0.0,-0.3163451376752217,-2.31931044254452e-05,147456,-0.4231744667716794,4.177506586226324e-05,0.0,8,-0.00016530293489282926,0.0,-0.6006573937301152,-0.03443683119882108,-0.19928837111454334,0.0,-1.630678130305766e-05,0.0005376,-0.2123097775316488,-0.10566970830107204,0.01,0.0,-9.02096227167786e-08,0.000299935488,16300,0.00333251953125,0.9995840787887573,0.0016818615,5.517815589904785,-0.00208244989044033,22.496235370635986,0.2,0.8340200185775757,-11.347561693191528
4166,0.0,25.09216,39,135.66,0.0896670645675289,-0.5365445495890363,-0.5118675257847423,-0.08862825275413949,-0.07097630688108471,0.649858688,0.0,-0.5,0.0,0.0,-132.99235598,-3.3334872925922336e-06,0.0,-0.012967390280141695,0.0,-0.3084925240976546,0.0,165888,-0.42207152430331496,4.6657902809480824e-05,0.0,9,-0.00018637274352585208,0.0,-0.6225356004677223,-0.036803391832053695,-0.20392290223979445,0.0,-1.8787374235785212e-05,0.0006144,-0.21645111751309573,-0.10800309643474088,0.01,0.0,-9.507848514711677e-08,0.000299926272,16304,0.00330810546875,0.9995782375335693,0.0020169388,3.5535778999328613,-0.002730436064302921,17.529524397850036,0.2,0.8288059234619141,-11.34774990081787
4173,0.0,25.10368,44,140.8,0.09201567317584965,-0.5363923676779193,-0.5004037393444755,-0.08907359711328829,-0.07869390818672288,0.649841024,0.0,-0.5,0.0,0.0,-134.25655441,-3.7326095854442993e-06,0.0,-0.013087628377680178,0.0,-0.3088279914668118,0.0,184320,-0.4293301836404354,6.618913741678827e-05,0.0,10,-0.00021441243881573815,0.0,-0.6687255547319026,-0.03760613450223868,-0.20558950775919962,0.0,-2.10714013723721e-05,0.0006912,-0.2058397437536644,-0.11207591262117342,0.01,0.0,-9.61827944676776e-08,0.000299917056,16308,0.00467529296875,0.9995739459991455,0.0024608884,2.6443839073181152,-0.002362399292178452,13.052932000160217,0.2,0.7633401155471802,-11.347712182998658
