time/iterations,curriculum/stance_ratio,reward_terms/vz,curriculum/sprint_dist_m,reward_terms/assist_pen,reward_terms/phase_contact,time/time_elapsed,reward_terms/air_time,reward_terms/time,reward_terms/ang_xy,reward_terms/fwd_speed,rollout/ep_rew_mean,reward_terms/lat_vel,reward_terms/clearance,reward_terms/angmom,reward_terms/stop,reward_terms/foot_ahead,curriculum/eff_scale,time/fps,reward_terms/residual_rate,reward_terms/motor_vel,reward_terms/height,reward_terms/residual,curriculum/ent_coef,reward_terms/stance,reward_terms/foot_slip,curriculum/ctrl_jitter_ms,reward_terms/stance_time,reward_terms/hip_roll,time/total_timesteps,reward_terms/alive,reward_terms/overrun,reward_terms/energy,reward_terms/upright,reward_terms/action_rate,reward_terms/step_rate,reward_terms/torque,reward_terms/coef_rate,rollout/ep_len_mean,curriculum/ctrl_drop_prob,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/n_updates,train/entropy_loss,train/approx_kl,train/learning_rate,train/std,train/clip_fraction,train/loss,train/clip_range
1,0.65,-0.19613214714065916,25.0,0.0,-0.3517426182930404,5,0.0002446827582187123,-0.5,-0.3012281231833627,-1.3653024876113526,-149.2597894268293,-5.654848780935862e-08,0.0747987665837427,-0.10256085074130027,0.0,0.0,0.0,3131,0.0,0.0,-0.04975179905303756,-0.0607263911643349,0.01,-0.00014360522853009434,-0.39038422343717205,0.0,-0.00044799517490901053,-0.009585819516609861,18432,0.0,0.0,0.0,-0.2503353714371894,-0.1320038645828655,0.0,0.0,-1.3057879125079275,198.1341463414634,0.0,,,,,,,,,,,
2,0.649982336,-0.2119737638315772,25.01152,0.0,-0.35440280153835657,12,9.548595860703952e-05,-0.5,-0.2919256666214873,-1.3656890740368148,-147.35562033000002,-5.7840041593969616e-08,0.07296051008568079,-0.11051252045141155,0.0,0.0,7.68e-05,3050,0.0,-4.5434316954815873e-07,-0.052904768342714265,-0.06053576094197063,0.01,-8.599286488088819e-05,-0.42087274849072837,0.0,-2.7533196973510916e-05,-0.009189122645997755,36864,0.0,0.0,-2.8600442179963936e-06,-0.2795334647821174,-0.13240974782149867,0.0,-2.2810478770377964e-05,-1.307568619958215,190.45,0.0,-0.012339193071238697,469.3974914550781,0.001766502857208252,4,-19.8783166885376,0.0073353224,0.000299990784,1.0021427869796753,0.0453125,240.46510314941406,0.2
3,0.6499646720000001,-0.20445783628207267,25.02304,0.0,-0.3456215227949948,16,0.0002501081520070632,-0.5,-0.32571533299731326,-1.3671771731195002,-148.90429057,-5.728886749861919e-08,0.07506607580877951,-0.11642744437936951,0.0,0.0,0.0001536,3362,0.0,-9.144171443788682e-07,-0.05340753855576536,-0.06066331663462949,0.01,-0.0004212799989135212,-0.39996554050822414,0.0,-0.0001268160639382485,-0.009538554684900875,55296,0.0,0.0,-5.818354845726227e-06,-0.28604397542693955,-0.13224327338204903,0.0,-4.819860479503435e-05,-1.3088887458366039,196.77,0.0,-0.008348570752423257,534.9288192749024,0.11562997102737427,8,-19.877054500579835,0.004948574,0.000299981568,1.0020079612731934,0.0159423828125,241.82168579101562,0.2
4,0.649947008,-0.20186986817583719,25.03456,0.0,-0.3486409416050116,20,6.99868348116676e-05,-0.5,-0.30861443979136005,-1.3787835393885182,-149.77182544,-5.563027594344478e-08,0.07517615310131581,-0.12944165527507634,0.0,0.0,0.0002304,3544,0.0,-1.3734691067457238e-06,-0.051266746067531156,-0.060698399381122585,0.01,-0.0003526144052956298,-0.3970930590913386,0.0,-0.00022338715239634944,-0.008955152162902739,73728,0.0,0.0,-8.644025636192602e-06,-0.3025875040950021,-0.13198885842507066,0.0,-7.000879220502268e-05,-1.2886144391355285,200.18,0.0,-0.0061841960879974065,492.73845825195315,0.24355006217956543,12,-19.87391529083252,0.003690105,0.00029997235199999997,1.0017527341842651,0.00943603515625,249.32623291015625,0.2
5,0.649929344,-0.23362608091313217,25.04608,0.0,-0.32728577716072893,25,7.324202063803871e-05,-0.5,-0.30078551838454115,-1.5013944713712102,-150.99300588999998,-5.751239190273629e-08,0.08149738589863126,-0.12658194103122952,0.0,0.0,0.0003072,3669,0.0,-1.7233318963474967e-06,-0.06079289021019471,-0.06066268666577203,0.01,-0.00018151987907996116,-0.3774087337416117,0.0,-2.3328595691257054e-05,-0.010609814638514412,92160,0.0,0.0,-1.1183598380769437e-05,-0.322583542919093,-0.13281376710539283,0.0,-9.497543767472702e-05,-1.2886445484213955,205.0,0.0,-0.0056735960533842444,435.89813537597655,0.3844081163406372,16,-19.874816417694092,0.0028974381,0.000299963136,1.0016908645629883,0.00506591796875,219.1731414794922,0.2
6,0.64991168,-0.1968340209579223,25.0576,0.0,-0.35292684524157775,29,0.00016438771854154766,-0.5,-0.312502301500035,-1.328710491041393,-148.32283899,-5.722487935511823e-08,0.07414792587795112,-0.11709745122096704,0.0,0.0,0.000384,3757,0.0,-2.2859986489739193e-06,-0.04929649849528549,-0.06055489504408175,0.01,-0.0003014601749613479,-0.39960728841703813,0.0,-7.94804202289217e-05,-0.009523293309804587,110592,0.0,0.0,-1.4447273453655884e-05,-0.28349406573644653,-0.13271719619497635,0.0,-0.0001201172118212403,-1.303044853143045,194.32,0.0,-0.0055709289503283795,442.5973358154297,0.4518582820892334,20,-19.877712631225585,0.0032226346,0.00029995392,1.0019012689590454,0.0064453125,193.7921142578125,0.2
7,0.6498940160000001,-0.2175023453907062,25.06912,0.0,-0.34224585725772433,33,0.00027343709047676786,-0.5,-0.2987471421256983,-1.4106470262938564,-150.17601995,-5.805105198254765e-08,0.07769048707577708,-0.12758017960652332,0.0,0.0,0.0004608,3819,0.0,-2.628705094118063e-06,-0.05410100684127229,-0.06074441990261323,0.01,-0.000546241337195392,-0.38306419870268926,0.0,-0.0003179238734042479,-0.010102889042060997,129024,0.0,0.0,-1.6908640453044515e-05,-0.31151851960108917,-0.13270005161524037,0.0,-0.00014387687104234955,-1.2970874878494338,201.74,0.0,-0.005834175867494196,439.7736618041992,0.5009340047836304,24,-19.876536750793456,0.0036816013,0.00029994470399999997,1.001664161682129,0.0084716796875,219.14096069335938,0.2
8,0.649876352,-0.20727130965101953,25.08064,0.0,-0.35142088005335037,38,0.00012261257506906986,-0.5,-0.2958170132832271,-1.3880055786179701,-150.32455069999997,-5.5427644781908406e-08,0.07629484300442181,-0.11190399320296154,0.0,0.0,0.0005376,3872,0.0,-3.1242941309675793e-06,-0.05358416451526487,-0.06052515523372708,0.01,-0.0006756864530085885,-0.3935045940617121,0.0,-0.0002806242005640848,-0.010055477340790809,147456,0.0,0.0,-1.996205263206385e-05,-0.27558778086090496,-0.13227612264993216,0.0,-0.00016617190689733517,-1.2991346459389748,202.39,0.0,-0.005707271065330133,420.59336853027344,0.5057611465454102,28,-19.878083801269533,0.0031716235,0.000299935488,1.002092957496643,0.00615234375,211.78952026367188,0.2
9,0.649858688,-0.20641553525618173,25.09216,0.0,-0.351477426692101,42,0.00017849361756816506,-0.5,-0.29754073771780115,-1.336195035373953,-150.31857042,-5.788572344851261e-08,0.07539893645706028,-0.11530914489294003,0.0,0.0,0.0006144,3912,0.0,-3.5308183976448274e-06,-0.05014717018317744,-0.060894039808374795,0.01,-0.00023812392691994685,-0.4025252635802335,0.0,-0.00016452208769300746,-0.01065884829867575,165888,0.0,0.0,-2.2565370061517137e-05,-0.2760027918490152,-0.132002322183571,0.0,-0.00018771172977629304,-1.2949818264847182,202.32,0.0,-0.006374238478019834,407.58568572998047,0.5240342617034912,32,-19.879250907897948,0.0039228657,0.000299926272,1.002036213874817,0.00919189453125,195.17657470703125,0.2
10,0.649841024,-0.2079058588737143,25.10368,0.0,-0.3474207108581117,46,0.0002067053606474979,-0.5,-0.3334033894234582,-1.3254546916929617,-150.17202648,-5.977517665637304e-08,0.07660987945382805,-0.11376816130771743,0.0,0.0,0.0006912,3939,0.0,-4.0323718833343835e-06,-0.05120543806563756,-0.060819576680982666,0.01,-0.0005152471184554729,-0.3789069356963236,0.0,-0.00034722008018030063,-0.011471579513115152,184320,0.0,0.0,-2.607827837398253e-05,-0.2859340616873143,-0.1312780859594601,0.0,-0.00021890650443029261,-1.3018552761191475,201.73,0.0,-0.006934615154750645,405.7260208129883,0.5411877632141113,36,-19.878446960449217,0.004845287,0.000299917056,1.0021079778671265,0.01422119140625,196.08914184570312,0.2
11,0.6498233600000001,-0.24001962544669075,25.1152,0.0,-0.3372157375549583,51,0.00020887555244068304,-0.5,-0.31525590945870724,-1.448087822205083,-150.60739671999997,-5.885681512285744e-08,0.08360757188977558,-0.14122934132553822,0.0,0.0,0.000768,3965,0.0,-4.293237533602228e-06,-0.059713099595069444,-0.06111455658231798,0.01,-0.0009885640542645275,-0.3719893094116681,0.0,0.0,-0.01192893744981435,202752,0.0,0.0,-2.8111303775912762e-05,-0.3621348225372522,-0.13362372545548218,0.0,-0.00023953513762347084,-1.3077607249302072,203.48,0.0,-0.0070605670334771276,391.806950378418,0.5294864177703857,40,-19.878566932678222,0.004503587,0.00029990784,1.0020041465759277,0.01217041015625,180.5186004638672,0.2
12,0.649805696,-0.20628125621532278,25.12672,0.0,-0.368703963387669,55,0.00028862798353657126,-0.5,-0.29512213066335935,-1.4041787430703079,-151.5062988,-5.8672051754054985e-08,0.07712308926117556,-0.10495660439730736,0.0,0.0,0.0008448,3985,0.0,-4.88009651105874e-06,-0.05290265034895334,-0.06108519361168885,0.01,-0.0007286218325435258,-0.3917603229427243,0.0,-0.001641025520964629,-0.011501888149443744,221184,0.0,0.0,-3.142783713972629e-05,-0.2697006431504203,-0.13220083399728483,0.0,-0.0002595776486723426,-1.2913565270156668,207.15,0.0,-0.005908283835742623,371.09622344970705,0.5558550953865051,44,-19.876653289794923,0.003720519,0.000299898624,1.00176203250885,0.00816650390625,148.7816925048828,0.2
13,0.649788032,-0.21022581147653507,25.13824,0.0,-0.36552166762401456,59,0.00015516461118952266,-0.5,-0.2900622124590432,-1.4283033991327543,-152.40207268999995,-5.696282288738708e-08,0.07471985704871223,-0.11461654455293496,0.0,0.0,0.0009216,4000,0.0,-5.22976354617281e-06,-0.056358726028755385,-0.0611489424057344,0.01,-0.0007330463781844609,-0.3925980395210358,0.0,-0.0006690772554268026,-0.010775448899626883,239616,0.0,0.0,-3.382138266999958e-05,-0.29081416612220573,-0.13188902628197222,0.0,-0.00027602454565209164,-1.2876588499396984,210.67,0.0,-0.005518143926747143,340.7298217773438,0.523856520652771,48,-19.874986934661866,0.0028943217,0.00029988940799999996,1.001444697380066,0.004052734375,149.45237731933594,0.2
14,0.649770368,-0.22378758132929588,25.14976,0.0,-0.36675921029110053,64,0.00011772973812185228,-0.5,-0.29573691099281324,-1.4071846462307755,-152.12399337,-5.8653532405172195e-08,0.07950664480211576,-0.10627674386098897,0.0,0.0,0.0009984,4015,0.0,-5.692774501705655e-06,-0.056428629718221344,-0.06104304707180571,0.01,-0.0002610418226951426,-0.38655161085175876,0.0,-0.000195446408017435,-0.011351026096547617,258048,0.0,0.0,-3.687532011625782e-05,-0.28467497558745225,-0.13179094742069125,0.0,-0.00030230153082481086,-1.2946543497485825,209.58,0.0,-0.004671983135631308,305.547900390625,0.4907301664352417,52,-19.872192668914796,0.002235641,0.000299880192,1.001067042350769,0.00211181640625,133.69625854492188,0.2
15,0.6497527040000001,-0.22838389328381448,25.16128,0.0,-0.3551408832163016,68,0.00013020810567670397,-0.5,-0.2965935009146793,-1.4128051877012113,-153.14602974,-5.991516792812411e-08,0.07519179571067264,-0.1174875471233306,0.0,0.0,0.0010752,4028,0.0,-6.212903475842619e-06,-0.05748298863063549,-0.06112335018049177,0.01,-0.0004933253141986891,-0.3841155417219294,0.0,-0.0003904868644895032,-0.011193134610651159,276480,0.0,0.0,-3.96340072427586e-05,-0.30915651877573586,-0.131812058707384,0.0,-0.0003233855436627288,-1.2949128225084556,213.61,0.0,-0.005150266969576478,260.54088363647463,0.44934308528900146,56,-19.874034786224364,0.0027625351,0.000299870976,1.0014762878417969,0.00467529296875,117.45346069335938,0.2
16,0.64973504,-0.1968950917284181,25.1728,0.0,-0.3707271333795635,73,0.0002246090670167986,-0.5,-0.3198139072490829,-1.414532525081917,-156.72812434000002,-5.8773544593676076e-08,0.07744728681378038,-0.10997621255008912,0.0,0.0,0.001152,4035,0.0,-6.7329588618197774e-06,-0.051117960137181485,-0.06127155031641681,0.01,-0.0004991022980711945,-0.382123966749347,0.0,-0.000992291807455735,-0.011800226807290448,294912,0.0,0.0,-4.319026033246122e-05,-0.285498640683193,-0.13323153401061053,0.0,-0.00034948412013644013,-1.296251151237164,227.94,0.0,-0.004425718181300909,245.44403610229492,0.3851451873779297,60,-19.876914501190186,0.0022652796,0.00029986176,1.0017781257629395,0.00272216796875,116.49700164794922,0.2
17,0.649717376,-0.1983972430835283,25.18432,0.0,-0.3723935320448501,77,7.432706964512666e-05,-0.5,-0.29967798835764126,-1.3642298402926056,-152.69386129999998,-5.652173849500507e-08,0.07371599869122956,-0.12201183270333152,0.0,0.0,0.0012288,4036,0.0,-7.08472164361305e-06,-0.048695124654478526,-0.061232415594064754,0.01,-0.0004210201468492939,-0.3878439496337387,0.0,-0.00048543050717045035,-0.010418143276153723,313344,0.0,0.0,-4.5370127263839354e-05,-0.28845737505074703,-0.13282181557946476,0.0,-0.00036725454421761896,-1.2845507386757884,211.81,0.0,-0.004700284637510777,214.33692474365233,0.348355233669281,64,-19.87556571960449,0.0023275635,0.000299852544,1.001541018486023,0.0028564453125,96.02716827392578,0.2
18,0.649699712,-0.21490298792865703,25.19584,0.0,-0.3650913602092577,82,0.00014485649686927596,-0.5,-0.2811084006867201,-1.4540701123129693,-152.58417694,-5.8123341412062116e-08,0.0750953408404658,-0.12150555911668565,0.0,0.0,0.0013056,4038,0.0,-7.280185157790852e-06,-0.05725479319066083,-0.06124610983634818,0.01,-0.0012942941108220296,-0.3980792606416996,0.0,-0.000506588442173476,-0.012236594194949189,331776,0.0,0.0,-4.6717365273420946e-05,-0.2974609848940789,-0.1322273899077709,0.0,-0.00036886349102098026,-1.2942121905670458,211.45,0.0,-0.00525095509365201,209.63953552246093,0.30338114500045776,68,-19.873925495147706,0.003029663,0.000299843328,1.0013493299484253,0.00565185546875,91.83173370361328,0.2
19,0.6496820480000001,-0.20473190533630278,25.20736,0.0,-0.3682235678989929,86,0.00010742164643791814,-0.5,-0.30388184979316496,-1.3282631901496658,-151.71731889,-5.589031847286648e-08,0.07407128383410341,-0.10874254662749676,0.0,0.0,0.0013824,4048,0.0,-7.929499300211804e-06,-0.05135150174039586,-0.06121519501617149,0.01,-0.0004635421074967415,-0.3971483637273734,0.0,-0.001078282458668885,-0.010785943958801995,350208,0.0,0.0,-5.093771429211378e-05,-0.2823453984156802,-0.13264432181644623,0.0,-0.0004168984015304303,-1.28178354390598,207.94,0.0,-0.005130515724886209,199.10093536376954,0.24765229225158691,72,-19.874952125549317,0.0028999946,0.000299834112,1.0016216039657593,0.00443115234375,84.96942138671875,0.2
