curriculum/ent_coef,curriculum/ctrl_drop_prob,reward_terms/air_time,reward_terms/angmom,reward_terms/foot_slip,reward_terms/residual_rate,reward_terms/stance_time,reward_terms/assist_pen,time/fps,curriculum/stance_ratio,reward_terms/step_rate,reward_terms/phase_contact,curriculum/ctrl_jitter_ms,reward_terms/fwd_speed,reward_terms/stance,rollout/ep_len_mean,reward_terms/lat_vel,reward_terms/torque,reward_terms/hip_roll,reward_terms/overrun,reward_terms/motor_vel,reward_terms/action_rate,reward_terms/height,reward_terms/alive,reward_terms/residual,curriculum/eff_scale,time/iterations,reward_terms/coef_rate,reward_terms/vz,reward_terms/energy,reward_terms/clearance,rollout/ep_rew_mean,reward_terms/stop,time/time_elapsed,reward_terms/foot_ahead,curriculum/sprint_dist_m,time/total_timesteps,reward_terms/ang_xy,reward_terms/time,reward_terms/upright,train/value_loss,train/loss,train/learning_rate,train/policy_gradient_loss,train/clip_fraction,train/std,train/entropy_loss,train/approx_kl,train/n_updates,train/explained_variance,train/clip_range
0.01,0.0,0.0001361759592934201,-0.09227906271345956,-0.38896896228262123,0.0,-2.2379160832820668e-05,0.0,4256,0.65,0.0,-0.33847713089676496,0.0,-1.280575814895706,-0.0002721001362197479,200.13253012048193,-5.518667995279973e-08,0.0,-0.009321789492877113,0.0,0.0,-0.21839022325263624,-0.053659156209762186,0.0,-0.060403400971481655,0.0,1,-1.5792836424761723,-0.20318637261366346,0.0,0.07380181035714412,-149.88763072289154,0.0,4,0.0,25.0,18432,-0.3231968834356358,-0.5,-0.2684826180919092,,,,,,,,,,,
0.01,0.0,0.0001350908714812249,-0.0902051047981114,-0.3649256453722953,0.0,-3.5535498884403045e-05,0.0,4088,0.649982336,0.0,-0.3142239417765025,0.0,-1.3601767314808395,-7.963580841631134e-05,205.13,-5.342126492509818e-08,-2.7659725706258725e-05,-0.008256325374811444,0.0,-4.554844123744196e-07,-0.21714342551909221,-0.06969677987610691,0.0,-0.06072954386057477,7.68e-05,2,-1.5803296672200644,-0.25137790640281604,-3.316482802030296e-06,0.08107380696768443,-151.13227748,0.0,9,0.0,25.01152,36864,-0.3224636374985559,-0.5,-0.2824800988925223,476.6418685913086,220.65975952148438,0.000299990784,-0.019207386299967766,0.061865234375,1.0018391609191895,-34.07446765899658,0.008881692,4,-0.008269906044006348,0.2
0.01,0.0,0.0001963972236909386,-0.09652163268836111,-0.3641844066715312,0.0,-5.547373439185321e-05,0.0,4183,0.6499646720000001,0.0,-0.3199968466870052,0.0,-1.3249397716732012,-0.00011387208408292345,197.28,-5.6703007494080566e-08,-5.67406959813521e-05,-0.009331898407544533,0.0,-9.312045044430053e-07,-0.2187539826461727,-0.059446043069513926,0.0,-0.060825393079591436,0.0001536,3,-1.5815533528659613,-0.2200197901530252,-6.820494011606846e-06,0.07867854069338007,-149.15705558000002,0.0,13,0.0,25.02304,55296,-0.33868025227380827,-0.5,-0.27947401234042357,479.73473968505857,212.58799743652344,0.000299981568,-0.012677803554106503,0.02039794921875,1.001807689666748,-34.07089633941651,0.0055773202,8,0.10110718011856079,0.2
0.01,0.0,0.0001437713896545271,-0.09667309522492853,-0.35381814455664773,0.0,-0.00029567943420261145,0.0,4220,0.649947008,0.0,-0.3265583117965657,0.0,-1.3149450672524579,-0.00028673401185628383,207.31,-5.607641928197674e-08,-8.31218667523837e-05,-0.009040553088382716,0.0,-1.335394040744315e-06,-0.21641628792042175,-0.06422844729454368,0.0,-0.06095234352541184,0.0002304,4,-1.5845087825381208,-0.23719646196925595,-9.80876957385148e-06,0.07964237085490225,-151.67476254999997,0.0,17,0.0,25.03456,73728,-0.3128831142493768,-0.5,-0.29991072284080106,493.80655364990236,221.36639404296875,0.00029997235199999997,-0.010867363610304891,0.0167724609375,1.0020020008087158,-34.07404727935791,0.0050639445,12,0.20847171545028687,0.2
0.01,0.0,0.00014431394972941943,-0.08593977969352279,-0.3651894414531992,0.0,-0.00031480332513132855,0.0,4241,0.649929344,0.0,-0.3210053494153918,0.0,-1.3582571619463255,-8.509364394068401e-05,199.67,-5.723562082182591e-08,-0.00010916462819348776,-0.00919443371123723,0.0,-1.8029731527342661e-06,-0.21621081760218785,-0.06658395454746588,0.0,-0.06037196619408271,0.0003072,5,-1.5804223015858736,-0.23769186353540672,-1.3215513189944963e-05,0.07684586801978738,-149.75771737,0.0,21,0.0,25.04608,92160,-0.28924074930523347,-0.5,-0.24652611681994488,441.7228607177734,248.21853637695312,0.000299963136,-0.01056271840352565,0.01439208984375,1.0016133785247803,-34.07212162017822,0.00463904,16,0.33797329664230347,0.2
0.01,0.0,0.00014214383554644883,-0.08473798858123469,-0.35753139198921224,0.0,-0.00020616119986193048,0.0,4262,0.64991168,0.0,-0.3288155540637498,0.0,-1.3377275365804808,-0.00029786706190934034,210.29,-5.648140180952907e-08,-0.0001426822058779326,-0.009622173619170137,0.0,-2.2991323184773304e-06,-0.2189753281899077,-0.06460468241209014,0.0,-0.06082680502631799,0.000384,6,-1.5808554253309268,-0.2316503543931259,-1.6928959092706626e-05,0.0781989388414932,-152.4151079,0.0,25,0.0,25.0576,110592,-0.32944089344504734,-0.5,-0.255502619088288,459.92142181396486,222.45799255371094,0.00029995392,-0.010795622400473803,0.01107177734375,1.0019938945770264,-34.074365234375,0.0043233195,20,0.3887104392051697,0.2
0.01,0.0,0.00014377139935580394,-0.08502084659455411,-0.3941812447619638,0.0,-0.0007543904745640854,0.0,4274,0.6498940160000001,0.0,-0.3429552675074481,0.0,-1.2113967222118893,-0.00011577530948526769,195.11,-5.749408357238885e-08,-0.00017360475838994668,-0.009663362910107654,0.0,-2.7264351804451882e-06,-0.21757940386017108,-0.055852598006068774,0.0,-0.06069364183220035,0.0004608,7,-1.568942287797912,-0.21884478470513702,-2.0294435978285137e-05,0.07261508257729553,-148.62069918,0.0,30,0.0,25.06912,129024,-0.3193366566966401,-0.5,-0.26509435655068103,413.2063323974609,188.61529541015625,0.00029994470399999997,-0.010447880625724793,0.01234130859375,1.0019023418426514,-34.07611083984375,0.004406288,24,0.4936113953590393,0.2
0.01,0.0,0.00020833293092437088,-0.09419462725101885,-0.3817373374614697,0.0,-0.0010548187355096969,0.0,4287,0.649876352,0.0,-0.3268392078540413,0.0,-1.3281476851877518,-0.0002512852463098066,206.7,-5.441863497619565e-08,-0.00019455700788490862,-0.008996355061476658,0.0,-3.1280327991084643e-06,-0.215496871202399,-0.06233550643671732,0.0,-0.06092096104422541,0.0005376,8,-1.569447534815865,-0.2318599814278906,-2.3110292475338176e-05,0.08030191757922668,-151.52442468,0.0,34,0.0,25.08064,147456,-0.3112694316475462,-0.5,-0.28468728189573,433.3914031982422,202.94175720214844,0.000299935488,-0.009847252687904984,0.00797119140625,1.001830816268921,-34.073839378356936,0.0035952285,28,0.5252345204353333,0.2
0.01,0.0,6.347634674360354e-05,-0.08936296587467468,-0.36575999231898937,0.0,-0.0003348778280067361,0.0,4293,0.649858688,0.0,-0.3074998199661627,0.0,-1.408272343122316,-0.00019547401914753174,208.95,-5.822132397007735e-08,-0.00022720902136280356,-0.009437355955239557,0.0,-3.548461648549704e-06,-0.21622143106155417,-0.06646802559948302,0.0,-0.06080926719784923,0.0006144,9,-1.5655997328325975,-0.24747337201510883,-2.671241762592468e-05,0.08050672821862984,-152.06237048999998,0.0,38,0.0,25.09216,165888,-0.3162751372646537,-0.5,-0.2720297316197099,400.4987289428711,186.34869384765625,0.000299926272,-0.00900182407349348,0.00538330078125,1.001840591430664,-34.07493515014649,0.0030941968,32,0.5506154298782349,0.2
0.01,0.0,9.60284184354047e-05,-0.0846915185742318,-0.3761059058704339,0.0,-0.0005814579425431374,0.0,4303,0.649841024,0.0,-0.3207671407177053,0.0,-1.3309538107433496,-0.00029358157062051694,208.32,-5.5044574606368187e-08,-0.00025738501737392197,-0.00904494101889418,0.0,-4.0755067282970155e-06,-0.21785182186460753,-0.061804590163537024,0.0,-0.06091817474568403,0.0006912,10,-1.57645085685614,-0.23040495316088228,-3.0313690621273032e-05,0.08109161434585681,-151.92919826000002,0.0,42,0.0,25.10368,184320,-0.32317959979555494,-0.5,-0.25130645201653856,369.9560119628906,179.20172119140625,0.000299917056,-0.009031646256335079,0.00643310546875,1.0017507076263428,-34.07462387084961,0.003215698,36,0.5661552548408508,0.2
