reward_terms/motor_vel,reward_terms/hip_roll,reward_terms/step_rate,rollout/ep_len_mean,reward_terms/coef_rate,curriculum/stance_ratio,time/iterations,reward_terms/energy,reward_terms/overrun,reward_terms/stance,reward_terms/ang_xy,rollout/ep_rew_mean,reward_terms/phase_contact,reward_terms/residual,curriculum/sprint_dist_m,reward_terms/upright,reward_terms/assist_pen,reward_terms/fwd_speed,reward_terms/foot_ahead,reward_terms/torque,reward_terms/residual_rate,reward_terms/time,reward_terms/air_time,reward_terms/angmom,reward_terms/height,curriculum/ctrl_drop_prob,reward_terms/lat_vel,reward_terms/foot_slip,reward_terms/alive,reward_terms/stop,reward_terms/clearance,time/time_elapsed,curriculum/ent_coef,curriculum/eff_scale,reward_terms/vz,time/fps,reward_terms/stance_time,curriculum/ctrl_jitter_ms,reward_terms/action_rate,time/total_timesteps,train/std,train/learning_rate,train/approx_kl,train/n_updates,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/loss,train/clip_range,train/explained_variance,train/clip_fraction
0.0,-0.004630023711161492,0.0,326.6875,-1.5733752987073797,0.65,1,0.0,0.0,-3.2870811142445026e-06,-1.5219634130496361e-05,-181.47161279166667,-0.5043926341260719,-0.06084709216991094,25.0,-8.84716512907002e-08,0.0,-1.4001501681243316,0.0,0.0,0.0,-0.5,0.0,0.0,-0.05365816060261158,0.0,-3.6298268027310266e-08,-0.3629151436893921,0.0,0.0,0.0513765125674512,4,0.01,0.0,-0.19191681287671708,4279,-0.04213693202149847,0.0,-0.2167870043445358,18432,,,,,,,,,,,
-1.389220116850078e-07,-0.004827980191421232,0.0,331.3,-1.5817526665646833,0.649982336,2,-1.6590167719389484e-06,0.0,0.0,-1.5620880895132584e-05,-182.63930152000003,-0.5184738446116688,-0.06123490657539819,25.01152,-8.920155007552257e-08,0.0,-1.3630749201402492,0.0,-2.1800530096038538e-05,0.0,-0.5,0.0,0.0,-0.05258478705748561,0.0,-3.7894492759488035e-08,-0.3799159735338388,0.0,0.0,0.04769812209470296,8,0.01,7.68e-05,-0.18690593826334434,4107,-0.06459607124593782,0.0,-0.21678321931018013,36864,1.0026119947433472,0.000299990784,0.007842195,4,276.46535034179686,-0.019572826428338887,-34.08253211975098,119.81339263916016,0.2,-0.014209866523742676,0.04832763671875
-2.7853080129118556e-07,-0.005183416983110765,0.0,350.52,-1.5832372348121153,0.6499646720000001,3,-3.3279416660426406e-06,0.0,0.0,-1.5632893664215517e-05,-187.44687785,-0.5206533724359153,-0.06139463010901244,25.02304,-8.96595814713219e-08,0.0,-1.3518414808605226,0.0,-4.3657400918704735e-05,0.0,-0.5,0.0,0.0,-0.05307633940137326,0.0,-3.6784727254300014e-08,-0.3796491250026118,0.0,0.0,0.04801966729873279,13,0.01,0.0001536,-0.18803846350282696,4187,-0.06767307529096594,0.0,-0.2175573883628909,55296,1.0024863481521606,0.000299981568,0.0047510928,8,279.4805572509766,-0.012090924207586794,-34.081678771972655,136.27613830566406,0.2,0.15615105628967285,0.01484375
-4.1416442299246014e-07,-0.004825377085368644,0.0,368.51,-1.5819981152732143,0.649947008,4,-4.984142747316727e-06,0.0,0.0,-1.5246596477473175e-05,-191.92854543999994,-0.5140752504950182,-0.0614538277699009,25.03456,-8.761591136049701e-08,0.0,-1.3697720261900634,0.0,-6.602752869640313e-05,0.0,-0.5,0.0,0.0,-0.05473892425822877,0.0,-3.780308611273446e-08,-0.37741929918113015,0.0,0.0,0.05116945307575347,17,0.01,0.0002304,-0.1930476796049023,4230,-0.07783308835900647,0.0,-0.21806105877035717,73728,1.0023424625396729,0.00029997235199999997,0.0040624426,12,256.46083755493163,-0.010987131262663753,-34.07989444732666,109.09748077392578,0.2,0.3374454379081726,0.0114990234375
-5.499493928119986e-07,-0.0050625400945046115,0.0,357.58,-1.5821973088937162,0.649929344,5,-6.535328152223861e-06,0.0,0.0,-1.5554714816739902e-05,-189.18787665,-0.5181623523559634,-0.060940275259133085,25.04608,-9.126419983586328e-08,0.0,-1.333978827898162,0.0,-8.65253423305822e-05,0.0,-0.5,0.0,0.0,-0.05223845000384851,0.0,-3.8033178437444175e-08,-0.36967988246221206,0.0,0.0,0.048562776903877516,21,0.01,0.0003072,-0.18344394171525885,4256,-0.07286333068946584,0.0,-0.21706033664181915,92160,1.0018291473388672,0.000299963136,0.0035608828,16,249.00521545410157,-0.010411583923269064,-34.07599563598633,118.46605682373047,0.2,0.46992576122283936,0.0086669921875
-7.020983967794415e-07,-0.0052810926892779934,0.0,360.98,-1.5763840010731633,0.64991168,6,-8.281812080943577e-06,0.0,-2.8216424427963704e-06,-1.5533405647294023e-05,-190.03431009000008,-0.524289296728595,-0.06123776749949575,25.0576,-8.999209256082702e-08,0.0,-1.310550219961093,0.0,-0.00010816107533129659,0.0,-0.5,0.0,0.0,-0.051816344218685494,0.0,-3.7975748354048894e-08,-0.37526788219385043,0.0,0.0,0.04718949029015441,25,0.01,0.000384,-0.18169998910757623,4278,-0.0920113988928885,0.0,-0.21682794834169256,110592,1.001421570777893,0.00029995392,0.0041818246,20,230.0484519958496,-0.01119387021753937,-34.06960163116455,115.96642303466797,0.2,0.5487837195396423,0.0115966796875
-8.23554281557152e-07,-0.0054582080451191515,0.0,363.12,-1.582548038582904,0.6498940160000001,7,-9.920800075114934e-06,0.0,0.0,-1.6058852470190217e-05,-190.58522829,-0.5208089949057647,-0.06127276300938231,25.06912,-8.95898242988427e-08,0.0,-1.338002642473488,0.0,-0.00013236764513972624,0.0,-0.5,0.0,0.0,-0.05217999104626363,0.0,-3.6920588630241255e-08,-0.38341460419513945,0.0,0.0,0.048177181412580365,30,0.01,0.0004608,-0.1851012838153271,4282,-0.0772524351664793,0.0,-0.2172826440824343,129024,1.0015698671340942,0.00029994470399999997,0.003575617,24,225.64580154418945,-0.010600652603898197,-34.07036247253418,106.09708404541016,0.2,0.5922355651855469,0.0087158203125
-9.696653142639562e-07,-0.004509388856519754,0.0,354.13,-1.5716982382206481,0.649876352,8,-1.1567811013793448e-05,0.0,0.0,-1.5597057733310787e-05,-188.34716955999997,-0.5153485061722581,-0.061358677938445294,25.08064,-8.914722437646928e-08,0.0,-1.3739958585407723,0.0,-0.0001526277914366109,0.0,-0.5,0.0,0.0,-0.0545771739464702,0.0,-3.815724223004707e-08,-0.38076417156289666,0.0,0.0,0.04977767976604379,34,0.01,0.0005376,-0.19231130443952868,4292,-0.07987423240491706,0.0,-0.2165707012350359,147456,1.0018466711044312,0.000299935488,0.0034404113,28,215.1378189086914,-0.010646667965920642,-34.07439365386963,100.85987854003906,0.2,0.62581467628479,0.0080078125
-1.1059293106250426e-06,-0.004529417024723477,0.0,362.96,-1.5723491331070454,0.649858688,9,-1.3318835401252034e-05,0.0,0.0,-1.5532794756067665e-05,-190.54832788,-0.5124254104838336,-0.061164558350934956,25.09216,-9.100724063450117e-08,0.0,-1.3773463073537533,0.0,-0.00017811929945496987,0.0,-0.5,0.0,0.0,-0.054083911318699024,0.0,-3.947782335130961e-08,-0.39157992964632454,0.0,0.0,0.0504789719978915,38,0.01,0.0006144,-0.18855162025520814,4295,-0.05672553320376513,0.0,-0.21628611867636105,165888,1.0017207860946655,0.000299926272,0.0033136196,32,208.82604751586913,-0.010437279869802297,-34.073890686035156,91.42967987060547,0.2,0.6429327726364136,0.00697021484375
-1.2577688857423062e-06,-0.004369251637941881,0.0,358.13,-1.574993244014098,0.649841024,10,-1.5053672346499108e-05,0.0,0.0,-1.5905512978403483e-05,-189.33887356,-0.5153180673221998,-0.061454690957737895,25.10368,-9.026540770227686e-08,0.0,-1.3650825262864335,0.0,-0.00019707745998866457,0.0,-0.5,0.0,0.0,-0.051538055400837585,0.0,-3.963074448660504e-08,-0.3873431318812679,0.0,0.0,0.047141374128452686,42,0.01,0.0006912,-0.180286489064023,4299,-0.06933428368291869,0.0,-0.2179029904304025,184320,1.0018904209136963,0.000299917056,0.0035977624,36,200.45209274291992,-0.010439522238448263,-34.07352638244629,108.71320343017578,0.2,0.6472812294960022,0.0080078125
