time/total_timesteps,reward_terms/foot_slip,ankle/ankle_spring_energy_peak,reward_terms/fwd_speed,reward_terms/air_time,reward_terms/residual,reward_terms/overrun,reward_terms/time,reward_terms/vz,reward_terms/action_rate,reward_terms/assist_pen,curriculum/ent_coef,reward_terms/torque,ankle/ankle_defl_peak,reward_terms/motor_vel,reward_terms/alive,reward_terms/stop,reward_terms/foot_ahead,reward_terms/duty_sym,time/time_elapsed,reward_terms/angmom,reward_terms/stance_time,reward_terms/stance,reward_terms/phase_contact,time/fps,ankle/ankle_spring_trq_peak,curriculum/stance_ratio,curriculum/ctrl_drop_prob,reward_terms/step_rate,reward_terms/energy,curriculum/ctrl_jitter_ms,reward_terms/residual_rate,reward_terms/lat_vel,reward_terms/upright,curriculum/sprint_dist_m,reward_terms/clearance,reward_terms/coef_rate,reward_terms/ang_xy,rollout/ep_rew_mean,curriculum/eff_scale,rollout/ep_len_mean,time/iterations,reward_terms/height,reward_terms/hip_roll,train/entropy_loss,train/value_loss,train/clip_range,train/explained_variance,train/std,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/loss,train/n_updates
18432,-0.530780370983848,0.0,-0.9200519170065079,0.00012152743875049055,-0.05952442305966929,0.0,-0.5,-0.1319194587540535,-0.21321798373529394,0.0,0.01,0.0,0.5194260913524581,0.0,0.0,0.0,0.0,-0.0007979191601364606,4,-0.11681286140961417,0.0,-0.0012114504169287504,-0.27490521643044297,3968,0.0,0.65,0.0,-0.022753906249999213,0.0,0.0,0.0,-3.85187842205731e-08,-0.11324749748143272,25.0,0.056278923230591436,-1.5635856868442852,-0.3256999234941158,-129.29082022,0.0,117.48,1,-0.015406251236419276,-0.04223769240464661,,,,,,,,,,,
36864,-0.5289546961478091,0.0,-0.8893720473205557,0.00020236493825602034,-0.05974282351373439,0.0,-0.5,-0.13205784975339332,-0.2140850285473949,0.0,0.01,-3.426719979358776e-05,0.5195112701708593,-4.4773062622639713e-07,0.0,0.0,0.0,-9.947125411248871e-05,9,-0.10276431449793677,0.0,-0.001266628529610347,-0.26421216061377084,3833,0.0,0.649982336,0.0,-0.02161458333333262,-3.4765671551316944e-06,0.0,0.0,-3.9800852374513413e-08,-0.09107944082185115,25.01152,0.060909062531518385,-1.5636364253595336,-0.33791485188244763,-127.92246657,7.68e-05,111.93,2,-0.012404701917685772,-0.04253283016648436,-34.08343276977539,834.1814880371094,0.2,-0.0081709623336792,1.002455711364746,0.009141404,-0.02045130729675293,0.000299990784,0.06773681640625,432.43096923828125,4
55296,-0.5132153189007876,0.0,-0.8679613362220155,0.00015787719166837633,-0.05975679193170125,0.0,-0.5,-0.1342532020039252,-0.2146027991767776,0.0,0.01,-6.743326170674388e-05,0.5197186645122074,-8.941010076438375e-07,0.0,0.0,0.0,0.0,14,-0.10420704587025695,0.0,-0.0018718800404748921,-0.2665416561646872,3896,0.0,0.6499646720000001,0.0,-0.021647135416665964,-6.9558856872107656e-06,0.0,0.0,-3.815552270913477e-08,-0.08579552775278604,25.02304,0.06081514283860137,-1.5687073329947359,-0.3386085987389287,-127.25329609,0.0001536,109.29,3,-0.01128406795308362,-0.04164599696283417,-34.0782169342041,873.8477752685546,0.2,0.15963822603225708,1.0020842552185059,0.006734001,-0.011903654993511736,0.000299981568,0.02969970703125,427.6853942871094,8
73728,-0.5140851059217085,0.0,-0.9295493216702452,0.00019910970392326513,-0.059913776011815766,0.0,-0.5,-0.14155475252950303,-0.21378714429180717,0.0,0.01,-9.996041081554311e-05,0.5196429191210565,-1.3502257994922364e-06,0.0,0.0,0.0,-0.0003523655140976588,18,-0.12128752197715821,0.0,-0.0011950943639301422,-0.26756644340814556,3930,0.0,0.649947008,0.0,-0.02187499999999927,-1.032691719834936e-05,0.0,0.0,-4.1372010041484515e-08,-0.10580964704332965,25.03456,0.06329705752152566,-1.577133338428017,-0.3185420669271903,-128.0354814,0.0002304,112.41,4,-0.014481623672050824,-0.042317741888097074,-34.07180347442627,863.1787780761719,0.2,0.324135959148407,1.0016136169433594,0.0045988997,-0.009929119586013257,0.00029997235199999997,0.01265869140625,406.8418884277344,12
92160,-0.49477308319969104,0.0,-0.9621533981311602,0.0002549907367210835,-0.05943820274495177,0.0,-0.5,-0.1375738421868982,-0.21299992798948686,0.0,0.01,-0.000132091739149325,0.5193994205825132,-1.8012493681340958e-06,0.0,0.0,0.0,-0.00039376740909681805,23,-0.12141548427799845,0.0,-0.001725114790315126,-0.25848084093846285,3947,0.0,0.649929344,0.0,-0.021430121527777075,-1.3757196925734944e-05,0.0,0.0,-3.9431625115722205e-08,-0.10856012331166981,25.04608,0.0638390042335688,-1.5627742979766681,-0.32964915574768106,-129.5862996,0.0003072,118.65,5,-0.01454714945001549,-0.044487605231986575,-34.07117958068848,813.0591583251953,0.2,0.44053447246551514,1.0016909837722778,0.0038975857,-0.009591832919977606,0.000299963136,0.00792236328125,387.4205322265625,16
110592,-0.5183810198687662,0.0,-0.9271429576675969,0.00019748215951646367,-0.05987638235979082,0.0,-0.5,-0.1430420799937948,-0.21333756127402492,0.0,0.01,-0.0001661721818075323,0.519413156160938,-2.2707084105203e-06,0.0,0.0,0.0,-0.00011413611519288052,27,-0.12634686771340287,0.0,-0.0011268303948006161,-0.27343766490396404,3965,0.0,0.64991168,0.0,-0.02120225694444375,-1.7095767140139564e-05,0.0,0.0,-4.095584444710248e-08,-0.11251481804212458,25.0576,0.061496846445483394,-1.5776287356460408,-0.32290251434797956,-129.44188624,0.000384,118.02,6,-0.015661338589413737,-0.04544913631115574,-34.071527099609376,771.3280090332031,0.2,0.5318536162376404,1.0017080307006836,0.004776228,-0.009831594536080956,0.00029995392,0.01380615234375,370.31982421875,20
129024,-0.5152131335457237,0.0,-0.958879641897546,0.0002164708081788073,-0.05964884380204358,0.0,-0.5,-0.13978505461640658,-0.21293167512368577,0.0,0.01,-0.00019939814398491388,0.5196383015542818,-2.7151993889723203e-06,0.0,0.0,0.0,-0.00014439323850011846,32,-0.11888568451343423,0.0,-0.0009163570937040991,-0.2685637276359858,3975,0.0,0.6498940160000001,0.0,-0.02134331597222152,-2.065801800810166e-05,0.0,0.0,-4.023165292650384e-08,-0.097644741331233,25.06912,0.06383710715626405,-1.564333009307982,-0.32947855121491587,-128.98757627,0.0004608,116.25,7,-0.014260880532131799,-0.04631601679086907,-34.06601352691651,752.5465362548828,0.2,0.573526918888092,1.001341462135315,0.005214234,-0.010826572414953262,0.00029994470399999997,0.0152587890625,365.2801513671875,24
147456,-0.5037478996295086,0.0,-1.0335206817885099,0.00013020795692379275,-0.0599373638605822,0.0,-0.5,-0.14597629852758368,-0.2124676818161402,0.0,0.01,-0.0002336441264021287,0.5231421577326574,-3.17360663863524e-06,0.0,0.0,0.0,-0.00013131664086970342,36,-0.14390806903978695,0.0,-0.0007764338370146776,-0.2629205294125221,3986,0.0,0.649876352,0.0,-0.021896701388888162,-2.4321515668725263e-05,0.0,0.0,-3.911579427608749e-08,-0.12140591497283842,25.08064,0.06392479957234296,-1.5714820221831334,-0.3447562215009766,-128.41635759,0.0005376,113.92,8,-0.01794570138634886,-0.0439281358351845,-34.062642097473145,768.4931884765625,0.2,0.5846872925758362,1.0012016296386719,0.0056605837,-0.011664530693087727,0.000299935488,0.01810302734375,382.2469482421875,28
165888,-0.5094997744829517,0.0,-1.0252645643846967,0.0001551645303455492,-0.05974572647648091,0.0,-0.5,-0.14967668314642324,-0.21146211920975022,0.0,0.01,-0.00026843904834985497,0.519224858704098,-3.637324899080484e-06,0.0,0.0,0.0,-1.3811579429555e-05,41,-0.1478306469730912,0.0,-0.0015521696025666228,-0.24367810836115872,3994,0.0,0.649858688,0.0,-0.021940104166665933,-2.7556930353697776e-05,0.0,0.0,-3.98851363491683e-08,-0.1384796879925485,25.09216,0.06318052086161785,-1.5542150794092031,-0.3439533843807348,-128.74651903000003,0.0006144,115.24,9,-0.01898976978799943,-0.04696860106782956,-34.0661901473999,759.6665191650391,0.2,0.5996353626251221,1.0015641450881958,0.005828005,-0.011519861535634845,0.000299926272,0.0188720703125,384.1116943359375,32
184320,-0.5206252249182555,0.0,-1.017814767468459,0.00020182241375247637,-0.06007308877865393,0.0,-0.5,-0.12728436076534935,-0.2154565250330735,0.0,0.01,-0.00030322326974605544,0.5201306322033618,-3.9561355365259425e-06,0.0,0.0,0.0,-4.069065760850214e-05,46,-0.13290019455315438,0.0,-0.0010534387544974444,-0.2750283275451635,3999,0.0,0.649841024,0.0,-0.021896701388888152,-3.0378923521204503e-05,0.0,0.0,-3.769749210822555e-08,-0.10758371981241303,25.10368,0.05921182314561767,-1.564882435995866,-0.32748924234674187,-130.83794275,0.0006912,123.62,10,-0.01615046175395836,-0.04285909299418339,-34.07101192474365,745.1513854980469,0.2,0.6243004202842712,1.0016837120056152,0.0071724555,-0.012521075177937746,0.000299917056,0.02960205078125,355.94879150390625,36
202752,-0.5041557480378485,0.0,-1.0119452617651046,0.00022515132958586846,-0.060092062828112115,0.0,-0.5,-0.14380097440941786,-0.21587498197471794,0.0,0.01,-0.0003189941806437609,0.5207781345279764,-4.4957775332488176e-06,0.0,0.0,0.0,-0.0003910751149830392,50,-0.1322990492850855,0.0,-0.0016419571284328426,-0.2528006681054806,4007,0.0,0.6498233600000001,0.0,-0.022265624999999248,-3.379440450983244e-05,0.0,0.0,-4.267237509793128e-08,-0.10708598361141514,25.1152,0.06124466508622813,-1.5693538842381163,-0.3196060079106109,-129.50488288,0.000768,118.3,11,-0.01632522139510452,-0.0451216110945939,-34.071377182006835,728.1043731689454,0.2,0.6184048652648926,1.0017040967941284,0.0071510524,-0.013771931733936071,0.00029990784,0.02919921875,335.856689453125,40
