time/fps,rollout/ep_len_mean,time/iterations,curriculum/ctrl_drop_prob,time/time_elapsed,reward_terms/stop,reward_terms/foot_ahead,rollout/ep_rew_mean,ankle/ankle_defl_peak,curriculum/ctrl_jitter_ms,reward_terms/assist_pen,ankle/ankle_spring_energy_peak,reward_terms/coef_rate,reward_terms/overrun,curriculum/sprint_dist_m,reward_terms/residual,reward_terms/height,curriculum/ent_coef,reward_terms/stance,reward_terms/vz,reward_terms/action_rate,reward_terms/clearance,curriculum/stance_ratio,reward_terms/stance_time,ankle/ankle_spring_trq_peak,reward_terms/foot_slip,time/total_timesteps,reward_terms/duty_sym,reward_terms/alive,reward_terms/air_time,reward_terms/ang_xy,reward_terms/energy,reward_terms/torque,reward_terms/step_rate,reward_terms/lat_vel,reward_terms/phase_contact,reward_terms/angmom,reward_terms/hip_roll,curriculum/eff_scale,reward_terms/upright,reward_terms/motor_vel,reward_terms/fwd_speed,reward_terms/residual_rate,reward_terms/time,train/clip_fraction,train/loss,train/std,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/value_loss,train/approx_kl,train/clip_range,train/entropy_loss
2164,182.23,1,0.0,8,0.0,0.0,-119.11715473,0.7968756457224062,0.0,0.0,19.442688050526453,-0.4680012416737558,0.0,61.2496375,-0.10498584387129581,-0.010145190839216812,0.01,-2.130269206533434e-07,-0.12310286218494726,-0.053988440114476205,0.03563470957119348,0.5944172225000001,-0.01676941262040701,32.990651732907615,-0.38816889539141736,58017852,0.0,0.0,7.161435334839755e-05,-0.24774677511097767,-0.014851887337457117,-0.14838314719119944,-0.00955946180555548,-4.7250619620751846e-08,-0.48879444061630944,-0.08217197607927648,-0.06336848370887005,0.24166425,-0.20867192224072045,-0.0023348588767755007,1.0268505089443662,0.0,-0.5,,,,,,,,,,,
2549,211.27,2,0.0,14,0.0,0.0,-118.25338923999999,0.7278978190827194,0.0,0.0,14.712103790169158,-0.40602895784158327,0.0,61.2611575,-0.10677379029212516,-0.011751065341945387,0.01,-4.007143385083578e-05,-0.1289842867958259,-0.048474868802886165,0.03235862199719161,0.5943995585,-0.022228243060655788,30.134969710024585,-0.36971255642630396,58036284,0.0,0.0,1.7903541447594762e-05,-0.23522449329707168,-0.014228151116039749,-0.14468942718984268,-0.009624565972222141,-4.378476769638297e-08,-0.49829267438264246,-0.0930053651356973,-0.05483220501070786,0.24174105,-0.23266163150378658,-0.002265227165616326,1.27867454313147,0.0,-0.5,0.1888427734375,0.5836814641952515,1.0020081996917725,12577,0.00027099107399999997,-0.016005341568961738,0.9455585479736328,2.718620091676712,0.018097173,0.2,-34.07693939208984
2918,225.18,3,0.0,18,0.0,0.0,-120.09143146000001,0.7217283366738538,0.0,0.0,13.219992340338658,-0.406537616665401,0.0,61.2726775,-0.10658844645554505,-0.011120646284196773,0.01,-0.00011285007613441078,-0.12858965543191989,-0.04949331230666266,0.03288524618231052,0.5943818945,-0.02020934224775475,29.87955313829755,-0.3591332073880637,58054716,0.0,0.0,2.3328815586864948e-05,-0.23798683221591663,-0.01426804480595338,-0.14647782612768367,-0.009418402777777708,-4.305609339981328e-08,-0.4915599635543406,-0.09115082974855866,-0.05704537018626569,0.24181785,-0.23065428842228622,-0.00226837629285766,1.2519164244878904,0.0,-0.5,0.21217041015625,0.41965728998184204,1.0024322271347046,12581,0.000270981858,-0.009194734366610646,0.978177547454834,1.142429918050766,0.02382927,0.2,-34.08127059936523
3140,223.8,4,0.0,23,0.0,0.0,-119.09986933,0.7630649254273014,0.0,0.0,17.528564162211286,-0.41125267443600544,0.0,61.2841975,-0.10672382740245878,-0.011088366544651987,0.01,-2.404398751871315e-05,-0.13177214300894305,-0.04826756054992902,0.03331783564725531,0.5943642305,-0.02042866024324515,31.590887912690278,-0.370827257235641,58073148,0.0,0.0,2.4956398798773687e-05,-0.2378425154047791,-0.014453375192377752,-0.14565767919023165,-0.009592013888888808,-4.415467764658341e-08,-0.4911308733240516,-0.09136839640376815,-0.05757187340677558,0.24189465,-0.2282712831609356,-0.0022956981896563927,1.286394587264149,0.0,-0.5,0.20899658203125,-0.1934145838022232,1.0022618770599365,12585,0.000270972642,-0.011168168793665246,0.9774279594421387,0.9186080902814865,0.02346625,0.2,-34.079674339294435
3287,231.69,5,0.0,28,0.0,0.0,-119.69846812999998,0.7481576570060047,0.0,0.0,17.25673099391001,-0.4090568018838832,0.0,61.2957175,-0.10692698710887144,-0.011497945910685694,0.01,-1.2915449112044745e-05,-0.13356637558767162,-0.04788413879985952,0.032914150920126735,0.5943465665000001,-0.019784944186944306,30.97372700004859,-0.362491040784698,58091580,0.0,0.0,2.604146720841527e-05,-0.2393613962527094,-0.014483423292881452,-0.14592207150925451,-0.009494357638888814,-4.351716632936265e-08,-0.4898421084112415,-0.09361661324912957,-0.05615679408523987,0.24197145,-0.23220580752085532,-0.0022832487767802958,1.2785301568699028,0.0,-0.5,0.29136962890625,0.20767271518707275,1.0023912191390991,12589,0.000270963426,-0.00891721125226468,0.9794484972953796,1.0358858674764633,0.03968128,0.2,-34.08187007904053
3390,218.96,6,0.0,32,0.0,0.0,-119.09886779000003,0.7646129414020091,0.0,0.0,16.966579329331065,-0.4061576256069041,0.0,61.3072375,-0.10669008253728023,-0.011241966398011095,0.01,-2.7929744568663502e-05,-0.12895017204116266,-0.0489615514913588,0.03319707597342971,0.5943289025,-0.019518153164729785,31.654975774043177,-0.37839332207915705,58110012,0.0,0.0,1.2478179996833205e-05,-0.23726445389905232,-0.014415056530241702,-0.14606684306070394,-0.009570312499999921,-4.5512257248077464e-08,-0.4932231404795629,-0.09314779304917832,-0.057335179830799415,0.24204825,-0.22989006572455084,-0.002297536934987869,1.2773711736702535,0.0,-0.5,0.26317138671875,0.21494174003601074,1.0023823976516724,12593,0.00027095421,-0.011831747042015195,0.984089732170105,0.7637413263320922,0.028941741,0.2,-34.08022689819336
3473,229.49,7,0.0,37,0.0,0.0,-119.91567995000003,0.772008567841282,0.0,0.0,17.74297154184587,-0.40603541063095594,0.0,61.318757500000004,-0.10683784182408472,-0.011343752956310321,0.01,-8.367258789465988e-05,-0.13322066854143935,-0.04803082907723438,0.032529960748898364,0.5943112385,-0.020270104046277184,31.961154708629074,-0.3682523724018459,58128444,0.0,0.0,1.356324840647479e-05,-0.23721982660547467,-0.014452029279310484,-0.1449373742379335,-0.009505208333333258,-4.457214157194087e-08,-0.4836265969714549,-0.09431372898611462,-0.05854438340767714,0.24212505,-0.22775956936107333,-0.0022825159881007255,1.291029927843178,0.0,-0.5,0.255224609375,0.141539067029953,1.0029842853546143,12597,0.000270944994,-0.01152790868654847,0.9773603677749634,1.0825773268938064,0.028467601,0.2,-34.087458801269534
3537,223.76,8,0.0,41,0.0,0.0,-119.5279384,0.7374500374275939,0.0,0.0,15.400530662552388,-0.4107334353100398,0.0,61.3302775,-0.10690086505956403,-0.011789543061829603,0.01,-7.40907248906632e-05,-0.13948850980155783,-0.049097348472646234,0.03432283034692941,0.5942935745,-0.019885719535523094,30.530431549502385,-0.36557966658581187,58146876,0.0,0.0,5.208307023470601e-05,-0.24080798391935965,-0.014495423782681562,-0.1444687907674445,-0.009353298611111041,-4.538024149689855e-08,-0.4921087575656822,-0.0921155602600527,-0.060048079044839914,0.24220185,-0.22872627697492265,-0.0023069888796749564,1.2672780513625868,0.0,-0.5,0.27620849609375,0.022707819938659668,1.0026652812957764,12601,0.00027093577799999996,-0.011549904360435903,0.9771862626075745,1.097582969069481,0.0370375,0.2,-34.08577613830566
3593,208.92,9,0.0,46,0.0,0.0,-118.22568739,0.7199730817698127,0.0,0.0,12.742571417654203,-0.4086444150291552,0.0,61.3417975,-0.10670118201549444,-0.011347482282955665,0.01,-8.881646108992171e-05,-0.13250615683876743,-0.048615168883825076,0.03411931854930887,0.5942759105000001,-0.02128437172117022,29.806885585270244,-0.3693628710656633,58165308,0.0,0.0,2.4956427902604144e-05,-0.2324445353033451,-0.014342727423077862,-0.14450361270133324,-0.009711371527777693,-4.61441248112346e-08,-0.49009938433801664,-0.09016120044938006,-0.06017326107460181,0.24227865,-0.21962808387933752,-0.002276528579972866,1.25986345315438,0.0,-0.5,0.25513916015625,-0.05149528384208679,1.0023587942123413,12605,0.000270926562,-0.010795407625846565,0.9832136034965515,0.8456851154565811,0.026165089,0.2,-34.081251335144046
3637,216.22,10,0.0,50,0.0,0.0,-118.60623342000001,0.7168233070682415,0.0,0.0,14.004900190975883,-0.39930054811331,0.0,61.3533175,-0.10686787269035622,-0.011689681512648355,0.01,-2.177807242230671e-05,-0.13685929560187604,-0.04886227435089236,0.03347289069743307,0.5942582465,-0.019155469110248506,29.676484912625195,-0.3694946498311622,58183740,0.0,0.0,2.278626197949052e-05,-0.23425795964168994,-0.014249740953018203,-0.1451176445370407,-0.009233940972222162,-4.2207665479319956e-08,-0.4907378486527947,-0.09012702699054331,-0.05825971942526061,0.24235545,-0.22838257122202388,-0.00226913160926538,1.274531575061748,0.0,-0.5,0.240478515625,0.21177786588668823,1.0022977590560913,12609,0.000270917346,-0.008865538542158902,0.9785036444664001,0.971373587846756,0.023562893,0.2,-34.081057929992674
