time/iterations,curriculum/ent_coef,reward_terms/lat_vel,reward_terms/vz,curriculum/ctrl_jitter_ms,time/fps,rollout/ep_len_mean,reward_terms/motor_vel,reward_terms/residual,reward_terms/action_rate,reward_terms/energy,reward_terms/angmom,reward_terms/residual_rate,reward_terms/duty_sym,reward_terms/stop,time/time_elapsed,reward_terms/hip_roll,reward_terms/fwd_speed,ankle/ankle_defl_peak,reward_terms/ang_xy,reward_terms/upright,reward_terms/stance,curriculum/ctrl_drop_prob,reward_terms/torque,reward_terms/assist_pen,reward_terms/alive,reward_terms/foot_slip,reward_terms/coef_rate,reward_terms/height,reward_terms/foot_ahead,reward_terms/air_time,reward_terms/overrun,reward_terms/clearance,curriculum/eff_scale,curriculum/sprint_dist_m,reward_terms/phase_contact,reward_terms/stance_time,rollout/ep_rew_mean,curriculum/stance_ratio,reward_terms/time,time/total_timesteps,ankle/ankle_spring_trq_peak,reward_terms/step_rate,ankle/ankle_spring_energy_peak,train/approx_kl,train/n_updates,train/learning_rate,train/entropy_loss,train/explained_variance,train/std,train/policy_gradient_loss,train/clip_fraction,train/loss,train/clip_range,train/value_loss
1,0.01,-8.30231389593659e-09,-0.11161918106835474,0.0,2728,47.73,0.0,-0.06038700658086314,-0.21640534222270827,0.0,-0.18836941794910184,0.0,0.0,0.0,6,-0.0027163691586574693,-1.3900767945728039,0.10506861817483687,-0.1258209996617174,-0.23492481328886955,-1.0182207623459043e-06,0.0,0.0,0.0,0.0,-0.03684593063127098,-1.5616210019171974,-0.029617204828462744,0.0,0.0,0.0,0.025035167012413113,0.0,25.0,-0.5632067604747201,-0.007610658793257446,-147.61681281,0.65,-0.5,18432,36.774016361192906,-0.010297309027777743,1.9420689296460343,,,,,,,,,,,
2,0.01,-7.906411978335351e-09,-0.11013982775808136,0.0,2667,46.74,-5.880549422510771e-08,-0.06061301524605172,-0.21525056658039976,-5.253486988081115e-07,-0.1795024706947022,0.0,0.0,0.0,13,-0.002516385038956242,-1.383134259298262,0.11221556507080743,-0.12105851412791603,-0.22419641763173115,-3.8889111109218087e-08,0.0,-1.6725210020841308e-05,0.0,0.0,-0.033910375171208006,-1.5675428905692637,-0.029052202994668066,0.0,0.0,0.0,0.02430767163901759,0.0003072,25.04608,-0.5636320299489468,-0.007879213313572109,-146.62799566,0.649929344,-0.5,36864,39.2754477747826,-0.010601128472222183,2.2036834479504206,0.008338159,4,0.000299963136,-34.084293365478516,-0.023711442947387695,1.0025005340576172,-0.020422076259274037,0.060595703125,1215.0224609375,0.2,2437.1687866210937
3,0.01,-8.630928240336111e-09,-0.11542346928613657,0.0,2699,46.78,-1.20233784728286e-07,-0.0607865533166507,-0.21660657875926403,-1.0635506316141764e-06,-0.20025770473268162,0.0,0.0,0.0,20,-0.0028249153579231,-1.4360692897747234,0.11726226104916501,-0.13081030874597874,-0.2544502447520743,-8.440239630428887e-06,0.0,-3.2494155845493524e-05,0.0,0.0,-0.036693413864199456,-1.5664218040412368,-0.031133265074471186,0.0,1.085065175882644e-06,0.0,0.02676595159731611,0.0006144,25.09216,-0.5524507409446081,-0.008264411986197552,-146.67987374999998,0.649858688,-0.5,55296,41.04179136720776,-0.010568576388888841,2.407510099777555,0.0061243554,8,0.000299926272,-34.07740592956543,0.14100855588912964,1.0021063089370728,-0.011962696071714162,0.02408447265625,1207.6383056640625,0.2,2429.3491943359377
4,0.01,-8.566852617351125e-09,-0.11446441043379527,0.0,2717,48.3,-1.7766572757497035e-07,-0.060817763887643164,-0.21501184340249876,-1.5465595383412009e-06,-0.1969355646038279,0.0,0.0,0.0,27,-0.002674928251864951,-1.422865385399162,0.11477241567927979,-0.12541770944968983,-0.2522037660658374,-0.0002292946742820515,0.0,-4.710462998364597e-05,0.0,0.0,-0.032352368241655646,-1.5692886111342774,-0.03108241352831755,0.0,0.0,0.0,0.026142663215243663,0.0009216,25.13824,-0.5577196064587717,-0.009073329845301082,-148.20573182,0.649788032,-0.5,73728,40.17034548774792,-0.009895833333333293,2.3180312798688196,0.0056712474,12,0.00029988940799999996,-34.07493553161621,0.3108944892883301,1.0018086433410645,-0.010976904793642462,0.01954345703125,1170.9822998046875,0.2,2366.12421875
5,0.01,-8.253906795506661e-09,-0.10894331735368444,0.0,2728,47.42,-2.327588736259422e-07,-0.06028752632284573,-0.21569711174304457,-2.086305827236628e-06,-0.19051074796955317,0.0,0.0,0.0,33,-0.002631505035968118,-1.4006195549784068,0.10515734720736652,-0.12312922869467029,-0.23401469250849904,-7.758604351990921e-06,0.0,-6.635086735051038e-05,0.0,0.0,-0.040450993726610984,-1.5665788461227734,-0.029446340651193264,0.0,0.0,0.0,0.024343421202670315,0.0012288,25.18432,-0.5619640201684585,-0.008964280342398625,-147.31813222,0.649717376,-0.5,92160,36.80507152257828,-0.010926649305555487,2.01109354241081,0.004161298,16,0.000299852544,-34.06692333221436,0.45907062292099,1.001004695892334,-0.009526788437506184,0.01016845703125,1159.606689453125,0.2,2346.4463134765624
6,0.01,-8.103388326728242e-09,-0.11574801075185039,0.0,2736,48.41,-2.934841621417062e-07,-0.06065001230491317,-0.21563371872794587,-2.567949041294642e-06,-0.2014756023813592,0.0,0.0,0.0,40,-0.0025144044341039646,-1.4460761153007262,0.11019069546794419,-0.12692809779556802,-0.254035530965994,-1.9385498867241086e-06,0.0,-7.838336160945707e-05,0.0,0.0,-0.03137589561551962,-1.5685205604480175,-0.03199102267944201,0.0,0.0,0.0,0.0271759573434434,0.001536,25.2304,-0.5506801412783084,-0.008582336997884946,-148.29922050000002,0.64964672,-0.5,110592,38.566743413780465,-0.010557725694444416,2.141320285503201,0.004957262,20,0.00029981568,-34.06965713500976,0.5340073108673096,1.0015332698822021,-0.01042111690621823,0.014208984375,1154.956298828125,0.2,2345.918811035156
7,0.01,-8.586701932889891e-09,-0.12421840135608485,0.0,2738,48.95,-3.474673330983037e-07,-0.0606801708866898,-0.2145696854643254,-2.9843811780499837e-06,-0.2199818091516349,0.0,0.0,0.0,47,-0.0026937138283225667,-1.4780807558576312,0.11162852105523405,-0.13502219496743953,-0.27105638752733285,-0.0001000286949630366,0.0,-9.270465574598224e-05,0.0,0.0,-0.03240443618572742,-1.5630637759015131,-0.033769316612167394,0.0,0.0,0.0,0.027858545565639728,0.0018432,25.27648,-0.5476047819935138,-0.008698439018593894,-148.83695028999998,0.649576064,-0.5,129024,39.06998236933192,-0.010622829861111049,2.197783682902536,0.004632764,24,0.000299778816,-34.06767749786377,0.571794331073761,1.0010762214660645,-0.009439256822224707,0.013818359375,1118.602294921875,0.2,2276.0303344726562
8,0.01,-8.142559217095954e-09,-0.12497678387030103,0.0,2742,49.91,-4.026718543330174e-07,-0.06085842236273057,-0.2163959468978027,-3.3846931859182368e-06,-0.2230768097263568,0.0,0.0,0.0,53,-0.0028323614356742938,-1.4970157064897873,0.10654958179013299,-0.13444581319211124,-0.27813235395845604,-1.5485148056664735e-05,0.0,-0.0001055674529281339,0.0,0.0,-0.03073530553790096,-1.5682995011641934,-0.034848822789838106,0.0,7.595485335008965e-06,0.0,0.02964205893070955,0.0021504,25.32256,-0.5463100986532554,-0.008523743334485011,-149.80611783999998,0.649505408,-0.5,147456,37.29235362654655,-0.010438368055555484,1.9869070195411296,0.0039175074,28,0.000299741952,-34.06514892578125,0.5734913349151611,1.0011157989501953,-0.008891854155808687,0.010302734375,1035.73095703125,0.2,2156.9046264648437
9,0.01,-8.091413894442048e-09,-0.12424461098910178,0.0,2747,48.62,-4.683921954463319e-07,-0.0607101501894582,-0.2140221842561808,-3.969248869353033e-06,-0.21786664495442334,0.0,0.0,0.0,60,-0.0027181284097139167,-1.4937919720346422,0.1139714151638283,-0.1328242950538477,-0.2765220434894793,-8.756789380074461e-05,0.0,-0.00012066261584886204,0.0,0.0,-0.034530429154864345,-1.5731508200430417,-0.03499106695409385,0.0,0.0,0.0,0.02935099393688917,0.0024576,25.36864,-0.5451269359130322,-0.008273635101633973,-148.51205654,0.649434752,-0.5,165888,39.88999530733991,-0.01059027777777772,2.2869159282756404,0.0018786928,32,0.00029970508799999996,-34.06588706970215,0.5163677930831909,1.001104712486267,-0.0060771379503421485,0.0015380859375,947.7119140625,0.2,2003.6831604003905
10,0.01,-8.581343603900456e-09,-0.12156556547280035,0.0,2750,49.28,-5.35160483101356e-07,-0.06091730909705769,-0.2172341474684595,-4.621606855537748e-06,-0.2157715792164542,0.0,0.0,0.0,67,-0.0027455523821665116,-1.4763208521296383,0.10626018798532727,-0.13180774073567467,-0.26941535194189226,-2.3047500547832917e-05,0.0,-0.0001461731268930488,0.0,0.0,-0.03373978720163152,-1.5707538484910106,-0.03419915786199941,0.0,3.2552052289247513e-06,0.0,0.027077567298076886,0.0027648,25.41472,-0.5523197196423587,-0.008868252095352445,-149.18373068999998,0.649364096,-0.5,184320,37.19106579486454,-0.010384114583333291,1.976000470322069,0.0020868205,36,0.000299668224,-34.06487560272217,0.46358591318130493,1.0009045600891113,-0.006161491840612143,0.0026611328125,866.2924194335938,0.2,1866.4841186523438
