rollout/ep_rew_mean,curriculum/sprint_dist_m,reward_terms/overrun,reward_terms/vz,reward_terms/residual,reward_terms/coef_rate,time/time_elapsed,reward_terms/foot_slip,reward_terms/clearance,reward_terms/action_rate,ankle/ankle_defl_peak,reward_terms/torque,ankle/ankle_spring_trq_peak,reward_terms/upright,curriculum/ctrl_drop_prob,reward_terms/phase_contact,reward_terms/stance,reward_terms/energy,time/total_timesteps,reward_terms/time,ankle/ankle_spring_energy_peak,reward_terms/duty_sym,reward_terms/stance_time,reward_terms/assist_pen,reward_terms/step_rate,curriculum/eff_scale,reward_terms/lat_vel,reward_terms/height,curriculum/stance_ratio,time/fps,time/iterations,reward_terms/air_time,reward_terms/stop,curriculum/ent_coef,curriculum/ctrl_jitter_ms,reward_terms/alive,reward_terms/hip_roll,rollout/ep_len_mean,reward_terms/fwd_speed,reward_terms/ang_xy,reward_terms/motor_vel,reward_terms/angmom,reward_terms/foot_ahead,reward_terms/residual_rate,train/explained_variance,train/n_updates,train/value_loss,train/entropy_loss,train/std,train/approx_kl,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/loss,train/clip_fraction
-148.55180096551726,25.0,0.0,-0.09012300126436852,-0.060311174024432784,-1.5804720186451489,4,-0.2263412155690826,0.007916026323613249,-0.21341488336245013,0.5183747555376218,0.0,0.0,-0.1026199969019314,0.0,-0.6172731319278589,-0.0026405588898668272,0.0,18432,-0.5,0.0,0.0,-0.024786545739819605,0.0,-0.0023763020833333375,0.0,-1.9925592843897285e-09,-0.023385138109014,0.65,3942,1,3.9062394838159285e-05,0.0,0.01,0.0,0.0,-0.0035254726298081848,194.97701149425288,-1.208078575298279,-0.04267119015167919,0.0,-0.14673889763441972,0.0,0.0,,,,,,,,,,,
-146.64560379,25.01152,0.0,-0.08135104653659424,-0.06010998857852231,-1.570689499424559,9,-0.22278047572102277,0.006481790902400718,-0.2125321817038351,0.5193458410965265,-3.6927136804655317e-06,0.0,-0.0839897525457437,0.0,-0.6238315766004273,-0.002300553136202086,-1.0783579971143159e-07,36864,-0.5,0.0,0.0,-0.022671064876097564,0.0,-0.0023871527777777823,7.68e-05,-1.9803931386051675e-09,-0.020225598521596586,0.649982336,3799,2,6.998681540911396e-05,0.0,0.01,0.0,0.0,-0.00502367488490017,187.35,-1.2058417624335251,-0.04849204812301862,-9.23419942535925e-09,-0.13544889010556996,0.0,0.0,0.024517834186553955,4,474.11571807861327,-34.091064453125,1.0031299591064453,0.007190991,0.2,0.000299990784,-0.01668293635593727,205.2803955078125,0.058642578125
-147.4737728,25.02304,0.0,-0.09056961557228,-0.06035128944589501,-1.596509206655177,14,-0.2277378282364445,0.0066114509063728965,-0.21397365076388086,0.5192483687113176,-6.9192149937910265e-06,0.0,-0.105369833245642,0.0,-0.6254664330671152,-0.0031955620810702463,-1.9762794338936101e-07,55296,-0.5,0.0,0.0,-0.023863288735608675,0.0,-0.002408854166666671,0.0001536,-2.0210147951692505e-09,-0.023405468054922707,0.6499646720000001,3863,3,7.75822651727746e-05,0.0,0.01,0.0,0.0,-0.005005466240550478,190.67,-1.211012352346442,-0.048282298554201616,-1.75396567325783e-08,-0.14793836448904757,0.0,0.0,0.2694719433784485,8,512.8388229370117,-34.079706001281735,1.0020726919174194,0.0056605125,0.2,0.000299981568,-0.009784041345119477,227.03114318847656,0.02811279296875
-146.65077576,25.03456,0.0,-0.07945542851487657,-0.060363285933754916,-1.5847472499298485,18,-0.24520244666367141,0.007765168410980964,-0.21599282747834922,0.5187303596140694,-1.1405330310388406e-05,0.0,-0.08152967902824775,0.0,-0.6110757389853098,-0.003940611744647621,-3.335763954129818e-07,73728,-0.5,0.0,0.0,-0.023586866397333022,0.0,-0.0027018229166666757,0.0002304,-1.8566465259354725e-09,-0.0198949164458275,0.649947008,3897,4,8.409270473445456e-05,0.0,0.01,0.0,0.0,-0.004403142632076532,187.32,-1.165127216735206,-0.04490044243071315,-2.834325937752169e-08,-0.12386980473649757,0.0,0.0,0.45181238651275635,12,461.4284637451172,-34.07350196838379,1.0017063617706299,0.004934444,0.2,0.00029997235199999997,-0.009092834568582476,197.58489990234375,0.0206787109375
-148.27186752000003,25.04608,0.0,-0.09645841944615362,-0.06021499962205864,-1.5777038113327233,23,-0.23333962592096563,0.009324340069102412,-0.2109185896345584,0.5194597083068441,-1.3917080108320973e-05,0.0,-0.11616863174860079,0.0,-0.6118009976126818,-0.004289439597881119,-4.1147213501431187e-07,92160,-0.5,0.0,0.0,-0.024766880535430066,0.0,-0.0025607638888888963,0.0003072,-2.0051519803742777e-09,-0.024893557732944976,0.649929344,3917,5,9.06030860884736e-05,0.0,0.01,0.0,0.0,-0.00437552788537929,193.85,-1.251723452766707,-0.04910893635855467,-3.655851689134007e-08,-0.1578384953221481,0.0,0.0,0.5570098161697388,16,466.4277770996094,-34.07258281707764,1.0016601085662842,0.0056728953,0.2,0.000299963136,-0.00851346132112667,234.9528045654297,0.0274658203125
-147.947686,25.0576,0.0,-0.08600605786260007,-0.06069980001986392,-1.5741021892157645,28,-0.23544121355388203,0.009907251972719173,-0.2149860199855741,0.5180455954838643,-1.6879137177529964e-05,0.0,-0.09655295816951724,0.0,-0.6083701302712432,-0.003521477661196779,-5.113213513233044e-07,110592,-0.5,0.0,0.0,-0.02537573689672475,0.0,-0.0028320312500000108,0.000384,-1.9798930714300213e-09,-0.02179391345406516,0.64991168,3939,6,7.161437921846907e-05,0.0,0.01,0.0,0.0,-0.0037863085400590395,192.55,-1.2192657953569526,-0.04543307615045835,-4.590012380932362e-08,-0.14198900722657687,0.0,0.0,0.6106189489364624,20,441.7833999633789,-34.072177505493165,1.0016664266586304,0.0065989345,0.2,0.00029995392,-0.010022447258234025,222.82566833496094,0.03287353515625
-147.25693488000002,25.06912,0.0,-0.08928561568466639,-0.060143002951460675,-1.5814320320811894,32,-0.2171879260269306,0.00759877273440308,-0.21171949992147965,0.5191082896226107,-2.1779039061904897e-05,0.0,-0.09813995028282298,0.0,-0.6227774722060597,-0.0054071974222210635,-6.09076360314686e-07,129024,-0.5,0.0,0.0,-0.021068156779316876,0.0,-0.0024522569444444496,0.0004608,-2.0943472918492024e-09,-0.022800039292227743,0.6498940160000001,3950,7,6.239132684034605e-05,0.0,0.01,0.0,0.0,-0.004563068695213985,189.84,-1.2217676718479864,-0.044200037851222285,-5.3006246606202194e-08,-0.14389528563864207,0.0,0.0,0.6496129631996155,24,424.06510772705076,-34.07405529022217,1.0017344951629639,0.0065649776,0.2,0.00029994470399999997,-0.010023575462400913,202.67579650878906,0.03387451171875
-149.10913546999998,25.08064,0.0,-0.11379831333164768,-0.060265483202756105,-1.5808577272163729,37,-0.20876336255043101,0.009959543009157933,-0.21449474975025368,0.519300032613771,-2.3014534696053093e-05,0.0,-0.14398141420856364,0.0,-0.6036704705279747,-0.002499873163644,-6.822408023955238e-07,147456,-0.5,0.0,0.0,-0.02927193777092422,0.0,-0.0025282118055555618,0.0005376,-2.1675921960829696e-09,-0.0300005575673951,0.649876352,3962,8,0.000124782766862255,0.0,0.01,0.0,0.0,-0.004258548024114062,197.28,-1.3492084182361959,-0.055944332611955354,-6.210438468205577e-08,-0.19387152097535698,0.0,0.0,0.6780527830123901,28,438.15789794921875,-34.072171211242676,1.0016359090805054,0.006780909,0.2,0.000299935488,-0.010279944038484246,203.1663818359375,0.03272705078125
-148.66145805999997,25.09216,0.0,-0.10230476667190043,-0.06037325728444573,-1.5773374035678611,41,-0.22868071331688716,0.008832577896046669,-0.21291651344578819,0.5193220887162946,-2.704450230728656e-05,0.0,-0.12545640671064334,0.0,-0.601158213537111,-0.003628632436296925,-8.221102557804148e-07,165888,-0.5,0.0,0.0,-0.02556874078032302,0.0,-0.002560763888888896,0.0006144,-2.1469925334559033e-09,-0.02642544826467772,0.649858688,3968,9,6.130625843070447e-05,0.0,0.01,0.0,0.0,-0.005268932783766886,195.39,-1.2940655386436932,-0.05383867132761004,-7.414163668964994e-08,-0.17237979763027705,0.0,0.0,0.6846868395805359,32,399.02259063720703,-34.07727966308594,1.0021549463272095,0.005453717,0.2,0.000299926272,-0.009377261193003505,181.1610565185547,0.021923828125
-149.89504074,25.10368,0.0,-0.12330014731491296,-0.060590024394381846,-1.5854652750484068,46,-0.24610246542841058,0.010925487292519792,-0.21234876766674665,0.5191098951986678,-2.837673903088703e-05,0.0,-0.159141410404102,0.0,-0.5901597030964143,-0.003654260123357081,-8.619354099546089e-07,184320,-0.5,0.0,0.0,-0.030571039864702873,0.0,-0.0028428819444444556,0.0006912,-2.0275278852734352e-09,-0.03229868560850272,0.649841024,3974,10,5.099811824038625e-05,0.0,0.01,0.0,0.0,-0.004238572118885665,200.37,-1.3403229711666975,-0.05839305122112352,-7.813285494658785e-08,-0.2010904228795659,0.0,0.0,0.6923027634620667,36,382.86632537841797,-34.077873611450194,1.0020203590393066,0.0047688093,0.2,0.000299917056,-0.00891939738066867,182.22264099121094,0.01507568359375
