reward_terms/phase_contact,reward_terms/alive,reward_terms/residual,reward_terms/motor_vel,reward_terms/lat_vel,curriculum/cmd_track_err,reward_terms/upright,reward_terms/hip_roll,reward_terms/stand,reward_terms/stance,time/iterations,reward_terms/assist_pen,reward_terms/time,ankle/ankle_spring_trq_peak,curriculum/swing_frac_mean,curriculum/ent_coef,curriculum/dr_scale,curriculum/swing_frac_min,curriculum/ctrl_jitter_ms,curriculum/ctrl_drop_prob,reward_terms/stand_drift,est/vel_rmse,reward_terms/energy,reward_terms/coef_rate,rollout/ep_len_mean,reward_terms/foot_ahead,reward_terms/overrun,time/time_elapsed,reward_terms/track_lin,reward_terms/torque,time/total_timesteps,rollout/ep_rew_mean,reward_terms/ang_xy,reward_terms/stop,reward_terms/foot_slip,reward_terms/step_rate,reward_terms/angmom,time/fps,curriculum/stance_ratio,reward_terms/vz,reward_terms/fwd_speed,curriculum/eff_scale,ankle/ankle_defl_peak,curriculum/cmd_scale,reward_terms/track_yaw,reward_terms/residual_rate,reward_terms/clearance,reward_terms/air_time,reward_terms/height,reward_terms/action_rate,reward_terms/duty_sym,ankle/ankle_spring_energy_peak,reward_terms/stance_time,train/n_updates,train/loss,train/value_loss,train/clip_range,train/approx_kl,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/explained_variance,train/std,train/learning_rate,curriculum/ctrl_drop_prob_progress,curriculum/dr_scale_progress,curriculum/stance_ratio_progress,curriculum/eff_scale_progress,curriculum/ctrl_jitter_ms_progress
-0.04799669767141304,0.0,-0.09007016673065255,0.0,-1.1842222102668628e-08,0.6170508014793028,-0.22294913615536516,-0.08444013347327893,0.41286442928091077,-0.002717432595336087,1,0.0,0.0,0.0,0.3973524305555556,0.01,0.0,0.2929144965277778,0.0,0.0,-0.02066488871924115,1.3029446868193237,0.0,-0.8155959547902061,124.27,0.0,0.0,2,0.6613734331992224,0.0,18432,-69.10320001999999,-0.13865087929487527,0.0,-0.4654498792522736,-0.006553819444444508,-0.17451966159294838,8952,0.7,-0.07085220845444742,0.0,0.0,0.50520138609275,0.0,1.999790027498495,0.0,0.0237888291969478,0.00011501720614938272,-0.012763344601893743,-0.11174075911197952,-0.005574401152265091,0.0,-0.0003065306098303861,,,,,,,,,,,,,,,,
0.0,0.0,-0.09131441310181626,0.0,-6.384690104521683e-09,0.5343396312406876,-0.2448614372363106,-0.07301475901580524,0.38650624795284116,-0.0010548697648635468,2,0.0,0.0,0.0,0.38102213541666663,0.01,0.0,0.2365451388888889,0.0,0.0,-0.022819628784925737,0.9609822518697527,0.0,-0.7937446970113832,146.43,0.0,0.0,3,0.6828291122507628,0.0,36864,-55.161923800000004,-0.11736754967631506,0.0,-0.39196447620375846,-0.006000434027777833,-0.15648791074129076,9749,0.7,-0.06953008660356107,0.0,0.0,0.5050918197287795,0.0,1.9998830606405267,0.0,0.00046397246772712303,0.0,-0.015858000587412116,-0.11153896282923045,-0.005194003080290147,0.0,-6.849481400826739e-05,21705,3902.40478515625,7805.42236328125,0.2,0.10723661,-36.867862701416016,0.413818359375,0.06221839785575867,0.7658432722091675,0.9990577697753906,0.00029995392,,,,,
0.0,0.0,-0.09164600621291527,0.0,-5.096993013151432e-09,0.43022767736904405,-0.23444502764056147,-0.06679087853543986,0.402038391915766,-0.0008580164226292532,3,0.0,0.0,0.0,0.3484429253472222,0.01,0.0,0.20361328125,0.0,0.0,-0.02222890439461527,0.7750505523191423,0.0,-0.7936418638233068,153.12,0.0,0.0,5,0.6639888401911819,0.0,55296,-52.10638344,-0.12001886332963282,0.0,-0.4530109554559502,-0.006412760416666728,-0.14741587890399324,9380,0.7,-0.06201673480825154,0.0,0.0,0.5050956576974347,0.0,1.9999222900341413,0.0,0.0,0.0,-0.014095900201259596,-0.1108780155935057,-0.005799069717547723,0.0,0.0,21709,1592.1407470703125,5295.044702148438,0.2,0.025373634,-36.87195663452148,0.2697021484375,0.013380274921655656,0.7434644103050232,0.9993539452552795,0.00029990784,,,,,
0.0,0.0,-0.09127885004606075,0.0,-7.0449365137807976e-09,0.5979375459091841,-0.25287464576030333,-0.0697117778438819,0.3826966982710625,-0.0027390682307110717,4,0.0,0.0,0.0,0.3595377604166667,0.01,0.0,0.2689344618055556,0.0,0.0,-0.028843333831006037,0.6807152223995171,0.0,-0.7941998416889389,147.91,0.0,0.0,8,0.6457661234576698,0.0,73728,-57.87619495999999,-0.12346347242545248,0.0,-0.4510658603555073,-0.006391059027777839,-0.16292530389665877,8616,0.7,-0.06648962793926418,0.0,0.0,0.5051554385476666,0.0,1.999886514927377,0.0,0.0,0.0,-0.017033857251881765,-0.1145613994730334,-0.006516216437346879,0.0,0.0,21713,920.3518676757812,3456.6775085449217,0.2,0.011730166,-36.87174491882324,0.193017578125,0.009670229884795845,0.8268059492111206,0.9993121027946472,0.00029986176,,,,,
0.0,0.0,-0.0915945736457671,0.0,-6.924962032253391e-09,0.4933734806932972,-0.24972506448320925,-0.06844768250192045,0.3951694268524316,-0.0010666119212521341,5,0.0,0.0,0.0,0.3412272135416667,0.01,0.0,0.21006944444444445,0.0,0.0,-0.023398163669933743,0.6121562917873792,0.0,-0.7864395544019295,145.37,0.0,0.0,11,0.6270529570017388,0.0,92160,-58.85584866,-0.11965977004353918,0.0,-0.45409199950059126,-0.006282552083333393,-0.16114183702438364,8075,0.7,-0.0695306755606327,0.0,0.0,0.5048497503129109,0.0,1.9999029685909915,0.0,0.0,0.0,-0.016363201094486357,-0.11199393116495732,-0.001767560910178546,0.0,0.0,21717,714.6782836914062,2840.657586669922,0.2,0.007170111,-36.874390029907225,0.06793212890625,-0.0024048642604611813,0.8591146469116211,0.9994238615036011,0.00029981568,,,,,
0.0,0.0,-0.09170289005500051,0.0,-6.7195128945551186e-09,0.5129113204475856,-0.2670521146975847,-0.07147609843588716,0.39773511635576003,-0.0025346991843722406,6,0.0,0.0,0.0,0.3598361545138889,0.0099963136,0.0,0.24886067708333334,0.0,0.0,-0.029831404170507655,0.5752243526880353,0.0,-0.7796355706444715,151.05,0.0,0.0,14,0.6923628789675581,0.0,110592,-52.83659462000001,-0.12726106584802552,0.0,-0.4518935024729941,-0.0065972222222222855,-0.17700978427620642,7693,0.7,-0.07497388209732908,0.0,0.0,0.5051941788563453,0.0,1.9998834490463604,0.0,0.0,0.0,-0.01826424866711884,-0.11152487244319574,-0.0035531446412285913,0.0,0.0,21721,547.8430786132812,2064.1850036621095,0.2,0.005564911,-36.878211212158206,0.0288330078125,-0.0046911948185879735,0.8712313175201416,0.9996163249015808,0.00029976959999999996,,,,,
0.0,0.0,-0.09248504754195565,0.0,-6.061225841738974e-09,0.4828751055835112,-0.24401866983110704,-0.07523784740140176,0.3473009387289866,-0.0006567327708000299,7,0.0,0.0,0.0,0.3429904513888889,0.0099926272,0.0,0.2838541666666667,0.0,0.0,-0.0210006019400136,0.5555326175590249,0.0,-0.8044956811186408,162.86,0.0,0.0,17,0.674661505730214,0.0,129024,-53.364332870000005,-0.1291779988582173,0.0,-0.4611064841733753,-0.007107204861111171,-0.1627425847335847,7491,0.7,-0.07772195985745767,0.0,0.0,0.5050720039949816,0.0,1.9999157003527483,0.0,0.0,0.0,-0.017939686100131455,-0.10943904606817137,-0.011123258263155767,0.0,0.0,21725,509.9745788574219,1721.1323211669921,0.2,0.0062897154,-36.88289852142334,0.02708740234375,-0.006375037471298128,0.865630030632019,0.9998493194580078,0.00029972352,,,,,
0.0,0.0,-0.09213626593066288,0.0,-5.334701710136928e-09,0.6070947618337096,-0.2569468628391609,-0.06930571773172292,0.43626120698932014,-0.0012522011541408263,8,0.0,0.0,0.0,0.31827799479166663,0.0099889408,0.0,0.2197265625,0.0,0.0,-0.017468630770925597,0.5088091240440412,0.0,-0.7790058574012566,153.86,0.0,0.0,20,0.7234985578018,0.0,147456,-58.190604680000014,-0.12755744407600436,0.0,-0.48762268796018887,-0.007150607638888945,-0.1672266757423938,7332,0.7,-0.08352081498547498,0.0,0.0,0.5052292881816163,0.0,1.9999412187335952,0.0,0.0,0.0,-0.01829341164482356,-0.11130097341485776,-0.013718754159235147,0.0,0.0,21729,446.4268493652344,1381.9711883544921,0.2,0.008534362,-36.88572807312012,0.04935302734375,-0.008491130522452294,0.8439568281173706,0.9999688267707825,0.00029967744,,,,,
0.0,0.0,-0.09191158312447699,0.0,-5.879515906025398e-09,0.5143623805587247,-0.2302696834103172,-0.058974988201219075,0.38805723739690845,-0.005097301290465466,9,0.0,0.0,0.0,0.34326171875,0.0099852544,0.0,0.22623697916666666,0.0,0.0,-0.023928999990418878,0.4785944503943449,0.0,-0.7902008989963067,140.91,0.0,0.0,22,0.613516997366358,0.0,165888,-57.112129610000004,-0.13114374398657935,0.0,-0.44870862532289557,-0.00716145833333339,-0.14519958188051013,7228,0.7,-0.05677900082358986,0.0,0.0,0.5051441249785165,0.0,1.9999322681448157,0.0,0.0,0.0,-0.013047064280994568,-0.11019181193003001,-0.00038828606219524483,0.0,0.0,21733,396.5810546875,1187.8058807373047,0.2,0.007521036,-36.886902046203616,0.0439453125,-0.008565126941539348,0.845445454120636,1.0000238418579102,0.00029963136,,,,,
0.0,0.0,-0.09205583684309537,0.0,-7.55358102464818e-09,0.560055718040523,-0.25990413740278756,-0.06811089326481232,0.3942769432635053,-0.008126941104367102,10,0.0,0.0,0.0,0.34952799479166663,0.009981568,0.0,0.25634765625,0.0,0.0,-0.029376855660348186,0.4445224077253734,0.0,-0.7773820648167413,141.6,0.0,0.0,25,0.6466967483239742,0.0,184320,-58.673388550000006,-0.12759144138926834,0.0,-0.45622205977383845,-0.0068684895833334,-0.17384583033505652,7116,0.7,-0.07103946500702982,0.0,0.0,0.5052407967675054,0.0,1.9998897260964483,0.0,0.0,0.0,-0.017452663606703556,-0.11215698957637311,-0.0013027140581073778,0.0,0.0,21737,269.8357238769531,818.9746276855469,0.2,0.008491225,-36.88889694213867,0.0600341796875,-0.010307000856846571,0.8302338123321533,1.0002171993255615,0.00029958527999999996,,,,,
