time/time_elapsed,reward_terms/stand,reward_terms/foot_ahead,ankle/ankle_spring_energy_peak,time/total_timesteps,time/fps,reward_terms/residual,curriculum/swing_frac_mean,curriculum/ctrl_jitter_ms,reward_terms/residual_rate,reward_terms/motor_vel,reward_terms/clearance,curriculum/swing_frac_min,curriculum/ctrl_drop_prob,reward_terms/assist_pen,reward_terms/stop,reward_terms/vz,time/iterations,rollout/ep_rew_mean,curriculum/cmd_scale,reward_terms/stance,reward_terms/overrun,rollout/ep_len_mean,reward_terms/duty_sym,reward_terms/foot_slip,reward_terms/height,reward_terms/time,reward_terms/track_yaw,reward_terms/fwd_speed,ankle/ankle_spring_trq_peak,reward_terms/torque,curriculum/cmd_track_err,reward_terms/alive,reward_terms/phase_contact,reward_terms/step_rate,curriculum/ent_coef,reward_terms/stance_time,reward_terms/stand_drift,reward_terms/energy,ankle/ankle_defl_peak,reward_terms/angmom,curriculum/stance_ratio,curriculum/dr_scale,reward_terms/track_lin,reward_terms/air_time,reward_terms/upright,est/vel_rmse,reward_terms/hip_roll,reward_terms/lat_vel,reward_terms/ang_xy,curriculum/eff_scale,reward_terms/action_rate,reward_terms/coef_rate,train/policy_gradient_loss,train/n_updates,train/std,train/learning_rate,train/entropy_loss,train/loss,train/approx_kl,train/value_loss,train/clip_fraction,train/clip_range,train/explained_variance,curriculum/ctrl_drop_prob_progress,curriculum/dr_scale_progress,curriculum/stance_ratio_progress,curriculum/eff_scale_progress,curriculum/ctrl_jitter_ms_progress
2,0.34958020828420283,0.0,0.0,18432,8915,-0.09920102009725117,0.1980523003472222,0.0,0.0,0.0,0.017438036235681874,0.12581380208333334,0.0,0.0,0.0,-0.04230655505340455,1,-35.53869111904762,0.0,-0.14594253471507704,0.0,184.02380952380952,-0.0005383228149934533,-0.4792277275315342,-0.010156039075512265,0.0,1.9999648522824727,0.0,0.0,0.0,0.5221805380303348,0.0,-0.14412139462542872,-0.004665798611111148,0.01,-0.004397230956884515,-0.011968975272065394,0.0,0.50522474392444,-0.05642372019792262,0.7,0.0,1.3809012972836086,0.00013183583117400607,-0.06679918350012079,1.5800612251877446,-0.11580719443941082,-0.0956496081810913,-0.06570391205820018,0.0,-0.1042599065651351,-0.7241410905556259,,,,,,,,,,,,,,,,
3,0.3573373103529523,0.0,0.0,36864,9231,-0.10047652323923748,0.11314561631944445,0.0,0.0,0.0,0.004058309578722239,0.03347439236111111,0.0,0.0,0.0,-0.03977106344984651,2,28.951750744444446,0.0,-0.1058757094287885,0.0,249.55555555555554,0.0,-0.26830745672406153,-0.013066256228223407,0.0,1.9999828686256425,0.0,0.0,0.0,0.3381291013303954,0.0,-0.014754048618892877,-0.0030707465277777925,0.01,-0.0016575757569322984,-0.021966038762376957,0.0,0.504383775287355,-0.05136037326230362,0.7,0.0,2.1831398369058723,6.781674003125065e-05,-0.0657582846739708,1.2504473839283061,-0.2207008552602191,-0.11592372041918446,-0.05896775145352608,0.0,-0.09820105882491044,-0.6901058876112304,-0.003150471326080151,39063,0.9988569617271423,0.00029995392,-36.858200263977054,871.6679077148438,0.010258232,3060.8645141601564,0.1227783203125,0.2,0.8130648136138916,,,,,
6,0.29129421455113413,0.0,0.0,55296,9038,-0.10052672928524757,0.12117513020833333,0.0,0.0,0.0,0.0,0.028700086805555556,0.0,0.0,0.0,-0.040469662351173066,3,131.32678625,0.0,-0.14126965068039354,0.0,339.48,0.0,-0.24597244251819517,-0.015041571901076281,0.0,1.9999725124397487,0.0,0.0,0.0,0.3309763770580261,0.0,0.0,-0.0027994791666666767,0.01,0.0,-0.03134885915121706,0.0,0.5044398446863367,-0.052531875563964464,0.7,0.0,2.258000479485924,0.0,-0.09574876599724456,0.9892362119645546,-0.2645856300713563,-0.12912024363090488,-0.05193051206877363,0.0,-0.0962369351085847,-0.6993100394501471,-0.004530498059466481,39067,0.9992285370826721,0.00029990784,-36.86497268676758,455.9811706542969,0.00718055,2200.876580810547,0.063525390625,0.2,0.8558593392372131,,,,,
8,0.3139068731307364,0.0,0.0,73728,8639,-0.10046954670087295,0.120361328125,0.0,0.0,0.0,0.0,0.027235243055555556,0.0,0.0,0.0,-0.03227633137335567,4,156.17482443000006,0.0,-0.0883578224691573,0.0,357.86,0.0,-0.22204585195768844,-0.012073600385093919,0.0,1.999982914315935,0.0,0.0,0.0,0.2550891991087412,0.0,0.0,-0.0029513888888889014,0.01,0.0,-0.01600059532873257,0.0,0.5043234834672874,-0.03815427932681173,0.7,0.0,2.341825202851823,0.0,-0.06536486699982184,0.7145602388422089,-0.2187070800728051,-0.1373503549704814,-0.04997865199953012,0.0,-0.09675379807612187,-0.6863797096787374,-0.003428563382476568,39071,0.9997103810310364,0.00029986176,-36.875609397888184,269.172119140625,0.010619757,1064.9105392456054,0.1121337890625,0.2,0.9253953099250793,,,,,
11,0.3127304464920735,0.0,0.0,92160,8184,-0.10073678513815615,0.1089138454861111,0.0,0.0,0.0,0.0,0.010036892361111112,0.0,0.0,0.0,-0.04394927305385436,5,145.28881721999997,0.0,-0.12005006968934298,0.0,338.29,0.0,-0.2071485915618229,-0.015516803304388193,0.0,1.999980711228226,0.0,0.0,0.0,0.37633236513773083,0.0,0.0,-0.0025065104166666725,0.01,0.0,-0.018253787698866705,0.0,0.505212643311144,-0.0481660984442211,0.7,0.0,2.300488840531896,0.0,-0.0893798198297528,0.5902293378613755,-0.2606711505741544,-0.13841696621273056,-0.053380468884000734,0.0,-0.09408736493049091,-0.6745601310912491,-0.003595790680265054,39075,1.0006760358810425,0.00029981568,-36.89056663513183,150.80567932128906,0.012556004,602.6213516235351,0.15877685546875,0.2,0.9549692869186401,,,,,
14,0.32508574109809657,0.0,0.0,110592,7850,-0.09992548119082463,0.10142686631944445,0.0,0.0,0.0,0.0,0.012478298611111112,0.0,0.0,0.0,-0.028747394466636697,6,138.13521729,0.0,-0.0832719452937886,0.0,313.94,0.0,-0.22675791500373485,-0.013416641601955003,0.0,1.999982058739942,0.0,0.0,0.0,0.2381068052134801,0.0,0.0,-0.0026584201388888972,0.01,0.0,-0.023155837646531424,0.0,0.5048596215279585,-0.031236148752577114,0.7,0.0,2.4623833971140736,0.0,-0.05300168416811213,0.588817081881829,-0.2624831998537075,-0.1619636754736606,-0.04812540778632635,0.0,-0.09303790896909712,-0.6812619910667983,-0.005056666157906875,39079,1.0011595487594604,0.00029976959999999996,-36.904178047180174,125.2584228515625,0.012070368,463.57582702636716,0.14835205078125,0.2,0.9657426476478577,,,,,
16,0.24987196706002773,0.0,0.0,129024,7621,-0.10097484609884833,0.101806640625,0.0,0.0,0.0,0.0,0.015679253472222224,0.0,0.0,0.0,-0.03063598733831827,7,135.18571803999998,0.0,-0.07651610417237503,0.0,309.94,0.0,-0.21914297237218508,-0.012933930395447863,0.0,1.9999807791340407,0.0,0.0,0.0,0.27871477666327155,0.0,0.0,-0.0025499131944444514,0.01,0.0,-0.021232724051570548,0.0,0.5051796454780265,-0.03098053955539827,0.7,0.0,2.2822062382220936,0.0,-0.06426786994322514,0.5071112559343457,-0.2376971281963951,-0.14403943373858152,-0.045177624281968996,0.0,-0.095985474494789,-0.6860031674200239,-0.004950657056178897,39083,1.001274824142456,0.00029972352,-36.90696353912354,104.05760192871094,0.013498877,397.9109367370605,0.15853271484375,0.2,0.9690088033676147,,,,,
19,0.2773869972522303,0.0,0.0,147456,7432,-0.10090776005136096,0.11680772569444445,0.0,0.0,0.0,0.0,0.019585503472222224,0.0,0.0,0.0,-0.03787876858923478,8,129.69410777,0.0,-0.09892608566259715,0.0,315.31,0.0,-0.22534495431795756,-0.013665061660683648,0.0,1.9999799253629962,0.0,0.0,0.0,0.2780717165306379,0.0,0.0,-0.003125000000000015,0.01,0.0,-0.017621757022703542,0.0,0.5047015559377029,-0.044392333430603094,0.7,0.0,2.2827791897835144,0.0,-0.08262162073249595,0.5312799557486713,-0.2214235273307309,-0.14565017490606427,-0.053079327369766664,0.0,-0.09725061310956598,-0.6817085638803653,-0.01296348925679922,39087,1.0017788410186768,0.00029967744,-36.910643577575684,57.96747970581055,0.012753176,256.82053718566897,0.14822998046875,0.2,0.9708679914474487,,,,,
22,0.41326961772414017,0.0,0.0,165888,7261,-0.09998639139756776,0.11555989583333333,0.0,0.0,0.0,0.0,0.01513671875,0.0,0.0,0.0,-0.03956441212777609,9,129.54232555000002,0.0,-0.02174503673922154,0.0,337.39,0.0,-0.2029708220605494,-0.01461808960774083,0.0,1.999981179179356,0.0,0.0,0.0,0.2772569585407122,0.0,0.0,-0.0027886284722222327,0.01,0.0,-0.021451515198660422,0.0,0.5052357427361504,-0.04521399300470524,0.7,0.0,2.551837185546914,0.0,-0.07750245668493909,0.42531994669475237,-0.21017453306282635,-0.16448742146343603,-0.05322630177596197,0.0,-0.0919748441612417,-0.6545422222987347,-0.008931134396698326,39091,1.00229811668396,0.00029963136,-36.920076560974124,65.65018463134766,0.016821694,268.02867126464844,0.22261962890625,0.2,0.9715596437454224,,,,,
25,0.4126174078579665,0.0,0.0,184320,7146,-0.10018660472992064,0.09722222222222222,0.0,0.0,0.0,0.0,0.008029513888888888,0.0,0.0,0.0,-0.0379435762968522,10,134.0815286,0.0,-0.024753702070217556,0.0,283.09,0.0,-0.19602215060775954,-0.016486425520282417,0.0,1.9999821033608964,0.0,0.0,0.0,0.33924617515816813,0.0,0.0,-0.002539062500000006,0.01,0.0,-0.026040696375398367,0.0,0.5050968592457457,-0.037655586468837855,0.7,0.0,2.64454195533953,0.0,-0.07057769630095558,0.38891867848051626,-0.2455164667921054,-0.18221034002689496,-0.049598621736265044,0.0,-0.0882568633960622,-0.6482489072416184,-0.005404034769162536,39095,1.002022624015808,0.00029958527999999996,-36.91683120727539,63.4311408996582,0.01727802,244.33148803710938,0.2426513671875,0.2,0.9796310663223267,,,,,
