time/time_elapsed,reward_terms/stance_time,reward_terms/overrun,reward_terms/foot_ahead,curriculum/cmd_scale,ankle/ankle_spring_energy_peak,reward_terms/torque,curriculum/dr_scale,reward_terms/residual_rate,reward_terms/energy,reward_terms/assist_pen,time/total_timesteps,reward_terms/foot_slip,reward_terms/track_lin,est/vel_rmse,reward_terms/stand,time/fps,reward_terms/ang_xy,reward_terms/clearance,reward_terms/motor_vel,rollout/ep_len_mean,reward_terms/action_rate,reward_terms/angmom,reward_terms/duty_sym,time/iterations,reward_terms/coef_rate,ankle/ankle_spring_trq_peak,curriculum/ctrl_jitter_ms,reward_terms/stand_drift,reward_terms/residual,reward_terms/stance,reward_terms/stop,reward_terms/air_time,reward_terms/vz,reward_terms/lat_vel,curriculum/swing_frac_min,curriculum/swing_frac_mean,curriculum/stance_ratio,reward_terms/height,curriculum/eff_scale,rollout/ep_rew_mean,reward_terms/phase_contact,reward_terms/upright,reward_terms/hip_roll,reward_terms/time,reward_terms/track_yaw,reward_terms/fwd_speed,curriculum/ctrl_drop_prob,reward_terms/step_rate,reward_terms/alive,curriculum/cmd_track_err,ankle/ankle_defl_peak,curriculum/ent_coef,train/n_updates,train/policy_gradient_loss,train/loss,train/explained_variance,train/learning_rate,train/entropy_loss,train/clip_fraction,train/approx_kl,train/value_loss,train/std,train/clip_range,curriculum/ctrl_jitter_ms_progress,curriculum/eff_scale_progress,curriculum/stance_ratio_progress,curriculum/ctrl_drop_prob_progress,curriculum/dr_scale_progress
2,-0.0024998558316535005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18432,-0.551918576753694,1.3690005915407049,1.7651282092637208,0.6497692159275839,8976,-0.17834533782720563,0.017381624751509478,0.0,130.6705882352941,-0.12368676060934979,-0.04983353470198419,-1.0119942942188677e-06,1,-0.7574123573893228,0.0,0.0,-0.01360497569220747,-0.09557251048126926,-0.5311104448309898,0.0,0.0,-0.0676229330265322,-0.166450547130321,0.10194227430555555,0.18416341145833331,0.7,-0.014397758722930084,0.0,-81.11473781176471,-0.09713860342222297,-0.30124211935911627,-0.1310948235716661,0.0,1.588222611594218,0.0,0.0,-0.005523003472222271,0.0,0.7367400391494306,0.505201385062354,0.01,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36864,-0.4514182663927768,1.3066725856654071,1.4843350053719704,0.5843918015019313,9166,-0.15872027878572456,0.0,0.0,215.43,-0.11743794687388645,-0.04096614365539614,-1.53550855777996e-05,2,-0.6514555355678583,0.0,0.0,-0.057601861612479835,-0.09921858324179277,-0.3055165729409689,0.0,0.0,-0.09208343813175356,-0.30324449383588203,0.07318793402777778,0.12657335069444445,0.7,-0.02138579638889813,0.0,-22.87010365,0.0,-0.3524497584903445,-0.09233820760006414,0.0,1.6397538961250462,0.0,0.0,-0.003667534722222245,0.0,0.5392884314464664,0.5048127014847765,0.01,56417,0.0017316972778644412,524.53173828125,0.6476624608039856,0.00029995392,-36.85920524597168,0.2313720703125,0.021205958,2002.1117767333985,0.9989003539085388,0.2,,,,,
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55296,-0.4345172544867379,1.3623837998830293,1.068442221154412,0.5775727817157723,8960,-0.16491536067559753,0.0,0.0,194.98,-0.11385609634511346,-0.03312117263234359,-8.602717887484256e-06,3,-0.650658372248121,0.0,0.0,-0.04599133327999672,-0.09923605374194355,-0.39704614786560816,0.0,0.0,-0.0941215298711196,-0.28479579484941164,0.12120225694444445,0.1462944878472222,0.7,-0.019099574394642757,0.0,-21.78072268,0.0,-0.35129087518148944,-0.1152288992793201,0.0,1.656918958606221,0.0,0.0,-0.004416232638888922,0.0,0.5238688269483126,0.5051605495295505,0.01,56421,-0.008319679519627244,277.7661437988281,0.8934412598609924,0.00029990784,-36.867937850952146,0.18609619140625,0.017050218,890.22236328125,0.9995663166046143,0.2,,,,,
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73728,-0.4620434829570244,1.3793207155302412,0.8482423856569428,0.61612179625542,8396,-0.156758738651589,0.0,0.0,200.09,-0.11353570289774242,-0.0372413235787787,-3.764188094948616e-05,4,-0.6371140904873696,0.0,0.0,-0.04188867258790762,-0.09939678630723964,-0.35051837999556695,0.0,0.0,-0.08620946935846356,-0.2700898099602973,0.10970052083333333,0.1418185763888889,0.7,-0.020430114490287477,0.0,-14.4315353,0.0,-0.32412173489773,-0.0976375648715813,0.0,1.692068602902996,0.0,0.0,-0.004568142361111146,0.0,0.5698733116942436,0.5051736334964999,0.01,56425,-0.007971183571498841,357.3800964355469,0.8858813643455505,0.00029986176,-36.88223667144776,0.12391357421875,0.011314551,1081.0323516845704,1.000083327293396,0.2,,,,,
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92160,-0.37071524128562566,1.4679745180393253,0.8108394967838443,0.5757577578319562,7833,-0.16856735659701233,0.0,0.0,210.97,-0.11329613699005159,-0.0329656679609775,0.0,5,-0.6241968202015208,0.0,0.0,-0.05437683093728378,-0.10007292943472457,-0.3583447060080529,0.0,0.0,-0.09506819383039851,-0.3083088356681439,0.13444010416666666,0.1518825954861111,0.7,-0.021886512450429583,0.0,-3.928730830000003,0.0,-0.3390753093343404,-0.0902627638295848,0.0,1.6840673532978812,0.0,0.0,-0.0046657986111111474,0.0,0.5144916093233679,0.5051550957701153,0.01,56429,-0.008036163449287415,285.4257507324219,0.9091331362724304,0.00029981568,-36.88935947418213,0.15675048828125,0.0141674,814.1308135986328,1.0005189180374146,0.2,,,,,
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110592,-0.4095661313321718,1.432514659732303,0.5916820704331002,0.6255176659511511,7513,-0.15729220109279482,0.0,0.0,204.93,-0.1118341760312186,-0.03568117312366388,0.0,6,-0.625970981748615,0.0,0.0,-0.04143570445549204,-0.09991212276301886,-0.36336620876609177,0.0,0.0,-0.08555616150763366,-0.270303252051058,0.1142578125,0.13197157118055555,0.7,-0.020332058304697354,0.0,3.0202963900000013,0.0,-0.315804208279893,-0.09391950450823294,0.0,1.6889103081847425,0.0,0.0,-0.0044596354166667,0.0,0.5233458842420506,0.504958863468635,0.01,56433,-0.011588183999992906,269.3767395019531,0.9014943838119507,0.00029976959999999996,-36.898182487487794,0.10250244140625,0.012094775,812.7349365234375,1.0007822513580322,0.2,,,,,
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129024,-0.38571379573755166,1.509570739135583,0.6144250784534032,0.6249080249391707,7278,-0.16525094477086685,0.0,0.0,201.14,-0.11099643816861121,-0.03604168377091715,0.0,7,-0.6064937528803669,0.0,0.0,-0.044562601850194165,-0.10005284633653523,-0.3929431538916006,0.0,0.0,-0.09348815309751915,-0.2936622012069859,0.12559678819444445,0.151123046875,0.7,-0.021118555529278684,0.0,-6.141273889999999,0.0,-0.34124393333447006,-0.1005716291916895,0.0,1.6744316997123785,0.0,0.0,-0.0044379340277778115,0.0,0.5158129600577026,0.5050353662498493,0.01,56437,-0.013421394943725318,253.840576171875,0.8923834562301636,0.00029972352,-36.9015567779541,0.1341552734375,0.012691391,718.4877212524414,1.0009379386901855,0.2,,,,,
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147456,-0.3902007096707837,1.401391890775301,0.5152409886419405,0.5952263941941607,7123,-0.16173569811049496,0.0,0.0,213.68,-0.11055901404542101,-0.03262917998970958,0.0,8,-0.621689286342338,0.0,0.0,-0.044946757611522135,-0.10044955764133623,-0.3174618742768442,0.0,0.0,-0.08070797478943842,-0.2801205021974216,0.09581163194444445,0.139892578125,0.7,-0.019326862478712983,0.0,7.037397980000001,0.0,-0.3161807879103197,-0.08672596601290503,0.0,1.6876935224879874,0.0,0.0,-0.004220920138888919,0.0,0.5293915707070896,0.5051090729528255,0.01,56441,-0.012537342880386859,235.3779754638672,0.8997483849525452,0.00029967744,-36.90377368927002,0.133203125,0.012198808,680.3992935180664,1.0011591911315918,0.2,,,,,
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165888,-0.3715732229648087,1.5408581421596834,0.4460979528279247,0.6818489043622475,7030,-0.14637831084204458,0.0,0.0,213.99,-0.10387701600186254,-0.03144783764862687,0.0,9,-0.5920791212331098,0.0,0.0,-0.04033043291996408,-0.1012005485341947,-0.22274924069394406,0.0,0.0,-0.06331707227483169,-0.23131112405138,0.09233940972222222,0.12000868055555555,0.7,-0.014720542776523508,0.0,4.997180000000001,0.0,-0.28009755556262994,-0.07552876807433331,0.0,1.6920378717126934,0.0,0.0,-0.0038845486111111363,0.0,0.5659601639253629,0.5051785265388555,0.01,56445,-0.013904302741866558,190.04750061035156,0.9175131320953369,0.00029963136,-36.90662307739258,0.1353271484375,0.012224235,527.3772872924804,1.001281976699829,0.2,,,,,
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184320,-0.3692720815014804,1.5355799859014996,0.45398215087702926,0.6681291199077706,6932,-0.15286831131262696,0.0,0.0,214.11,-0.10744790955697978,-0.032535074006018516,0.0,10,-0.6097660706354019,0.0,0.0,-0.04718745191874619,-0.10073167514058418,-0.26183828101645146,0.0,0.0,-0.08218156807304836,-0.27063684843227764,0.09874131944444445,0.1374782986111111,0.7,-0.019093837849947518,0.0,12.21963651,0.0,-0.3075947237033504,-0.0784469546028441,0.0,1.6850356869360257,0.0,0.0,-0.004589843750000035,0.0,0.5116989456949385,0.5049692277510652,0.01,56449,-0.013471028656931594,163.80343627929688,0.9326289892196655,0.00029958527999999996,-36.90949459075928,0.13214111328125,0.013207707,485.83848876953124,1.0015978813171387,0.2,,,,,
