time/total_timesteps,curriculum/ctrl_drop_prob,reward_terms/phase_contact,reward_terms/lat_vel,reward_terms/energy,reward_terms/upright,ankle/ankle_defl_peak,curriculum/cmd_scale,time/time_elapsed,reward_terms/residual_rate,reward_terms/stance,reward_terms/fwd_speed,reward_terms/stand_drift,est/vel_rmse,reward_terms/track_yaw,reward_terms/time,rollout/ep_len_mean,curriculum/swing_frac_mean,curriculum/dr_scale,reward_terms/stop,reward_terms/vz,reward_terms/residual,reward_terms/coef_rate,rollout/ep_rew_mean,reward_terms/torque,reward_terms/stand,reward_terms/overrun,curriculum/eff_scale,curriculum/ent_coef,reward_terms/foot_ahead,reward_terms/motor_vel,curriculum/cmd_track_err,reward_terms/stance_time,curriculum/stance_ratio,curriculum/ctrl_jitter_ms,reward_terms/clearance,curriculum/swing_frac_min,reward_terms/alive,time/fps,reward_terms/angmom,reward_terms/height,ankle/ankle_spring_energy_peak,reward_terms/duty_sym,reward_terms/air_time,reward_terms/foot_slip,reward_terms/assist_pen,ankle/ankle_spring_trq_peak,time/iterations,reward_terms/hip_roll,reward_terms/action_rate,reward_terms/track_lin,reward_terms/step_rate,reward_terms/ang_xy,train/approx_kl,train/policy_gradient_loss,train/loss,train/n_updates,train/entropy_loss,train/explained_variance,train/std,train/value_loss,train/clip_fraction,train/clip_range,train/learning_rate,curriculum/stance_ratio_progress,curriculum/ctrl_jitter_ms_progress,curriculum/eff_scale_progress,curriculum/ctrl_drop_prob_progress,curriculum/dr_scale_progress
18432,0.0,-0.07422698020581214,-0.15895637919796154,0.0,-0.20498603271000182,0.5052030398489611,0.0,2,0.0,-0.13702895960789266,0.0,-0.013074269952767954,1.269997660717349,1.6619406505377539,0.0,174.20338983050848,0.2699381510416667,0.0,0.0,-0.11661253762654443,-0.0946274402500341,-0.6143347409280546,-64.86159005084747,0.0,0.4377275777772854,0.0,0.0,0.01,0.0,0.0,0.7068275353838835,-0.0015795858150037627,0.7,0.0,0.02719534678336065,0.19862196180555555,0.0,8688,-0.1091097198333509,-0.019043158150882047,0.0,0.0,2.983931335620582e-05,-0.753292709723353,0.0,0.0,1,-0.08238448567082927,-0.09076190805474998,1.0496764975479846,-0.008268229166666662,-0.18133022891179185,,,,,,,,,,,,,,,,
36864,0.0,-0.006186642420129449,-0.25476330014919474,0.0,-0.2652468612526624,0.505188863596739,0.0,4,0.0,-0.13806387301905532,0.0,-0.05763197923305553,1.2375079125816075,1.6516030643925983,0.0,238.91,0.2789442274305556,0.0,0.0,-0.13471855062066565,-0.09427325273218065,-0.6353842889915972,-42.56772653,0.0,0.34701390128506904,0.0,0.0,0.01,0.0,0.0,0.8728770493366884,-0.002167152622455938,0.7,0.0,0.003276346922198533,0.22791883680555555,0.0,9014,-0.1354629486733541,-0.027815618743583508,0.0,-4.9106692623741686e-05,1.4648413828884562e-05,-0.5681195101464503,0.0,0.0,2,-0.07589473361762918,-0.10123552147681167,0.9129313666580602,-0.007411024305555597,-0.18238578310584583,0.021047633,-0.0038596885744482277,236.88514709472656,56212,-36.814409255981445,0.8768744468688965,0.9972549676895142,664.4996932983398,0.27344970703125,0.2,0.00029995392,,,,,
55296,0.0,0.0,-0.2411160241613572,0.0,-0.24570304938331644,0.5050488029192616,0.0,6,0.0,-0.14785713083882046,0.0,-0.09015021470254202,0.8804998573420082,1.6620245500285584,0.0,244.4,0.2829861111111111,0.0,0.0,-0.12431523194811905,-0.0946993195037433,-0.6325073496419198,-31.224508290000003,0.0,0.2981127722601225,0.0,0.0,0.01,0.0,0.0,0.6522610643529101,0.0,0.7,0.0,0.0,0.248046875,0.0,8866,-0.12447965837085641,-0.027379145373733604,0.0,0.0,0.0,-0.5936670794668664,0.0,0.0,3,-0.07368619635695706,-0.09936321111891638,0.922979114571534,-0.007855902777777793,-0.17499792876121695,0.017556258,-0.016217901511117815,118.60101318359375,56216,-36.826313972473145,0.9135516285896301,0.9980870485305786,338.97685089111326,0.17847900390625,0.2,0.00029990784,,,,,
73728,0.0,0.0,-0.1775393738204172,0.0,-0.18839209878890995,0.5051225667012604,0.0,8,0.0,-0.11338195471833054,0.0,-0.0766398576412613,0.7141890732919876,1.7281769794320374,0.0,236.54,0.2695041232638889,0.0,0.0,-0.09864261160656908,-0.09406103334891862,-0.6664917347401237,-35.34418134999999,0.0,0.35937079784755027,0.0,0.0,0.01,0.0,0.0,0.7932464558642408,0.0,0.7,0.0,0.0,0.2468532986111111,0.0,8374,-0.10656454221309883,-0.020015102537993372,0.0,0.0,0.0,-0.6236486012401772,0.0,0.0,4,-0.0641160346690602,-0.10237064866185192,0.8881518807970661,-0.007378472222222265,-0.1665730241332601,0.018318687,-0.012794641248183325,116.77349853515625,56220,-36.8496208190918,0.9131990671157837,0.9990942478179932,328.2103927612305,0.2033203125,0.2,0.00029986176,,,,,
92160,0.0,0.0,-0.21157652737305815,0.0,-0.22424805025637118,0.5051285611581143,0.0,11,0.0,-0.1555040557284002,0.0,-0.09481032251297693,0.6474446198261331,1.7094410959484698,0.0,238.12,0.2830132378472222,0.0,0.0,-0.11059298029545767,-0.09453513365258458,-0.6417510803638975,-40.32838624000001,0.0,0.32803073198954213,0.0,0.0,0.01,0.0,0.0,0.6313343913838056,0.0,0.7,0.0,0.0,0.2719184027777778,0.0,7945,-0.1092074627497097,-0.021063928448764792,0.0,0.0,0.0,-0.5996862971305154,0.0,0.0,5,-0.07653012071965143,-0.10448877856703975,0.8046292483921553,-0.007649739583333361,-0.1695804464586737,0.018724862,-0.014737096580211074,90.24327087402344,56224,-36.864129638671876,0.9056559205055237,0.999508261680603,270.6146659851074,0.17650146484375,0.2,0.00029981568,,,,,
110592,0.0,0.0,-0.17640213460711032,0.0,-0.21586932229774233,0.5050872619164797,0.0,14,0.0,-0.1363396660856339,0.0,-0.10751564102205763,0.5612761641353147,1.6926411018303147,0.0,237.8,0.2718641493055556,0.0,0.0,-0.0956150446008614,-0.09466376402419514,-0.6796897044282715,-40.43073803,0.0,0.35550654186760766,0.0,0.0,0.0099963136,0.0,0.0,0.742224767282628,0.0,0.7,0.0,0.0,0.24153645833333334,0.0,7534,-0.12226048065282097,-0.020184395468143154,0.0,-0.0001305660109582106,0.0,-0.6333767151573657,0.0,0.0,6,-0.07546791275222217,-0.10397147995646845,0.812128168284679,-0.007280815972222273,-0.1739066342260054,0.021628875,-0.014670189964817837,70.68451690673828,56228,-36.87798728942871,0.9136725664138794,1.0001986026763916,241.25172119140626,0.220947265625,0.2,0.00029976959999999996,,,,,
129024,0.0,0.0,-0.1270201339469785,0.0,-0.1816095063126998,0.505213078013819,0.0,17,0.0,-0.13133058717878177,0.0,-0.06473793992893007,0.483350886308444,1.708080669682924,0.0,219.32,0.2969292534722222,0.0,0.0,-0.08982403003623673,-0.09495790628115736,-0.642815022672846,-38.368113230000006,0.0,0.32194744787183693,0.0,0.0,0.0099926272,0.0,0.0,0.6142684787242246,0.0,0.7,0.0,0.0,0.2886827256944444,0.0,7249,-0.11331460968250008,-0.01625084479665808,0.0,0.0,0.0,-0.5974477614537335,0.0,0.0,7,-0.07628452251928508,-0.10252871460695683,0.7552760419864094,-0.007801649305555578,-0.18156501703360284,0.025111193,-0.012510543933603912,64.05403900146484,56232,-36.88665943145752,0.9174908399581909,1.000806212425232,202.2730941772461,0.25601806640625,0.2,0.00029972352,,,,,
147456,0.0,0.0,-0.12594827455264873,0.0,-0.18899122331861182,0.505051945678663,0.0,20,0.0,-0.13475756347354317,0.0,-0.08461940791850853,0.48419481433106826,1.6989144681159294,0.0,229.46,0.30764431423611116,0.0,0.0,-0.088931003799868,-0.09552995966447544,-0.6846620704660692,-45.28602361,0.0,0.369684082882107,0.0,0.0,0.0099889408,0.0,0.0,0.9260841120355644,0.0,0.7,0.0,0.0,0.3009440104166667,0.0,7120,-0.1205058855831428,-0.017391181185613495,0.0,-0.0011726542161173067,0.0,-0.5782107795570205,0.0,0.0,8,-0.08313851084479974,-0.10350025020697871,0.7530518231316053,-0.007204861111111165,-0.17535470590415148,0.02691337,-0.013875218166504055,67.41107177734375,56236,-36.89768981933594,0.922694742679596,1.0012297630310059,179.6673282623291,0.271142578125,0.2,0.00029967744,,,,,
165888,0.0,0.0,-0.12959207273481338,0.0,-0.21146246237592708,0.5051976084894074,0.0,23,0.0,-0.1021479335960192,0.0,-0.0935682572433914,0.5310985405378449,1.688497714111247,0.0,227.32,0.323974609375,0.0,0.0,-0.09751222211325486,-0.09580931538581504,-0.6496663454837894,-50.21795255,0.0,0.33813845526250397,0.0,0.0,0.0099852544,0.0,0.0,0.771115738567974,0.0,0.7,0.0,0.0,0.2894422743055556,0.0,7005,-0.1308934904106448,-0.02040795670525194,0.0,-0.00019985426247157788,0.0,-0.5755890771426029,0.0,0.0,9,-0.07261616891926494,-0.10180039083583604,0.6824533868336817,-0.007823350694444465,-0.17679542056593445,0.031080281,-0.015216044813860208,55.11574172973633,56240,-36.9025899887085,0.9134570956230164,1.0018092393875122,159.42314414978028,0.27711181640625,0.2,0.00029963136,,,,,
184320,0.0,0.0,-0.16687598043730842,0.0,-0.21380528036087273,0.5051961346889704,0.0,26,0.0,-0.15958338089281926,0.0,-0.07607021671195807,0.5644280715187009,1.7114625652963051,0.0,215.95,0.2997504340277778,0.0,0.0,-0.09946347103337527,-0.0953243371096758,-0.6653408223323747,-44.458482809999985,0.0,0.34071531062387556,0.0,0.0,0.009981568,0.0,0.0,0.7974112779786329,0.0,0.7,0.0,0.0,0.2803819444444444,0.0,6912,-0.11560223316129131,-0.018337072360582737,0.0,0.0,0.0,-0.5610699488090202,0.0,0.0,10,-0.0788050157488768,-0.10728388814160314,0.7487012919232923,-0.0072916666666667145,-0.16827586600226446,0.03924206,-0.010615046438761055,56.52752685546875,56244,-36.91911640167236,0.912983238697052,1.0025908946990967,165.40798568725586,0.36859130859375,0.2,0.00029958527999999996,,,,,
202752,0.0,0.0,-0.17327042973977855,0.0,-0.21506123144251116,0.5051771849245436,0.0,29,0.0,-0.16345644835285295,0.0,-0.08786698597128167,0.5048745484847118,1.6929161455591581,0.0,215.76,0.3068305121527778,0.0,0.0,-0.10310096213731867,-0.09501453360220721,-0.6947116363556548,-48.800686180000014,0.0,0.3689489112385973,0.0,0.0,0.0099778816,0.0,0.0,0.5055464605643448,0.0,0.7,0.0,0.0,0.2924262152777778,0.0,6834,-0.13240877996415296,-0.019352110548010212,0.0,0.0,0.0,-0.5453609240245325,0.0,0.0,11,-0.07745387203126591,-0.11182085242614272,0.7610301436117575,-0.0071397569444445015,-0.1835031036347881,0.037856866,-0.012838869774714112,61.446041107177734,56248,-36.92421760559082,0.9107837677001953,1.0030112266540527,162.68295440673828,0.3568359375,0.2,0.0002995392,,,,,
221184,0.0,0.0,-0.177986491291276,0.0,-0.23951752526473483,0.5051723375460538,0.0,32,0.0,-0.1654850140163911,0.0,-0.09836017897119304,0.5389981715201396,1.673742950216784,0.0,223.27,0.319091796875,0.0,0.0,-0.1124303753629719,-0.09522818142276819,-0.6713461262839021,-49.17331776,0.0,0.35463900748008087,0.0,0.0,0.009974195200000001,0.0,0.0,0.6740340195823767,0.0,0.7,0.0,0.0,0.3059353298611111,0.0,6787,-0.1338644497724338,-0.02076330645602563,0.0,0.0,0.0,-0.5431377822469557,0.0,0.0,12,-0.0759106420671381,-0.11409999817471589,0.7093872618405987,-0.0071831597222222765,-0.1864560930011749,0.03968077,-0.02072546018753201,49.2746696472168,56252,-36.927409172058105,0.915951132774353,1.002798318862915,150.90349769592285,0.32421875,0.2,0.00029949311999999997,,,,,
239616,0.0,0.0,-0.17832648090587894,0.0,-0.24966197626998213,0.505156496306199,0.0,35,0.0,-0.1371980204222323,0.0,-0.10443401182252915,0.5102873722764851,1.6367732531786694,0.0,214.92,0.3160536024305556,0.0,0.0,-0.11299802647158613,-0.09530400328162042,-0.6910394179983297,-49.89072348,0.0,0.35521878405617935,0.0,0.0,0.0099705088,0.0,0.0,0.8696974881981724,0.0,0.7,0.0,0.0,0.2926974826388889,0.0,6746,-0.15202849485319092,-0.02274256957999046,0.0,0.0,0.0,-0.5406612565244829,0.0,0.0,13,-0.07137691630640423,-0.11618739439806933,0.6751706290241993,-0.006738281250000065,-0.19016949554576923,0.040656954,-0.014322832888482432,58.79182434082031,56256,-36.924111014918275,0.8866558074951172,1.0024328231811523,177.5145452399003,0.36432206003289475,0.2,0.00029944704,,,,,
