time/total_timesteps,reward_terms/energy,curriculum/sprint_dist_m,reward_terms/stance,reward_terms/coef_rate,reward_terms/angmom,reward_terms/phase_contact,time/iterations,reward_terms/clearance,reward_terms/stance_time,reward_terms/motor_vel,reward_terms/foot_slip,reward_terms/torque,reward_terms/lat_vel,reward_terms/ang_xy,curriculum/eff_scale,rollout/ep_rew_mean,curriculum/ent_coef,time/time_elapsed,reward_terms/stop,reward_terms/upright,reward_terms/height,time/fps,reward_terms/time,reward_terms/air_time,reward_terms/hip_roll,reward_terms/fwd_speed,rollout/ep_len_mean,reward_terms/action_rate,reward_terms/assist_pen,reward_terms/residual,reward_terms/overrun,curriculum/pitch_assist,reward_terms/vz,curriculum/stance_ratio,reward_terms/alive,train/learning_rate,train/loss,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/entropy_loss,train/clip_range,train/std,train/n_updates
18432,0.0,25.0,-0.004897969294216497,-0.6078836412197867,-0.15877201106589617,-0.5067778301097524,1,0.04310490857565277,-0.00020670545766026608,0.0,-0.9270782007285765,0.0,-5.0848195649419185e-09,-0.35919547855957523,0.0,-126.32410046000001,0.01,6,0.0,-0.11817686306007914,-0.026124750144619853,2957,-0.5,8.246526380793916e-05,-0.014120762300565609,0.817516354200938,26.81,-0.13826388777524085,-1.5179994147181084,-0.2610011375823663,0.0,1.0,-0.11314306256114882,0.65,0.0,,,,,,,,,,,
36864,-1.796286317806594e-05,25.04608,-0.0015606268570480984,-0.6849855096857314,-0.15873852531231936,-0.49330394149054807,2,0.04330787189947539,-3.797723264950845e-06,-3.925262203348437e-06,-0.955049399995256,-0.00018302722984748422,-5.228583045370302e-09,-0.34844624599846974,0.0003072,-127.33341756,0.01,12,0.0,-0.08695668822523378,-0.0228907129881751,2856,-0.5,9.440102278151446e-05,-0.015328016803344315,0.712639670820632,27.71,-0.14664962965564576,-1.525124733813968,-0.2600922518624606,0.0,0.9996928,-0.09998770819137712,0.64996928,0.0,0.0003,919.5438842773438,3212.85537109375,0.010775695,0.0022272563190199436,0.10845947265625,-5.969130516052246,-34.06502990722656,0.2,1.000693678855896,33433
55296,-3.514974025011547e-05,25.09216,-0.00485006388539026,-0.7987951679616606,-0.15977471925564996,-0.4810706263515409,3,0.04414587164439629,-0.0012754974983787786,-7.5065604592954714e-06,-0.9142324296794688,-0.00033139948777965024,-5.046674492774027e-09,-0.3561224518346786,0.0006144,-129.29139940000002,0.01,19,0.0,-0.07316595395535055,-0.023977894907621273,2856,-0.5,2.495654755168491e-05,-0.01942376403015935,0.6040775161150986,29.48,-0.1570847292615843,-1.5578360744231574,-0.2588025500537162,0.0,0.9993856,-0.09671316865128304,0.64993856,0.0,0.0003,227.57012939453125,1147.777606201172,0.0032354542,-0.004700500541366637,0.007373046875,-5.1861419677734375,-34.05634250640869,0.2,1.0001450777053833,33437
73728,-5.29366070531152e-05,25.13824,-0.004913684364344575,-0.8782871795331317,-0.16556067675608033,-0.47571328663892154,4,0.044819708558524206,-0.0019449839213242133,-1.1062174507780993e-05,-0.867880142508503,-0.0004800624343331275,-5.276583061623823e-09,-0.3684017646193223,0.0009216,-128.56082603000002,0.01,25,0.0,-0.07433973491220619,-0.02793901803239111,2867,-0.5,0.00013671871986136667,-0.023099991576413834,0.5402032225644589,28.67,-0.1617148746276895,-1.5645180305779673,-0.2576650613000953,0.0,0.9990784,-0.09869122922843784,0.64990784,0.0,0.0003,77.51634216308594,335.75671844482423,0.0067212894,-0.008609096938744187,0.03497314453125,-4.1685004234313965,-34.056105613708496,0.2,1.0001616477966309,33441
92160,-7.207306924697436e-05,25.18432,-0.010007381191734615,-0.9242325032835088,-0.1749467824164077,-0.46182915668481495,5,0.045522522232694984,-0.003873692429301122,-1.4806253450479627e-05,-0.8440464894968122,-0.0006337265562965486,-5.5104929190887016e-09,-0.39458892441089133,0.0012288,-129.67031998,0.01,31,0.0,-0.06255762274868648,-0.027226746403205573,2886,-0.5,0.00021375855430960655,-0.0265490802449614,0.46311309064255557,29.77,-0.1672287672138211,-1.5870747530768197,-0.2576657037270478,0.0,0.9987712,-0.09817010054685985,0.64987712,0.0,0.0003,37.74976348876953,159.21450500488282,0.010108192,-0.012980466685257852,0.06072998046875,-3.7881507873535156,-34.05700607299805,0.2,1.0002408027648926,33445
110592,-9.055303291004415e-05,25.2304,-0.007875203398357462,-0.964810891434922,-0.17933444147403843,-0.4648206786265319,6,0.04449217152021254,-0.0064615817132612895,-1.8486526139063844e-05,-0.8344960313293324,-0.0007837791205074229,-6.3081168836234445e-09,-0.4099379801533669,0.001536,-128.32798441,0.01,38,0.0,-0.06391087325022163,-0.02779052362100452,2900,-0.5,0.00011284712753776048,-0.027501938429032605,0.4269326630072135,28.45,-0.1708139748976539,-1.592373238235384,-0.257071263100898,0.0,0.998464,-0.09798441532228148,0.6498464,0.0,0.0003,25.42825698852539,107.19059009552002,0.011083046,-0.014877809816971422,0.0821533203125,-1.446159839630127,-34.05843544006348,0.2,1.000403642654419,33449
129024,-0.00010959659590871288,25.27648,-0.011730312762477916,-0.9819984757547316,-0.18262454267408443,-0.4617090029160427,7,0.04555955954033922,-0.004420023510142023,-2.242816771274167e-05,-0.823797939412851,-0.0009241823203733928,-6.072642148093566e-09,-0.4229770788890638,0.0018432,-130.58610362,0.01,44,0.0,-0.06028118955607262,-0.027139401410957515,2907,-0.5,0.00020290786697943177,-0.02922469579693325,0.432076616437972,30.67,-0.1746999324965781,-1.5940888934690252,-0.2560768808953706,0.0,0.9981568,-0.09556704380945136,0.64981568,0.0,0.0003,14.62293815612793,52.78702640533447,0.015828703,-0.01954925216268748,0.12662353515625,-3.645965099334717,-34.06088695526123,0.2,1.0006074905395508,33453
147456,-0.00012619229224286303,25.32256,-0.0073809807925539084,-0.9969172505442313,-0.1850408103949019,-0.46913461690611385,8,0.044545999985778226,-0.0020307034897592124,-2.610157574759129e-05,-0.8349583844635158,-0.001052747890584251,-6.331528255356065e-09,-0.4368883404394204,0.0021504,-129.5102139,0.01,50,0.0,-0.05965908891536783,-0.025136829667918654,2916,-0.5,8.57203623228189e-05,-0.0271948199474608,0.42678089061357977,29.56,-0.1776101113257591,-1.590892203355216,-0.2555911396040594,0.0,0.9978496,-0.09041626563585109,0.64978496,0.0,0.0003,7.654402732849121,27.077566623687744,0.03037624,-0.025443013152107598,0.2207763671875,-5.328245639801025,-34.06720905303955,0.2,1.0013200044631958,33457
165888,-0.0001452111328751693,25.36864,-0.009700712607805424,-0.9916369388923996,-0.18456466062777524,-0.47214249297840305,9,0.04390560658427884,-0.003915467026268339,-2.9511250262900222e-05,-0.819141895430344,-0.0012192253119119418,-6.875860648162985e-09,-0.43876789143648665,0.0024576,-130.20122503,0.01,56,0.0,-0.06393908018028888,-0.024900591291532957,2921,-0.5,0.00011610234893547992,-0.027929587662822955,0.44644980755483904,30.3,-0.17592393156469027,-1.5891444357771014,-0.2557793497127717,0.0,0.9975424,-0.08928545333078722,0.64975424,0.0,0.0003,4.903179168701172,15.241679096221924,0.03764714,-0.022745627257972956,0.296240234375,-12.405384063720703,-34.07792720794678,0.2,1.0022802352905273,33461
184320,-0.0001680568489315786,25.41472,-0.00970800657740454,-1.003105256883263,-0.19529917963541962,-0.4683414269487049,10,0.044119011627591985,-0.005490986397489905,-3.383864198797863e-05,-0.8241308125703084,-0.001404414760431922,-6.923400809699143e-09,-0.45216226210021315,0.0027648,-128.68420977,0.01,62,0.0,-0.05988983768678339,-0.025207647313586566,2928,-0.5,0.00024197036853163608,-0.028305451773711965,0.40667913321763394,28.74,-0.1812491699451401,-1.5958631450101126,-0.2553372530710212,0.0,0.9972352,-0.08828163383717896,0.64972352,0.0,0.0003,5.033827304840088,13.128483636038643,0.038737528,0.002687303149806602,0.26279994419642855,-10.568290710449219,-34.06460789271763,0.2,1.0008175373077393,33463
202752,-0.00018450339089338868,25.4608,-0.00659576024999553,-1.0062661030098,-0.19543924950645974,-0.466447011931425,11,0.04442671855443147,-0.00469454811536707,-3.771080510139307e-05,-0.8423642632391989,-0.0015230057852685405,-7.842092818561221e-09,-0.4640846789126,0.003072,-128.63670854,0.01,69,0.0,-0.06340240161348272,-0.021871553703334583,2932,-0.5,6.618911154671675e-05,-0.025283069498964483,0.46003889489049743,28.69,-0.18237149288339674,-1.5980659422341021,-0.2545656848455815,0.0,0.996928,-0.08641315810830333,0.6496928000000001,0.0,0.0003,5.00565767288208,16.24962887011076,0.04420034,-0.016929482894116325,0.3558542351973684,-2.212214708328247,-34.082462310791016,0.2,1.002530813217163,33467
