reward_terms/vz,reward_terms/stance_time,curriculum/sprint_dist_m,rollout/ep_rew_mean,reward_terms/energy,reward_terms/clearance,reward_terms/air_time,reward_terms/alive,reward_terms/upright,reward_terms/time,curriculum/ctrl_jitter_ms,reward_terms/coef_rate,reward_terms/stance,reward_terms/action_rate,reward_terms/lat_vel,reward_terms/foot_slip,reward_terms/stop,reward_terms/ang_xy,curriculum/ent_coef,time/fps,time/total_timesteps,reward_terms/torque,reward_terms/residual,reward_terms/hip_roll,curriculum/ctrl_drop_prob,reward_terms/foot_ahead,reward_terms/phase_contact,time/iterations,reward_terms/overrun,curriculum/stance_ratio,reward_terms/assist_pen,time/time_elapsed,curriculum/eff_scale,reward_terms/height,rollout/ep_len_mean,reward_terms/angmom,reward_terms/fwd_speed,reward_terms/step_rate,reward_terms/motor_vel,train/n_updates,train/value_loss,train/policy_gradient_loss,train/clip_range,train/clip_fraction,train/approx_kl,train/learning_rate,train/loss,train/explained_variance,train/std,train/entropy_loss
-0.3253025336152,0.0,25.0,-119.46172620000002,0.0,0.130469581537637,0.0004204636885939787,0.0,-0.8439898052245618,-0.5,0.0,-1.1094674196736272,-0.27587926857953415,-0.14710419115905535,-8.613967609418624e-08,-0.38089099787256014,0.0,-0.663175747988692,0.01,4278,18432,0.0,-0.08476774012626309,-0.2878300106303663,0.0,0.0,-0.32849627318084773,1,0.0,0.65,0.0,4,0.0,-0.022242014358829495,77.95,-0.22089698347584186,-0.03323423313332198,-0.01370442708333353,0.0,,,,,,,,,,,
-0.309582045493322,0.0,25.01152,-118.45269704,-4.065912742061583e-06,0.1347633130969774,0.00029296821190251247,0.0,-0.8915504183143873,-0.5,0.0,-1.0548260196502612,-0.2916337431223893,-0.14773152144561966,-8.074621867861835e-08,-0.3495565172272124,0.0,-0.7196089735760521,0.01,4108,36864,-4.548567885468819e-05,-0.08502029940723345,-0.2737073742124451,0.0,0.0,-0.30170408145473243,2,0.0,0.649982336,0.0,8,7.68e-05,-0.020342025300918738,73.91,-0.25053115344384014,-0.09683418395092956,-0.013411458333333516,-6.208293504461892e-07,17758,728.800161743164,-0.008178786421194673,0.2,0.075390625,0.010859508,0.00029995392,159.47813415527344,0.033334195613861084,1.0014653205871582,-34.07438774108887
-0.2696329491932808,0.0,25.02304,-118.20286745,-7.551805801575847e-06,0.12999707734165,0.00023220434215747647,0.0,-0.9097806070862394,-0.5,0.0,-1.0327172289381759,-0.2934709011828238,-0.1475870705982133,-6.131558447842368e-08,-0.34237996236592805,0.0,-0.6980562489284194,0.01,4188,55296,-7.78620862453543e-05,-0.08531843472248378,-0.2351932245478577,0.0,0.0,-0.3065998671699656,3,0.0,0.6499646720000001,0.0,13,0.0001536,-0.011617162490152592,72.91,-0.22346354424742298,-0.010802760183260677,-0.013899739583333535,-1.2344391823473689e-06,17762,117.49877319335937,-0.015504626976326107,0.2,0.17957763671875,0.022170791,0.00029990784,34.213340759277344,-0.27416229248046875,1.0015476942062378,-34.06899280548096
-0.28574600757542407,0.0,25.03456,-119.19549108000001,-1.2014889115566306e-05,0.1252140308399734,0.00020345002606821558,0.0,-0.9209241596958923,-0.5,0.0,-1.0284073794882387,-0.38433730697906227,-0.14634643802373343,-8.307856763553531e-08,-0.34564402091201435,0.0,-0.6625075281334797,0.01,4241,73728,-0.00012103411447971765,-0.08677523866809242,-0.3167572630356589,0.0,0.0,-0.306221367838551,4,0.0,0.649947008,0.0,17,0.0002304,-0.013973273192478371,76.92,-0.2387210261334405,-0.030582145901749996,-0.013720703125000186,-2.089299982183622e-06,17766,42.709979450001434,-0.010003976181478184,0.2,0.33932674632352944,0.04569625,0.00029986176,13.921867370605469,-0.1527639627456665,1.0025908946990967,-34.08088167975931
-0.32285092389599024,0.0,25.04608,-119.87093867,-1.7928367155616384e-05,0.13511463423401437,0.00029459571750420664,0.0,-0.9168760424466433,-0.5,0.0,-1.0056153046393108,-0.3948449120064127,-0.14266341221728068,-9.004768547653389e-08,-0.32701666120047945,0.0,-0.6536457394209639,0.01,4280,92160,-0.0001789353874980919,-0.08802898136936903,-0.3332593706365198,0.0,0.0,-0.2740731151489818,5,0.0,0.649929344,0.0,21,0.0003072,-0.017061584278547412,79.58,-0.26533766247409807,-0.0818735966397458,-0.013590494791666848,-3.210534164461826e-06,17768,35.158634185791016,0.0060734587355649895,0.2,0.35892159598214285,0.043127876,0.00029981568,13.98862361907959,-0.3914365768432617,1.0017380714416504,-34.07376207624163
-0.27129896365294465,0.0,25.0576,-117.82113248,-2.129429177169879e-05,0.12936023576885777,6.076369512205323e-05,0.0,-0.8983704553163057,-0.5,0.0,-1.0011245075125594,-0.3684162538771764,-0.1472996227514708,-6.012268005349948e-08,-0.329405384699691,0.0,-0.647793630198207,0.01,4303,110592,-0.00019925459016821708,-0.08790503811907477,-0.2976905566306255,0.0,0.0,-0.29133243366323536,6,0.0,0.64991168,0.0,25,0.000384,-0.012801918959740775,71.35,-0.28890589702780994,-0.022557813140813374,-0.013655598958333516,-3.929556972965086e-06,17770,33.26555485195584,-0.002165909287416273,0.2,0.3072102864583333,0.038766865,0.00029976959999999996,11.941889762878418,-0.36353468894958496,1.002737045288086,-34.087023417154946
-0.30359841843978097,0.0,25.06912,-119.47288753000001,-2.8832465170662207e-05,0.1349338981556237,0.00022298126067552302,0.0,-0.871822414308395,-0.5,0.0,-0.9845775479542235,-0.4069139644423823,-0.1444947389166732,-9.263644669827455e-08,-0.29689057310018463,0.0,-0.612618415178014,0.01,4329,129024,-0.00026623360242061946,-0.08922628232468699,-0.33919262412363566,0.0,0.0,-0.2675648954894092,7,0.0,0.6498940160000001,0.0,29,0.0004608,-0.015355253090176565,78.01,-0.26416041668161455,-0.1045376981895337,-0.013053385416666835,-5.319199932919424e-06,17771,24.162630462646483,0.021792308241128922,0.2,0.367724609375,0.03592057,0.00029972352,9.872322082519531,-0.8884795904159546,1.0016899108886719,-34.07415618896484
-0.2630598818076943,0.0,25.08064,-119.70321174,-3.3461690120231886e-05,0.12843936838495545,0.00023274695073875287,0.0,-0.843581127991572,-0.5,0.0,-0.9692213294413894,-0.3777618103575834,-0.14490747510457325,-6.906190844177288e-08,-0.3027789130274475,0.0,-0.636451924258805,0.01,4344,147456,-0.0003001426449380333,-0.0889294589689837,-0.304716686005748,0.0,0.0,-0.2709260175850341,8,0.0,0.649876352,0.0,33,0.0005376,-0.013188285633573833,78.9,-0.30620443181194323,-0.08411852200389743,-0.013330078125000174,-6.3403895994060045e-06,17773,22.590641657511394,0.008361023074636856,0.2,0.3234456380208333,0.056017723,0.00029967744,9.094524383544922,-1.458430290222168,1.0022400617599487,-34.08067194620768
-0.2693858659935342,0.0,25.09216,-118.18823162999999,-3.8518212341952994e-05,0.1342511941638741,0.00015190940596059791,0.0,-0.8529837580672572,-0.5,0.0,-0.994381169263143,-0.3569463863733629,-0.14645318653508455,-6.805442714262135e-08,-0.29014864315340233,0.0,-0.6536545557090633,0.01,4361,165888,-0.00032116177081230324,-0.08821911173281133,-0.28488178888729637,0.0,0.0,-0.2727796152019943,9,0.0,0.649858688,0.0,38,0.0006144,-0.012732196282042472,72.84,-0.28663058605325914,-0.04200088600551354,-0.012972005208333507,-7.426066694014976e-06,17774,29.371939341227215,0.01907982723787427,0.2,0.3129069010416667,0.03180189,0.00029963136,12.218050003051758,-1.2631914615631104,1.0009649991989136,-34.06572977701823
-0.26387570388227594,0.0,25.10368,-118.70469780999998,-4.341923554787941e-05,0.13189168916147193,9.168808012165957e-05,0.0,-0.84196445471559,-0.5,0.0,-0.9978194813024266,-0.35413259623052606,-0.14673271751923278,-8.641448758150858e-08,-0.2716861089469613,0.0,-0.6680919279829891,0.01,4375,184320,-0.00039154463003638484,-0.08855662248689411,-0.2900087554664286,0.0,0.0,-0.27346348659985353,10,0.0,0.649841024,0.0,42,0.0006912,-0.012293442665681659,74.93,-0.29484578756600355,-0.08148147440104148,-0.012548828125000154,-8.29133168486404e-06,17775,48.650064849853514,0.011269857734441757,0.2,0.24560546875,0.020128302,0.00029958527999999996,17.539199829101562,-0.8122060298919678,1.0016789436340332,-34.07484130859375
-0.28365716391956464,0.0,25.1152,-120.04208623000001,-4.847334855640453e-05,0.1302260342975284,0.0001985672634974536,0.0,-0.8299970813101546,-0.5,0.0,-0.9801276458628352,-0.376819637883002,-0.14646937727361242,-7.748848632753012e-08,-0.3077828105848224,0.0,-0.6309124338513515,0.01,4381,202752,-0.00043368439519716096,-0.08908244448000754,-0.2931616065926193,0.0,0.0,-0.2691076204526468,11,0.0,0.6498233600000001,0.0,46,0.000768,-0.014381835613319124,80.3,-0.28650263845247526,-0.1121008603308641,-0.012776692708333494,-9.37076185792242e-06,17777,27.310326470269096,-0.005371285990501444,0.2,0.24620225694444445,0.036902327,0.0002995392,9.551146507263184,-1.638915777206421,1.0026756525039673,-34.08667204115126
-0.27954243622978114,0.0,25.12672,-118.83904116,-5.478883711397415e-05,0.13072827478441332,0.0001264102983340207,0.0,-0.7929174667882468,-0.5,0.0,-0.9584777047895768,-0.3703013302798074,-0.14420280074816336,-6.987623494894156e-08,-0.28731235652885867,0.0,-0.6284597425954257,0.01,4390,221184,-0.0004745969947157055,-0.08959339461158958,-0.29677697449053103,0.0,0.0,-0.25428846027850555,12,0.0,0.649805696,0.0,50,0.0008448,-0.01349285391261743,75.47,-0.28243806332003546,-0.10106742936687237,-0.012695312500000165,-1.099703183960388e-05,17779,19.67017023903983,0.0012174675773297036,0.2,0.303466796875,0.044113584,0.00029949311999999997,7.554995059967041,-2.858212471008301,1.0023305416107178,-34.079942430768696
-0.2811830734064461,0.0,25.13824,-118.8156546,-6.294678053963956e-05,0.13314126255731604,0.00020833285978167422,0.0,-0.7922359274973072,-0.5,0.0,-0.9590164982163931,-0.3526899357227787,-0.1430380641818071,-7.601838889745116e-08,-0.27006381399424206,0.0,-0.6329297449911666,0.01,4398,239616,-0.0005195597237210704,-0.08956636284420387,-0.29565373441616677,0.0,0.0,-0.2585687304196845,13,0.0,0.649788032,0.0,54,0.0009216,-0.013862175633206965,75.35,-0.31154523072937335,-0.10345695660611282,-0.012288411458333474,-1.2615404707225242e-05,17781,17.950771808624268,0.00883793675651153,0.2,0.3262939453125,0.046563767,0.00029944704,7.125771522521973,-2.2315115928649902,1.0023415088653564,-34.08129692077637
