reward_terms/time,curriculum/stance_ratio,reward_terms/clearance,reward_terms/motor_vel,time/iterations,reward_terms/alive,reward_terms/overrun,reward_terms/upright,reward_terms/fwd_speed,reward_terms/ang_xy,curriculum/ctrl_jitter_ms,reward_terms/coef_rate,reward_terms/air_time,reward_terms/residual,reward_terms/stance_time,curriculum/ctrl_drop_prob,rollout/ep_rew_mean,reward_terms/hip_roll,reward_terms/lat_vel,reward_terms/energy,reward_terms/stance,time/total_timesteps,reward_terms/action_rate,reward_terms/phase_contact,reward_terms/stop,reward_terms/assist_pen,reward_terms/torque,rollout/ep_len_mean,reward_terms/foot_slip,time/fps,time/time_elapsed,curriculum/sprint_dist_m,curriculum/eff_scale,reward_terms/height,curriculum/ent_coef,reward_terms/angmom,reward_terms/vz,train/clip_fraction,train/n_updates,train/explained_variance,train/approx_kl,train/std,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/loss,train/clip_range
-0.5,0.65,0.014770763853080463,0.0,1,0.0,0.0,-0.3389062457216431,-0.38189236958140893,-0.19804124238086632,0.0,-1.556361473771112,0.0,-0.10368875798262478,-0.08113034347964761,0.0,-158.68578819718314,-0.08464251982031687,-1.9212213353168123e-08,0.0,-0.0007815453911589459,18432,-0.12713436835826888,-0.6776502233304335,0.0,0.0,0.0,234.8732394366197,-0.6828124090236607,3237,5,25.0,0.0,-0.016229599123422138,0.01,-0.1592222333872976,-0.11746366159796645,,,,,,,,,,,
-0.5,0.649982336,0.02325986217814345,-3.639410436657203e-07,2,0.0,0.0,-0.3624865956747561,0.0901233612756613,-0.2152632136653403,0.0,-1.5382386140144755,1.1393208599959811e-05,-0.10050624396102867,-0.035442204418359324,0.0,-153.17663808,-0.10302026863485907,-2.5563783840198778e-08,-2.909779238930652e-06,-0.00034958148982565146,36864,-0.13271572267753534,-0.6471705058014405,0.0,0.0,-3.417748518210343e-05,213.35,-0.7824617488883687,3123,11,25.01152,7.68e-05,-0.022918913921328336,0.01,-0.15565396584056923,-0.12499471188031896,0.04476318359375,6296,0.7492023706436157,0.0065376298,1.0008559226989746,0.000299995392,193.17455520629883,-0.004771432012785226,-34.06593971252441,43.474552154541016,0.2
-0.5,0.6499646720000001,0.023095034340295015,-7.015768785965222e-07,3,0.0,0.0,-0.3458741288658419,0.14723542451560895,-0.21547160463473686,0.0,-1.5074078125389165,5.425322645654281e-06,-0.10039470925692837,-0.034062815361216456,0.0,-155.5480182,-0.08639951230650925,-2.498016535840089e-08,-5.64339632608261e-06,-0.0007280164757834622,55296,-0.1335122448278686,-0.6512731474417446,0.0,0.0,-6.772017524751018e-05,223.45,-0.7870258918856426,3461,15,25.02304,0.0001536,-0.02993964870343556,0.01,-0.1613092204470188,-0.14313153168087478,0.0663818359375,6300,0.8659806251525879,0.008456753,1.0006742477416992,0.000299990784,94.18841133117675,-0.011991501378361136,-34.06066761016846,25.952789306640625,0.2
-0.5,0.649947008,0.01637352698484838,-9.780458915270348e-07,4,0.0,0.0,-0.42547430982581047,0.0027119238384522635,-0.21454472663435803,0.0,-1.4807198167172209,1.4648404127607742e-05,-0.10119789005335218,-0.0620153568937288,0.0,-157.75676618,-0.07813220205767697,-2.318420990221231e-08,-7.879428183216292e-06,-0.002420067140234436,73728,-0.13058331625301828,-0.6592060328909364,0.0,0.0,-9.613386605824348e-05,232.58,-0.7667504378828947,3662,20,25.03456,0.0002304,-0.028212466429019353,0.01,-0.15364272040824783,-0.12627681877637537,0.12906494140625,6304,0.8853684067726135,0.0103610065,1.0009363889694214,0.00029998617599999997,86.04105033874512,-0.008191446552518755,-34.06560344696045,22.968107223510742,0.2
-0.5,0.649929344,0.017665076793765267,-1.3307569940386043e-06,5,0.0,0.0,-0.3989491838933472,-0.07878577795001877,-0.22262342271593327,0.0,-1.4827069222021625,7.5954594649374485e-06,-0.10143495903385469,-0.08281068208291092,0.0,-163.8345655,-0.07138020156637553,-2.138828513381654e-08,-1.0593287964025431e-05,-0.0007282097154738524,92160,-0.1318063580483648,-0.668675095098702,0.0,0.0,-0.00012576069788159256,256.77,-0.7742322704959,3798,24,25.04608,0.0003072,-0.02828934376966555,0.01,-0.15874939988581127,-0.13594886996187067,0.1322265625,6308,0.8802072405815125,0.010924897,1.0007449388504028,0.000299981568,74.76525211334229,-0.009061871666926891,-34.06247482299805,21.547954559326172,0.2
-0.5,0.64991168,0.016979952463809775,-1.6891901948070054e-06,6,0.0,0.0,-0.40573386092232255,-0.17254250871083152,-0.220976281907659,0.0,-1.4853940647670967,2.9296788852661848e-05,-0.10206749712718911,-0.07354298518556687,0.0,-163.7032078,-0.07392945634288943,-2.0597738258970632e-08,-1.3170591462977087e-05,-0.000381077043298864,110592,-0.1309826704567252,-0.6558428844883413,0.0,0.0,-0.0001541656041280353,256.27,-0.7283242357154845,3891,28,25.0576,0.000384,-0.026038674065379533,0.01,-0.1564648104282725,-0.13221595388430063,0.10614013671875,6312,0.8906012773513794,0.01155735,1.0008935928344727,0.00029997696,59.23973751068115,-0.01509868273860775,-34.0631196975708,17.540756225585938,0.2
-0.5,0.6498940160000001,0.018903446682232945,-1.9559994582434537e-06,7,0.0,0.0,-0.4248094914682242,-0.12495037855362173,-0.23262299429553307,0.0,-1.4927410042957772,1.6275929131855567e-06,-0.10177039284553632,-0.09090975818980951,0.0,-164.44070341999998,-0.08079268484855301,-2.1250113663427493e-08,-1.557383384063177e-05,-0.0009090656896414859,129024,-0.13261859447076949,-0.6715095778492466,0.0,0.0,-0.00018362126822469842,259.41,-0.728878814817415,3962,32,25.06912,0.0004608,-0.026214247400324728,0.01,-0.17200229763572222,-0.13018184142401737,0.11458740234375,6316,0.9126093983650208,0.011312415,1.0013898611068726,0.00029997235199999997,48.45665864944458,-0.014033613144420087,-34.068782806396484,15.240979194641113,0.2
-0.5,0.649876352,0.014818291946186144,-2.322487946414721e-06,8,0.0,0.0,-0.3626982728402338,-0.22931477320019075,-0.23157405544202123,0.0,-1.4709047689339234,2.1701271180063486e-06,-0.10121617003274659,-0.11376358533420393,0.0,-166.66439753999998,-0.05625381613487625,-1.9742405594120472e-08,-1.8031691870530574e-05,-0.0008414223527423893,147456,-0.13305029632994295,-0.6665546658088876,0.0,0.0,-0.00020558620974499577,268.57,-0.7355259673633566,4016,36,25.08064,0.0005376,-0.025356391982088874,0.01,-0.16691993401899785,-0.1308987669136802,0.1763671875,6320,0.9071441888809204,0.013370628,1.0016865730285645,0.000299967744,43.21389513015747,-0.010067173780407756,-34.074049186706546,11.772595405578613,0.2
-0.5,0.649858688,0.010918500453757843,-2.6267153091970526e-06,9,0.0,0.0,-0.4075356934134882,-0.39790986219343005,-0.22556271305491318,0.0,-1.4836225215554313,0.0,-0.10171575710911895,-0.11837309385332952,0.0,-166.27211771000003,-0.061580382099324184,-1.931050624414895e-08,-2.0329637386791975e-05,-0.00036505682354424766,165888,-0.13064987908939546,-0.6867484661758837,0.0,0.0,-0.00023013570271860235,266.65,-0.6899187176528774,4063,40,25.09216,0.0006144,-0.020509418742676578,0.01,-0.15973934007412485,-0.10354335810048586,0.1895263671875,6324,0.9049134254455566,0.015555223,1.001522421836853,0.000299963136,33.51471891403198,-0.011674230289645492,-34.0692325592041,10.326515197753906,0.2
-0.5,0.649841024,0.012047546765634212,-2.7139830810574107e-06,10,0.0,0.0,-0.45480965275145874,-0.4088450992853676,-0.21454093667349572,0.0,-1.506616402855666,1.030811108648777e-05,-0.10242343123894482,-0.10909589815613192,0.0,-166.27367041000002,-0.07260314386556942,-1.9708169537661162e-08,-2.1691448936044257e-05,-0.0018787970480930287,184320,-0.13170634925151503,-0.6876361277873029,0.0,0.0,-0.000252431617395277,266.18,-0.6878292281974215,4102,44,25.10368,0.0006912,-0.02025204704855084,0.01,-0.16802034156896548,-0.12683149806395855,0.2037841796875,6328,0.9045184850692749,0.016760686,1.0016474723815918,0.00029995852799999997,27.779025554656982,-0.013368118280777708,-34.07144298553467,8.850515365600586,0.2
-0.5,0.6498233600000001,0.00911004695036862,-3.2303335153690077e-06,11,0.0,0.0,-0.38617878193104627,-0.5619309722525246,-0.2234773390880096,0.0,-1.488662266154684,2.1701271180063486e-06,-0.10172158249451395,-0.12256156706037775,0.0,-165.61232642,-0.05707289582635094,-1.8240922161297254e-08,-2.488142841205343e-05,-0.0027564950083237023,202752,-0.13189922095767526,-0.6846362030815487,0.0,0.0,-0.00027619057925143257,263.25,-0.6564239653689421,4130,49,25.1152,0.000768,-0.016540065851969474,0.01,-0.16482581972007432,-0.1098476475352587,0.21221923828125,6332,0.9012677669525146,0.01653405,1.0013625621795654,0.00029995392,24.949573945999145,-0.011028580786660313,-34.069775390625,6.929619789123535,0.2
