reward_terms/motor_vel,reward_terms/angmom,curriculum/stance_ratio,reward_terms/stop,reward_terms/time,reward_terms/upright,reward_terms/alive,reward_terms/ang_xy,reward_terms/stance_time,time/time_elapsed,reward_terms/residual,reward_terms/vz,reward_terms/coef_rate,reward_terms/action_rate,rollout/ep_rew_mean,reward_terms/energy,reward_terms/torque,reward_terms/stance,time/fps,curriculum/eff_scale,reward_terms/fwd_speed,reward_terms/lat_vel,reward_terms/phase_contact,curriculum/ent_coef,reward_terms/foot_slip,time/total_timesteps,reward_terms/height,reward_terms/hip_roll,rollout/ep_len_mean,reward_terms/clearance,reward_terms/overrun,reward_terms/air_time,time/iterations,train/loss,train/n_updates,train/std,train/clip_range,train/policy_gradient_loss,train/explained_variance,train/approx_kl,train/learning_rate,train/clip_fraction,train/entropy_loss,train/value_loss
0.0,-0.15859186942434186,0.65,0.0,0.0,-0.8056076542941194,0.5,-0.45925991802129357,-0.039204592032345116,8,-0.5334332442231022,-0.12993688441727413,-0.6118267135154744,-0.06758758852596389,-156.53932857,0.0,0.0,-0.05327749744832521,2289,0.0,-0.881126931244336,-3.827067177298171e-09,-0.531333872061317,0.01,-0.5689365510065629,18432,-0.024855233596878756,-0.02992935775103784,58.25,0.015372013514425464,0.0,0.0001605902378085173,1,,,,,,,,,,,
0.0,-0.22890115161496782,0.6499539200000001,0.0,0.0,-0.6436366173756567,0.5,-0.5943548192451762,-0.044769367081850454,15,-0.5282755927787699,-0.11607486067707044,-0.7501311839085282,-0.08225334758690976,-148.26304580000001,0.0,0.0,-0.06123732992660464,2439,0.0003072,-0.6968481342834912,-4.914450687360909e-09,-0.492039815703172,0.01,-0.7051087370839522,36864,-0.026771485717437628,-0.03515199314408413,49.88,0.021881879533504515,0.0,6.510411427977185e-05,2,528.1416015625,33433,1.0006935596466064,0.2,0.0014411706011742353,-2.9432616233825684,0.009573117,0.0003,0.10574951171875,-34.06503047943115,3525.7345581054688
0.0,-0.23662656169881136,0.64990784,0.0,0.0,-0.5286979522871911,0.5,-0.5780151850310563,-0.05107252755422249,21,-0.5239724216285582,-0.09573804178095996,-0.8552441664777146,-0.09284681518458261,-142.70374682,0.0,0.0,-0.03778266671796379,2602,0.0006144,-0.49425549426829374,-4.534823919213549e-09,-0.46928289694752023,0.01,-0.6837437263864579,55296,-0.024901875472562562,-0.03343009730845519,44.2,0.030691568556828877,0.0,9.331586706038151e-05,3,327.9878234863281,33437,1.0001691579818726,0.2,-0.003959905635565519,-1.1389224529266357,0.004592185,0.0003,0.01671142578125,-34.056452941894534,1539.769790649414
0.0,-0.23499927197902584,0.6498617600000001,0.0,0.0,-0.45069450936343863,0.5,-0.5823354454314358,-0.033051174051555186,27,-0.5203953359630968,-0.08876039891919575,-0.9151209934304075,-0.09984883595668717,-134.34154660000002,0.0,0.0,-0.03400290534773902,2691,0.0009216,-0.3093261032964624,-4.981868213575508e-09,-0.44937318442223895,0.01,-0.6650310075453153,73728,-0.02298673530936934,-0.03518608697693012,35.64,0.03567089561250189,0.0,0.00010416655762431522,4,156.01492309570312,33441,1.0002076625823975,0.2,-0.00688408383866772,-1.1499793529510498,0.0060602007,0.0003,0.029248046875,-34.05647163391113,774.325407409668
0.0,-0.24507669909718047,0.64981568,0.0,0.0,-0.4356091899117356,0.5,-0.6040137198924165,-0.031964480480787136,33,-0.5172099870867699,-0.08289600748207461,-0.9259313880291583,-0.1017475154105641,-134.62950449,0.0,0.0,-0.026315021656596577,2734,0.0012288,-0.22201502775964344,-4.179818101679111e-09,-0.4517965142067448,0.01,-0.6617179315118665,92160,-0.020332736500807493,-0.03305892422187344,36.03,0.03655406996229564,0.0,9.006066183145676e-05,5,77.05366516113281,33445,1.0004395246505737,0.2,-0.011678097897674888,-1.3737006187438965,0.010695221,0.0003,0.0851318359375,-34.05836410522461,312.76368560791013
0.0,-0.2403725221029993,0.6497696000000001,0.0,0.0,-0.4383308680450846,0.5,-0.6016703340851062,-0.030474681195402,39,-0.5156596629491311,-0.08426956642817596,-0.932188049638285,-0.09965030815865764,-138.25232287,0.0,0.0,-0.02210326303202699,2766,0.001536,-0.3079035196047803,-4.440288190064813e-09,-0.4587506063777269,0.01,-0.679327725369605,110592,-0.022461508021134627,-0.03060692727185666,39.49,0.03332729405060017,0.0,0.00010199649194772873,6,27.007766723632812,33449,1.0007872581481934,0.2,-0.014445311343297362,-1.4177181720733643,0.01620394,0.0003,0.13197021484375,-34.061659812927246,118.00798397064209
0.0,-0.23113134011575445,0.64972352,0.0,0.0,-0.4034248079596495,0.5,-0.5808526347815051,-0.025575597293532662,46,-0.5136927831643073,-0.0762629120939734,-0.9441999174755301,-0.10371491851996602,-135.35851968999998,0.0,0.0,-0.02175126050759627,2796,0.0018432,-0.2584808151539802,-4.054211871332409e-09,-0.4556538502250798,0.01,-0.6765597034896161,129024,-0.02059596390332775,-0.027973531611871532,36.51,0.03363564293971555,0.0,9.33159155667656e-05,7,13.128780364990234,33453,1.0011398792266846,0.2,-0.012328920734580607,-3.186215400695801,0.020577945,0.0003,0.2133544921875,-34.06646213531494,74.71213083267212
0.0,-0.22302672352781178,0.64967744,0.0,0.0,-0.3733774789504469,0.5,-0.5735865072104283,-0.029410772167870566,52,-0.5129019440029804,-0.07403252552875118,-0.9418158200486517,-0.10703410592761202,-130.17212930000002,0.0,0.0,-0.011300513947429055,2819,0.0021504,-0.22441240832289097,-3.5901628839925274e-09,-0.45165428997931417,0.01,-0.6698230770145552,147456,-0.01789580678053634,-0.021631342413468965,31.25,0.03345852415583018,0.0,6.40190491038892e-05,8,5.400576591491699,33456,1.0014036893844604,0.2,-0.013476133967439333,-3.184488296508789,0.03925965,0.0003,0.26365559895833335,-34.06943028767903,21.588768196105956
0.0,-0.22198812546669344,0.64963136,0.0,0.0,-0.31949717258347055,0.5,-0.5730489487022915,-0.023726099180445697,58,-0.5116984012487616,-0.07750222835302435,-0.9211262382440556,-0.10895970331521218,-130.48495409,0.0,0.0,-0.009472670681024675,2832,0.0024576,-0.2012159980798051,-3.685978583791454e-09,-0.4386119976513293,0.01,-0.6781230871361479,165888,-0.015500594853583525,-0.020652336026503536,31.75,0.03358854429841386,0.0,9.982631632333828e-05,9,5.685842990875244,33459,1.0013046264648438,0.2,-0.00034411243078383535,-4.727545261383057,0.04915151,0.0003,0.32384144176136365,-34.0686728737571,20.359931512312457
0.0,-0.2298084612412502,0.64958528,0.0,0.0,-0.33231127191069765,0.5,-0.586886991452175,-0.020932049799335398,64,-0.5093674578175391,-0.07513358840193614,-0.9209429476966291,-0.10998149399671199,-129.37178674999998,0.0,0.0,-0.011889717166780148,2848,0.0027648,-0.18726872917720563,-3.6850365268097215e-09,-0.43638046205649633,0.01,-0.6961012225992474,184320,-0.01572223909894473,-0.019105174851478536,30.38,0.03302333784613108,0.0,5.6423554067603414e-05,10,8.69296932220459,33461,1.0008331537246704,0.2,0.0074221282654131455,-4.414133548736572,0.047805473,0.0003,0.2855224609375,-34.064653396606445,19.835845311482746
0.0,-0.22212406188349082,0.6495392,0.0,0.0,-0.28748309267362143,0.5,-0.5804592553426553,-0.022173911819764826,70,-0.510414216399799,-0.07794452828656642,-0.9115746331847391,-0.11280852337783773,-130.42037329000001,0.0,0.0,-0.007886009198794171,2863,0.003072,-0.20062944833451246,-3.6090281037884902e-09,-0.4224663227787026,0.01,-0.679406461375535,202752,-0.014839523203406424,-0.017026351076886007,31.7,0.034304144810069714,0.0,4.231763887219131e-05,11,3.3460280895233154,33462,1.0004777908325195,0.2,0.011514180048834532,-5.779266357421875,0.021058187,0.0003,0.2259521484375,-34.060232162475586,8.951267004013062
0.0,-0.22721927527342942,0.64949312,0.0,0.0,-0.29718877720871295,0.5,-0.5762529169991986,-0.019902862459679857,76,-0.5092231048000074,-0.07579698142464224,-0.9026407857767127,-0.11215939485795608,-126.45622139000001,0.0,0.0,-0.007785810134529529,2876,0.0033792,-0.22171334074693483,-3.795311849206555e-09,-0.41781786023310347,0.01,-0.6848140611261779,221184,-0.01427550373671767,-0.017209255901317624,27.51,0.03376512845748272,0.0,2.495654755168491e-05,12,4.115159511566162,33463,1.000974416732788,0.2,0.019608063623309135,-5.5820488929748535,0.03092674,0.0003,0.33544921875,-34.06509552001953,7.876145362854004
0.0,-0.22000931589300474,0.64944704,0.0,0.0,-0.26920737083741486,0.5,-0.5651830043495161,-0.014860549805841098,82,-0.5075485474196116,-0.07678621435979184,-0.8968061646902995,-0.11182123992457517,-125.72410123,0.0,0.0,-0.005923801704426478,2887,0.0036864,-0.15178390917404927,-3.5123079157252667e-09,-0.42130056290976137,0.01,-0.6827185641997588,239616,-0.013053130647839662,-0.016807043149871047,26.78,0.03497255924355308,0.0,6.618916975437767e-05,13,7.538897514343262,33464,1.0005714893341064,0.2,0.01153133095552524,-6.261285781860352,0.03239155,0.0003,0.2750651041666667,-34.06133270263672,14.227242469787598
0.0,-0.23345243764384482,0.64940096,0.0,0.0,-0.277630342679193,0.5,-0.5750946919948239,-0.017543381599049706,89,-0.5073867494910442,-0.08131414386408765,-0.8858828426071724,-0.1138789061297784,-126.24722888999997,0.0,0.0,-0.005395519915364787,2896,0.0039936,-0.1331550194508382,-3.689370978205286e-09,-0.411854474006754,0.01,-0.7095214588275599,258048,-0.014617159256876507,-0.017127779696329965,27.52,0.03673635570600715,0.0,0.00012152772332127724,14,27.0101261138916,33465,1.0008022785186768,0.2,0.006969843641854823,-2.201923131942749,0.027110506,0.0003,0.262939453125,-34.064260482788086,61.387938499450684
0.0,-0.2338825994537156,0.64935488,0.0,0.0,-0.26505674495503895,0.5,-0.5742659091879174,-0.01856985672202427,95,-0.5079202598982346,-0.08198503133109816,-0.8827996933701806,-0.11458310204573555,-123.3563635,0.0,0.0,-0.003820072220334018,2904,0.0043008,-0.15603526491755462,-3.476773698897217e-09,-0.40904548018307296,0.01,-0.6970841048318633,276480,-0.01330121516844107,-0.015255332199950579,24.44,0.036365535185045414,0.0,4.665793838082916e-05,15,3.081068515777588,33467,1.001189947128296,0.2,0.007348332709322373,-6.091268539428711,0.05931576,0.0003,0.242919921875,-34.068342208862305,11.258110523223877
0.0,-0.2294225629607746,0.6493088,0.0,0.0,-0.2386820605949335,0.5,-0.5664296086751551,-0.011620537298666831,101,-0.5072740373079064,-0.08227545400252428,-0.8738243147063359,-0.11563303426457686,-125.18608199,0.0,0.0,-0.0032124130201476617,2911,0.004608,-0.1151662193409711,-3.521138477751524e-09,-0.4002018555927296,0.01,-0.6960048281604384,294912,-0.01259581963775841,-0.016334239150121162,26.28,0.03933193643929817,0.0,8.5720410829203e-05,16,30.982620239257812,33468,1.0002433061599731,0.2,0.005679035559296608,-4.2691264152526855,0.023701612,0.0003,0.2310791015625,-34.05733108520508,57.28088569641113
