time/iterations,reward_terms/stance_time,reward_terms/clearance,reward_terms/motor_vel,reward_terms/upright,curriculum/ent_coef,curriculum/sprint_dist_m,reward_terms/overrun,reward_terms/coef_rate,rollout/ep_rew_mean,reward_terms/angmom,time/total_timesteps,time/fps,reward_terms/residual,curriculum/stance_ratio,curriculum/ctrl_jitter_ms,reward_terms/fwd_speed,reward_terms/phase_contact,reward_terms/hip_roll,rollout/ep_len_mean,reward_terms/energy,reward_terms/ang_xy,reward_terms/assist_pen,time/time_elapsed,reward_terms/vz,reward_terms/stop,reward_terms/time,reward_terms/alive,reward_terms/air_time,curriculum/ctrl_drop_prob,reward_terms/stance,curriculum/eff_scale,reward_terms/torque,reward_terms/action_rate,reward_terms/lat_vel,reward_terms/height,reward_terms/foot_slip,train/entropy_loss,train/clip_fraction,train/std,train/learning_rate,train/loss,train/n_updates,train/explained_variance,train/approx_kl,train/clip_range,train/policy_gradient_loss,train/value_loss
1,-0.08452171400939631,0.017501217630514168,0.0,-0.41543542653709686,0.01,25.0,0.0,-1.555632337866427,-158.96887572857142,-0.12499266774627715,18432,4459,-0.10420832643047913,0.65,0.0,-0.1397574655415369,-0.6872245618875719,-0.10147658755173264,236.04285714285714,0.0,-0.2666481764617845,0.0,4,-0.09785715082137415,0.0,-0.5,0.0,0.0,0.0,-0.004707028684661739,0.0,0.0,-0.12619710704320128,-1.4767548682032921e-08,-0.012650268959987991,-0.7380671001139155,,,,,,,,,,,
2,-0.021287231376239408,0.02844351692637049,-3.678823575947306e-07,-0.4371299018042623,0.01,25.01152,0.0,-1.5381682649716353,-148.79366597,-0.1378852400618614,36864,4269,-0.10124284213887386,0.649982336,0.0,0.2301743461314421,-0.6394023795479044,-0.12257825840324063,195.57,-3.049255974550187e-06,-0.2974207491354208,0.0,8,-0.11564551527487467,0.0,-0.5,0.0,5.4253323469311e-06,0.0,-7.864594433531222e-05,7.68e-05,-3.4424319037246716e-05,-0.13415233218335743,-2.1662362571721192e-08,-0.01777834834573484,-0.8095289147417577,-34.06581325531006,0.0522216796875,1.0008536577224731,0.000299995392,39.32254409790039,6296,0.7486883401870728,0.0072931736,0.2,-0.005500157803180627,177.5612850189209
3,-0.01634488397394307,0.029467842355921498,-7.820139452399114e-07,-0.3403723364899694,0.01,25.02304,0.0,-1.52179067918718,-147.22149277,-0.1252363016675688,55296,4344,-0.10040078434232141,0.6499646720000001,0.0,0.2680704433682129,-0.6267664755182594,-0.12161244233076182,189.91,-6.336550561841433e-06,-0.3068396371150464,0.0,12,-0.11576613605576054,0.0,-0.5,0.0,0.0,0.0,-0.0002625898705466218,0.0001536,-7.131963038253897e-05,-0.13554568017703097,-2.0579378367545373e-08,-0.02183938661788276,-0.8206925934192884,-34.06050033569336,0.06763916015625,1.0005972385406494,0.000299990784,26.629079818725586,6300,0.870148241519928,0.008138122,0.2,-0.011221890919841826,99.20185317993165
4,-0.043949577223328457,0.02886944204913172,-1.216009525311689e-06,-0.32192816439191857,0.01,25.03456,0.0,-1.4966444983513654,-150.84017972,-0.13105258261303468,73728,4381,-0.0999172534859301,0.649947008,0.0,0.23616031146026056,-0.6205298053980599,-0.11847404972750833,204.41,-9.67322246245785e-06,-0.32105986822808014,0.0,16,-0.1379227341102622,0.0,-0.5,0.0,0.0,0.0,-0.00118376324299965,0.0002304,-0.0001054759091641039,-0.13719031708482446,-2.1061607150351797e-08,-0.026912732573749095,-0.8175438276832919,-34.063249588012695,0.0944580078125,1.0007857084274292,0.00029998617599999997,25.496328353881836,6304,0.8605501651763916,0.009556141,0.2,-0.009031199209857732,92.16867923736572
5,-0.033813787441532545,0.03015734624646365,-1.4501430647141043e-06,-0.40927809422949124,0.01,25.04608,0.0,-1.4738022191931623,-151.88633049,-0.14000863872510047,92160,4410,-0.10041368251988975,0.649929344,0.0,0.21529746446240644,-0.6264458741354116,-0.10249134695306408,209.15,-1.1747126285215478e-05,-0.3016609512283842,0.0,20,-0.15642161041105312,0.0,-0.5,0.0,0.0,0.0,-8.22813086994429e-05,0.0003072,-0.00013264585326987278,-0.1362246567274286,-1.9221648346085693e-08,-0.028618845515289006,-0.7759056284809809,-34.06402225494385,0.11912841796875,1.000868320465088,0.000299981568,17.922040939331055,6308,0.883031964302063,0.0116415415,0.2,-0.010684828157536685,70.97757358551026
6,-0.0532569889684156,0.029526085864282847,-1.8721564837305723e-06,-0.4086050734582023,0.01,25.0576,0.0,-1.495778369080665,-155.28731733000004,-0.13646164265242602,110592,4424,-0.10079848367175988,0.64991168,0.0,0.16209846112585954,-0.6387960696616736,-0.0958627805508125,222.62,-1.484657131502558e-05,-0.31211521124082325,0.0,24,-0.13661738301130166,0.0,-0.5,0.0,1.085058708364765e-06,0.0,-0.0011506741221417758,0.000384,-0.00016506246701468707,-0.13668463503305198,-1.7942061274820514e-08,-0.0245307721357388,-0.7819524382918757,-34.0655704498291,0.163525390625,1.0010695457458496,0.00029997696,15.634393692016602,6312,0.9091118574142456,0.013375469,0.2,-0.01135457712225616,53.59180383682251
7,-0.056393630154262714,0.025462937529584253,-2.090567446490432e-06,-0.40668556650492443,0.01,25.06912,0.0,-1.4968132573703503,-156.12167806999997,-0.13118895423028265,129024,4441,-0.10159383984741141,0.6498940160000001,0.0,0.11759713686536791,-0.6563994565777076,-0.0806827971463875,225.97,-1.68317529043247e-05,-0.2898331372813389,0.0,29,-0.12775580979610324,0.0,-0.5,0.0,2.3871485609561205e-05,0.0,-0.0016186369256677845,0.0004608,-0.0001874471366383562,-0.13428652935271004,-1.5855253501870396e-08,-0.023314418332355966,-0.7157174362261222,-34.06618328094483,0.17579345703125,1.0010417699813843,0.00029997235199999997,13.263986587524414,6316,0.9029809236526489,0.014465901,0.2,-0.011134292837232352,49.613206672668454
8,-0.06410343769756663,0.023191906297391263,-2.4292257931631354e-06,-0.41722535800924654,0.01,25.08064,0.0,-1.4892163090388832,-158.83400778000004,-0.13127683392236975,147456,4449,-0.10121588792227408,0.649876352,0.0,-0.032031521447221684,-0.6527460711704657,-0.07834192299212421,236.4,-1.927991562596276e-05,-0.3035233018767424,0.0,33,-0.1257909955759877,0.0,-0.5,0.0,2.7126613228271403e-06,0.0,-0.001696637981715495,0.0005376,-0.00021558685376385134,-0.13321158062171687,-1.6874380127792216e-08,-0.021161340558968587,-0.7295062757183406,-34.067097663879395,0.18858642578125,1.0012918710708618,0.000299967744,9.495882034301758,6320,0.9062062501907349,0.018665807,0.2,-0.011462358670542017,34.36564359664917
9,-0.07637324806354526,0.020807295071183642,-2.81020694288967e-06,-0.44889135981030304,0.01,25.09216,0.0,-1.4759824699763953,-161.31299228999998,-0.11581032712989031,165888,4461,-0.10095475319209132,0.649858688,0.0,-0.12546863326436553,-0.6601505911174139,-0.07380256705036924,246.24,-2.1914031439171264e-05,-0.2731488783146634,0.0,37,-0.11674739923263965,0.0,-0.5,0.0,0.0,0.0,-0.0001003776711711291,0.0006144,-0.00024269442328869807,-0.13386857540017863,-1.532926459631741e-08,-0.020357177012253407,-0.6739982204150272,-34.072384643554685,0.28798828125,1.001760482788086,0.000299963136,8.782291412353516,6324,0.8884875774383545,0.020902328,0.2,-0.003524515498429537,30.831571674346925
10,-0.0772409029482838,0.025481801861439415,-3.2935552700875356e-06,-0.45934641884070376,0.01,25.10368,0.0,-1.5045410296508708,-160.47651989999997,-0.1297164911579728,184320,4470,-0.10121150064126268,0.649841024,0.0,-0.002804438212223382,-0.6723789455594645,-0.06934834357453028,242.74,-2.5761638877909424e-05,-0.2899552426363134,0.0,41,-0.1197712842302015,0.0,-0.5,0.0,4.34023483345906e-06,0.0,-0.0021151222606921893,0.0006912,-0.0002764921554134154,-0.13710543055070895,-1.530909969792844e-08,-0.02116224282985554,-0.7547957120949976,-34.07872695922852,0.25111083984375,1.0023012161254883,0.00029995852799999997,6.660367965698242,6328,0.888899564743042,0.020836556,0.2,-0.011376729176845402,22.994188165664674
