reward_terms/coef_rate,reward_terms/angmom,reward_terms/hip_roll,rollout/ep_rew_mean,reward_terms/lat_vel,reward_terms/torque,reward_terms/vz,time/iterations,reward_terms/stop,reward_terms/energy,reward_terms/residual,reward_terms/clearance,curriculum/eff_scale,time/total_timesteps,reward_terms/stance_time,reward_terms/upright,time/fps,reward_terms/ang_xy,reward_terms/alive,reward_terms/phase_contact,reward_terms/height,reward_terms/air_time,reward_terms/foot_slip,curriculum/ent_coef,reward_terms/stance,time/time_elapsed,reward_terms/motor_vel,reward_terms/fwd_speed,curriculum/stance_ratio,rollout/ep_len_mean,reward_terms/overrun,reward_terms/time,reward_terms/action_rate,train/clip_range,train/approx_kl,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/std,train/n_updates,train/loss,train/value_loss,train/clip_fraction,train/explained_variance
-0.6118267135154744,-0.15859186942434186,-0.02992935775103784,-156.64575372,-3.827067177298171e-09,0.0,-0.12993688441727413,1,0.0,0.0,-0.5334332442231022,0.019169955746452246,0.0,18432,-0.039204592032345116,-0.8056076542941194,2487,-0.45925991802129357,0.5,-0.531333872061317,-0.024855233596878756,0.0001605902378085173,-0.5689365510065629,0.01,-0.05327749744832521,7,0.0,-0.5493755442210261,0.65,58.25,0.0,0.0,-0.06758758852596389,,,,,,,,,,,
-0.7441760124846344,-0.23021621488407978,-0.03788513386585205,-147.34688352,-5.1577841162087195e-09,-0.00010348166775117718,-0.11315315217904483,2,0.0,-9.625028418213837e-06,-0.5284320484070006,0.027898765167528497,0.0003072,36864,-0.04302186548981505,-0.6369781481415888,2435,-0.6078574500925806,0.5,-0.49499037569744814,-0.026737845983428692,7.486971056399246e-05,-0.716292868258377,0.01,-0.05737330244308582,15,-2.4794736633511074e-06,-0.43951913031446355,0.649929344,48.95,0.0,0.0,-0.0829328175699125,0.2,0.009576088,-34.06503067016602,0.0014427086105570197,0.0003,1.0006935596466064,33433,529.240966796875,3529.0769226074217,0.10577392578125,-2.9408721923828125
-0.867044053960367,-0.23124683558003337,-0.036658680645646625,-140.31528952,-4.503831230302961e-09,-0.00020962800001486057,-0.0953359400948305,3,0.0,-2.0115656835046524e-05,-0.5249814863577547,0.03916614192310718,0.0006144,55296,-0.04665576041831324,-0.5001058989288141,2594,-0.5752218560055897,0.5,-0.4633557492873982,-0.02390851136133667,0.00019748252169746492,-0.6900434953697968,0.01,-0.04736832194049703,21,-4.855872391227578e-06,-0.3263633717410684,0.649858688,41.81,0.0,0.0,-0.09362208561152445,0.2,0.0049781585,-34.05644493103027,-0.004487911763135344,0.0003,1.00016188621521,33437,319.6775207519531,1546.6952514648438,0.0190185546875,-1.1331300735473633
-0.9037125936436305,-0.24295321490269675,-0.035614554041187275,-135.60425947,-4.956116694274367e-09,-0.0003111287368923004,-0.08731620135223167,4,0.0,-2.9710369704846176e-05,-0.5199777911903783,0.04481891862700495,0.0009216,73728,-0.041640575567726046,-0.4663779859191043,2681,-0.5880169543995384,0.5,-0.45440413525956813,-0.02247970925257641,0.00011935753799560998,-0.6763608227268981,0.01,-0.03759063506267113,27,-7.080817029348206e-06,-0.24784753884429855,0.649788032,36.91,0.0,0.0,-0.09804239611063274,0.2,0.0061630956,-34.05637912750244,-0.006730763660743833,0.0003,1.0002042055130005,33441,130.45355224609375,755.3301284790039,0.03350830078125,-1.0210130214691162
-0.9381500765281677,-0.24123953248079433,-0.030788859901852317,-139.85816981,-4.4224767803969656e-09,-0.0004154480327085775,-0.07944574219762601,5,0.0,-3.88889024166249e-05,-0.517721923765326,0.0442531200184811,0.0012288,92160,-0.031049766343332723,-0.4282564057173665,2734,-0.599060533167563,0.5,-0.45616665037210313,-0.021475191822238806,0.00011827251485859354,-0.6616945928403809,0.01,-0.020691586964185115,33,-9.325664315485732e-06,-0.21974603207618004,0.649717376,41.02,0.0,0.0,-0.10089371829657251,0.2,0.01128045,-34.0585844039917,-0.011496573407202958,0.0003,1.0004314184188843,33445,52.97442626953125,282.78994941711426,0.076318359375,-1.292405366897583
-0.931995986038426,-0.24044102526423655,-0.027061757369105644,-132.82855804000002,-4.004612232562648e-09,-0.0005213945984876544,-0.0823335494796215,6,0.0,-4.880219654920661e-05,-0.5161471129395027,0.04473028575003491,0.001536,110592,-0.029495947538331773,-0.4218232639359637,2771,-0.5930816116301694,0.5,-0.45591088441274913,-0.02059550581811674,9.006072003911767e-05,-0.6625043333052267,0.01,-0.021307490098577048,39,-1.1589359958916956e-05,-0.21198252184542968,0.64964672,34.02,0.0,0.0,-0.1019175371428861,0.2,0.015707579,-34.06161117553711,-0.014705725945532322,0.0003,1.0007116794586182,33449,23.524559020996094,104.7326545715332,0.126904296875,-1.8674085140228271
-0.9244545675277226,-0.23978829433297952,-0.02570820914228757,-132.98598287000002,-3.922202033578651e-09,-0.0006489482861848633,-0.0785682222692438,7,0.0,-6.113042283749804e-05,-0.5139088479823225,0.04207956002863551,0.0018432,129024,-0.032318754925250284,-0.40774318065794934,2798,-0.593576541992364,0.5,-0.45855228396344544,-0.01917514882826817,0.00010525171657920712,-0.6903141795316459,0.01,-0.01966668942326164,46,-1.4499930192720047e-05,-0.20638443026495623,0.649576064,34.18,0.0,0.0,-0.10374336863272365,0.2,0.036485884,-34.06609687805176,-0.011887518549337983,0.0003,1.0011237859725952,33453,10.95605182647705,62.52641801834106,0.26536865234375,-3.710789680480957
-0.9233404881239111,-0.23430169329582437,-0.022949623501389186,-134.04567541,-3.962380198598154e-09,-0.0007930661801653011,-0.08067677435962724,8,0.0,-7.392678752480608e-05,-0.5125049730183303,0.04418291950245006,0.0021504,147456,-0.03196991025146821,-0.3713930753304005,2822,-0.5891415502695732,0.5,-0.44799324223735515,-0.01813459267869519,5.533849859299759e-05,-0.6717234865792466,0.01,-0.011062584013438022,52,-1.7692204376437265e-05,-0.17689075957989997,0.649505408,35.09,0.0,0.0,-0.10686615505701742,0.2,0.03432724,-34.06917653764997,-0.007485987851396203,0.0003,1.0013282299041748,33456,7.887002944946289,26.206820692334855,0.2545689174107143,-4.155043125152588
-0.9239667011926535,-0.2345960708179225,-0.020023637735881745,-128.909989,-3.794310855954787e-09,-0.0009220602085203777,-0.08325541877290815,9,0.0,-8.79894091031758e-05,-0.5124575612601965,0.04073049202102621,0.0024576,165888,-0.02562876683077775,-0.33840357561588813,2841,-0.5775261532509129,0.5,-0.43698172361341725,-0.0166793895476482,6.18489090508471e-05,-0.6980782200324039,0.01,-0.013762598286314305,58,-2.145610401989875e-05,-0.17857072789216336,0.649434752,29.99,0.0,0.0,-0.10967747014987321,0.2,0.039561562,-34.07297434125628,-0.002738937802080597,0.0003,1.0015838146209717,33459,9.039135932922363,26.062315736498153,0.34190150669642855,-4.986908912658691
-0.9089374286548626,-0.23919788803814038,-0.01773386537862878,-126.91879614999999,-3.377503292132115e-09,-0.0010445819070208754,-0.08147403728001976,10,0.0,-0.00010175434002674479,-0.5120844835377386,0.041279242625639805,0.0027648,184320,-0.02142521225323435,-0.3215455492190223,2855,-0.5965153761333551,0.5,-0.4310627367594372,-0.015284607082583826,5.2083273961519204e-05,-0.6855568981617483,0.01,-0.0073743812985079555,64,-2.528040064394334e-05,-0.1711539723735676,0.649364096,27.97,0.0,0.0,-0.11135900852141628,0.2,0.04282698,-34.073736826578774,-0.00253617437556386,0.0003,1.0017013549804688,33461,2.7159178256988525,8.331439601050484,0.3182779947916667,-5.6476616859436035
-0.9020075540009356,-0.23377087199387736,-0.0169729401227123,-127.06394023000001,-3.4245642537952363e-09,-0.0011692353506059547,-0.07863094521771719,11,0.0,-0.00011637560503372074,-0.5105147415648673,0.040982518877718886,0.003072,202752,-0.019872480301677972,-0.2911167243153333,2868,-0.5824763109125093,0.5,-0.4254762750487635,-0.013989555522176325,5.7508648347316514e-05,-0.6827779583844761,0.01,-0.005775727405969329,70,-2.9517506573411777e-05,-0.15122105440218725,0.64929344,28.05,0.0,0.0,-0.11333206961347668,0.2,0.048907463,-34.06060663859049,0.02021025416130821,0.0003,1.0005011558532715,33462,4.05757474899292,11.047020276387533,0.3468424479166667,-6.766135215759277
-0.90522767209085,-0.2278777797825057,-0.01607782657681074,-126.7430202,-3.4692202725306097e-09,-0.0013482268299388068,-0.07928726828418485,12,0.0,-0.00013168663226980525,-0.5104830910430811,0.04206027132898016,0.0033792,221184,-0.022765815867589682,-0.27449255830378166,2878,-0.5693776389716096,0.5,-0.4144747815091684,-0.014997302980471916,8.246521206779612e-05,-0.6834462563824287,0.01,-0.005491055586938178,76,-3.360518459287426e-05,-0.15421891435087112,0.649222784,27.92,0.0,0.0,-0.11485648121332691,0.2,0.05523608,-34.06964238484701,0.013988854402365783,0.0003,1.0013105869293213,33464,2.1519765853881836,6.553269147872925,0.3653971354166667,-5.807637691497803
-0.8943951324189544,-0.22948928919931363,-0.015632002017014052,-128.19655074,-3.527127243617945e-09,-0.0014348512128296595,-0.08029757176106417,13,0.0,-0.00014409540396691014,-0.509771751680429,0.03999625564400469,0.0036864,239616,-0.02189667614584323,-0.2564194255212776,2888,-0.5712474364301436,0.5,-0.4124869648998991,-0.014190405924765602,3.2552023185417056e-05,-0.6706873184660229,0.01,-0.006338106407876649,82,-3.780082287615797e-05,-0.1724474250524574,0.649152128,29.22,0.0,0.0,-0.1148246739822522,0.2,0.029207924,-34.06139373779297,0.016048705360541742,0.0003,1.000577688217163,33465,5.204360008239746,9.254423141479492,0.2969563802083333,-6.720072269439697
-0.8956786742276837,-0.22991083750324182,-0.015167027195134467,-126.80561785,-3.4265727245837293e-09,-0.001597197519403797,-0.0816402752537051,14,0.0,-0.00015904761998416735,-0.5113242742941609,0.04365258551829641,0.0039936,258048,-0.01825301619343615,-0.2599000040708464,2894,-0.5519215400617504,0.5,-0.4153638478937819,-0.013349155503241967,5.208324485768875e-05,-0.6951967353229848,0.01,-0.00461983261192177,89,-4.161968778674496e-05,-0.1367867667839651,0.649081472,27.96,0.0,0.0,-0.11578473482879859,0.2,0.033110432,-34.06728057861328,0.015128159150481223,0.0003,1.0010395050048828,33466,7.20128870010376,12.97674789428711,0.330224609375,-6.093190670013428
