time/total_timesteps,reward_terms/motor_vel,curriculum/eff_scale,curriculum/stance_ratio,time/iterations,reward_terms/hip_roll,reward_terms/torque,reward_terms/assist_pen,reward_terms/upright,reward_terms/alive,curriculum/pitch_armature,reward_terms/angmom,time/fps,reward_terms/clearance,reward_terms/coef_rate,reward_terms/ang_xy,time/time_elapsed,reward_terms/fwd_speed,reward_terms/vz,reward_terms/energy,reward_terms/action_rate,rollout/ep_len_mean,reward_terms/air_time,reward_terms/stance_time,reward_terms/stance,curriculum/sprint_dist_m,reward_terms/overrun,reward_terms/lat_vel,rollout/ep_rew_mean,curriculum/ent_coef,reward_terms/residual,reward_terms/foot_slip,reward_terms/stop,reward_terms/height,reward_terms/time,reward_terms/phase_contact,train/clip_fraction,train/learning_rate,train/entropy_loss,train/explained_variance,train/approx_kl,train/loss,train/n_updates,train/clip_range,train/policy_gradient_loss,train/value_loss,train/std
18432,0.0,0.0,0.65,1,-0.025935599994773555,0.0,0.0,-0.2448284390540534,0.0,1.0,-0.10327106907417118,2952,0.04190740115638433,-0.6048247672501607,-0.08738762936266173,6,0.27712034280046915,-0.13132980438453512,0.0,-0.08139641423347323,34.87,0.00026258664567851357,-0.01794757835159544,-0.04005353806579808,25.0,0.0,-5.394649176854465e-09,-134.41578681,0.01,-0.26314938369474644,-0.6364067377730025,0.0,-0.02811738322135237,-0.5,-0.44203557502295315,,,,,,,,,,,
36864,-3.4642781100335082e-06,0.0003072,0.64996928,2,-0.02677423168840951,-0.0001401900552816037,0.0,-0.15174944017139647,0.0,0.9990784,-0.10676127041624707,2844,0.047031363974617754,-0.7439586137762316,-0.08618590820101606,12,0.1727613166720671,-0.11861642283384875,-1.179948252513436e-05,-0.10124931162116171,28.7,0.0005881075178169542,-0.007322583163234715,-0.010876407039194099,25.04608,0.0,-5.3852946984097465e-09,-128.3828488,0.01,-0.25672131256822184,-0.7344599899976676,0.0,-0.03371835048479757,-0.5,-0.41322477310802147,0.09754638671875,0.0003,-34.06508464813233,-5.016274452209473,0.010026414,640.9940795898438,33433,0.2,0.001389226969331503,2857.7744995117187,1.000700831413269
55296,-7.40449984870861e-06,0.0006144,0.64993856,3,-0.033322552540951324,-0.00029140369626331076,0.0,-0.10046996392790732,0.0,0.9981568,-0.09718582372273454,2871,0.05262550042367528,-0.8550841932617965,-0.06496924694187317,19,0.18601890207306285,-0.11673696487501949,-2.543096614783472e-05,-0.10975645052142452,26.87,0.00043294260912160907,-0.0023697878673879635,-0.008281180428240586,25.09216,0.0,-5.7950523394753394e-09,-126.49788231000001,0.01,-0.2551964589676622,-0.7143405375369977,0.0,-0.04215418967109319,-0.5,-0.4111280405930619,0.01336669921875,0.0003,-34.056416511535645,-7.877372741699219,0.0040210495,242.026611328125,33437,0.2,-0.0040102000813931225,1064.5231231689454,1.0001494884490967
73728,-1.0918121292509747e-05,0.0009216,0.64990784,4,-0.039649751999868504,-0.0004276630617036611,0.0,-0.09637592356614348,0.0,0.9972352,-0.08859711914079399,2888,0.05784839467718309,-0.9132563206576739,-0.054812963509501385,25,0.2143960829763899,-0.12397750949174695,-3.7840343628180994e-05,-0.11243099226308208,28.11,0.0004730900885382046,-0.003320308025447755,-0.010428647432970731,25.13824,0.0,-6.376680299829553e-09,-127.66485175000001,0.01,-0.2540770861576451,-0.6801681545452648,0.0,-0.049865897212436026,-0.5,-0.422103112881957,0.0159912109375,0.0003,-34.055816078186034,-3.502563953399658,0.005280882,143.44081115722656,33441,0.2,-0.006429752020630985,577.3410842895507,1.0001282691955566
92160,-1.4156688676742808e-05,0.0012288,0.64987712,5,-0.042509619459541736,-0.0005388776273516898,0.0,-0.09890572088763107,0.0,0.9963136,-0.08385583681719949,2902,0.062252573364137684,-0.9514683563605099,-0.053484566080485935,31,0.27161621252622736,-0.12794890880047768,-4.8586469875199485e-05,-0.11322578975805168,27.19,0.00027994771759646636,-0.0022032296967356363,-0.012878169645917658,25.18432,0.0,-6.80657066176555e-09,-126.72374407,0.01,-0.2542495157704506,-0.6719353622141746,0.0,-0.05539005311054229,-0.5,-0.4304523942569702,0.04493408203125,0.0003,-34.0568431854248,-2.0351932048797607,0.008524296,83.36146545410156,33445,0.2,-0.01010149345966056,328.4095176696777,1.0002415180206299
110592,-1.731089184852384e-05,0.001536,0.6498464,6,-0.04140738009117496,-0.0006678473275339704,0.0,-0.10202367119895288,0.0,0.995392,-0.08231598614115604,2911,0.06273471453907822,-0.9719401296253023,-0.05402360964196638,37,0.25332283179514664,-0.12560417804627588,-6.045186947343324e-05,-0.11413923304768699,26.81,0.00028211784148071375,-0.0016889071961890699,-0.009403939040084807,25.2304,0.0,-6.6462294757366394e-09,-126.0347601,0.01,-0.25415218880668766,-0.6539341497912239,0.0,-0.054147217880371606,-0.5,-0.43195481483944165,0.0773681640625,0.0003,-34.059144020080566,-3.3159728050231934,0.011370422,30.021448135375977,33449,0.2,-0.015681100951042026,103.0555959701538,1.0005005598068237
129024,-2.0408328711846247e-05,0.0018432,0.64981568,7,-0.044544306521019914,-0.0008124014613796732,0.0,-0.10729908625284101,0.0,0.9944704,-0.08206550092683697,2919,0.06481261182900472,-0.9765404361759484,-0.0553827810543758,44,0.32453564710738025,-0.12212065632597963,-7.236039140846303e-05,-0.11555263843853363,29.96,0.00047309012410955294,-0.002013342270705228,-0.01734005781186241,25.27648,0.0,-6.740576178784716e-09,-128.93936345000003,0.01,-0.25400707215229174,-0.6627511177567268,0.0,-0.05496412105210232,-0.5,-0.43712690913490904,0.14140625,0.0003,-34.0622371673584,-1.4581222534179688,0.017099595,15.234025001525879,33453,0.2,-0.018663426744751632,51.16043243408203,1.0007352828979492
147456,-2.3274957683946507e-05,0.0021504,0.64978496,8,-0.041602207911880594,-0.0009317065870252225,0.0,-0.12919061764873707,0.0,0.9935488,-0.0901112235781895,2925,0.06418757065427881,-0.9826586335950938,-0.06317910012687743,50,0.3296813048577725,-0.12103754850712406,-8.364735265615973e-05,-0.11493488887821696,29.38,0.0002690971046427472,-0.0043505791804313455,-0.008823786406251337,25.32256,0.0,-7.0575112276427944e-09,-128.39725349,0.01,-0.25463387345821414,-0.6782145932545065,0.0,-0.05601316793984374,-0.5,-0.44383867644563924,0.2004150390625,0.0003,-34.0634786605835,-2.2457761764526367,0.019472683,14.244173049926758,33457,0.2,-0.014712199743371457,60.93982248306274,1.000786304473877
165888,-2.5865147419891013e-05,0.0024576,0.64975424,9,-0.041112908365103534,-0.0010610089576916688,0.0,-0.11512369311381446,0.0,0.9926272,-0.08371068979574894,2929,0.06075708061786397,-0.9734899519672078,-0.06020019051518677,56,0.2698377522725337,-0.1136904873487815,-9.417385408010196e-05,-0.11473825061349473,29.58,0.00036349815006057423,-0.0038422258949140087,-0.012187387634889711,25.36864,0.0,-6.154832617363205e-09,-128.60008811999998,0.01,-0.25511398829752363,-0.6749385946070414,0.0,-0.04922957892795872,-0.5,-0.4415245907896306,0.204638671875,0.0003,-34.0666862487793,-3.5213589668273926,0.025905306,7.549168109893799,33461,0.2,-0.023981073719915,27.90608768463135,1.0012884140014648
184320,-2.8912450681089104e-05,0.0027648,0.64972352,10,-0.043010438007728295,-0.0011849224704931268,0.0,-0.12813681525023027,0.0,0.9917056,-0.08463199961330597,2934,0.060324696756884774,-0.9670773126822437,-0.06387605575571514,62,0.2899497111373859,-0.11253473157854982,-0.00010526581632379917,-0.1133612576930785,27.6,0.0003938801108031637,-0.005417744281455978,-0.014604805197955243,25.41472,0.0,-7.246854209630914e-09,-126.99160135,0.01,-0.25457255322522837,-0.6911181918874079,0.0,-0.05058124942083232,-0.5,-0.4420529388346952,0.29000244140625,0.0003,-34.07176742553711,-2.4232804775238037,0.029871408,15.909197807312012,33465,0.2,-0.014060594281181693,30.218394565582276,1.0014922618865967
