time/iterations,reward_terms/fwd_speed,time/time_elapsed,curriculum/stance_ratio,reward_terms/upright,reward_terms/energy,reward_terms/stop,reward_terms/stance_time,curriculum/eff_scale,reward_terms/vz,time/total_timesteps,reward_terms/time,reward_terms/angmom,reward_terms/overrun,curriculum/ent_coef,reward_terms/height,reward_terms/foot_slip,curriculum/sprint_dist_m,reward_terms/hip_roll,reward_terms/lat_vel,reward_terms/assist_pen,reward_terms/stance,curriculum/pitch_armature,rollout/ep_rew_mean,rollout/ep_len_mean,reward_terms/alive,reward_terms/torque,reward_terms/motor_vel,reward_terms/coef_rate,reward_terms/clearance,reward_terms/ang_xy,reward_terms/action_rate,time/fps,reward_terms/phase_contact,reward_terms/air_time,reward_terms/residual,train/value_loss,train/clip_range,train/std,train/policy_gradient_loss,train/explained_variance,train/learning_rate,train/entropy_loss,train/approx_kl,train/n_updates,train/loss,train/clip_fraction
1,0.7119492023366578,9,0.65,-0.16119671050650422,0.0,0.0,-0.0005436187639134005,0.0,-0.15128017683970982,18432,-0.5,-0.09810493642448363,0.0,0.01,-0.042430123808563966,-0.7412523968860502,25.0,-0.03630336697661283,-6.862691478154956e-09,0.0,-0.053915409906072506,1.0,-135.81089316999999,37.2,0.0,0.0,0.0,-0.6348595553581265,0.04980124962601415,-0.04680941960674177,-0.08109353089489153,1998,-0.4298105524480336,0.0004513887332804087,-0.2612524764530697,,,,,,,,,,,
2,0.4238827337198236,17,0.64996928,-0.0825602475683736,-1.0914674703947979e-05,0.0,-0.0006287966858104079,0.0003072,-0.12836936633869586,36864,-0.5,-0.08535576371609396,0.0,0.01,-0.047106339225618854,-0.8025024049816972,25.04608,-0.03733344912429423,-5.379604657742191e-09,0.0,-0.03168487228343117,0.9990784,-131.31904274000001,32.43,0.0,-0.00014764147572507257,-2.5175522281525555e-06,-0.6924889027956521,0.04399061984610596,-0.03459668087929509,-0.09146136068331404,2122,-0.4602733345531262,0.00044487839719901484,-0.25654814206808874,3533.855126953125,0.2,1.0006940364837646,0.0008456354262307286,-6.755951404571533,0.0003,-34.065042686462405,0.0114755295,33433,746.5151977539062,0.10523681640625
3,0.33041930866838093,23,0.64993856,-0.060450413604412466,-2.2450057177660142e-05,0.0,-0.0024967411170817083,0.0006144,-0.11835780285339981,55296,-0.5,-0.08603165839509581,0.0,0.01,-0.05631783523139252,-0.8054109354701379,25.09216,-0.04181887004309257,-6.3014511953521395e-09,0.0,-0.01645934994701902,0.9981568,-131.25034206,32.52,0.0,-0.00029452676774282855,-5.262945852140265e-06,-0.7562893712280226,0.04474921292154998,-0.02651943445932051,-0.09676246620183274,2344,-0.4758857658732791,0.0003255207492556009,-0.25487216879247065,1057.4124938964844,0.2,1.0001418590545654,-0.003462392825167626,-6.556216716766357,0.0003,-34.05630531311035,0.0028862392,33437,208.28091430664062,0.004833984375
4,0.2947125561519661,29,0.64990784,-0.059147766021589034,-3.346221998304094e-05,0.0,-0.0038948520167549658,0.0009216,-0.1162800960923307,73728,-0.5,-0.08943927004380124,0.0,0.01,-0.058240735522187635,-0.7889516949036051,25.13824,-0.042842602308114805,-6.94804835989402e-09,0.0,-0.01608383504718797,0.9972352,-129.90338875,30.94,0.0,-0.00044028267111656674,-7.958768315542197e-06,-0.7876941460437699,0.04895286807095485,-0.025355938303550395,-0.09834390977985029,2472,-0.48712629640138566,0.00036349818563192256,-0.25418936984108775,629.698355102539,0.2,1.0001282691955566,-0.007490657432936132,-1.887206792831421,0.0003,-34.05586490631104,0.0055131866,33441,185.18653869628906,0.022802734375
5,0.24714655089107784,36,0.64987712,-0.04922125356921353,-4.5810281409852225e-05,0.0,-0.0044438954937504604,0.0012288,-0.11551015144666946,92160,-0.5,-0.08729329643564426,0.0,0.01,-0.05585301050871164,-0.7212497281430938,25.18432,-0.04680977067185052,-6.97938629309695e-09,0.0,-0.014798165052600978,0.9963136,-129.87008525999997,31.42,0.0,-0.0005907304003594228,-1.1038017493297374e-05,-0.8357036706475901,0.05142381060888782,-0.021603796043805263,-0.10301504611008705,2558,-0.47691245125932646,0.0005251735371227065,-0.2537672748010546,329.4582862854004,0.2,1.0001955032348633,-0.01101789081003517,-1.654266357421875,0.0003,-34.056311798095706,0.008201532,33445,69.46890258789062,0.04285888671875
6,0.25823933225443707,42,0.6498464,-0.05357975071450794,-5.8938223429407236e-05,0.0,-0.00511663736445674,0.001536,-0.11581250829382823,110592,-0.5,-0.09320272311754015,0.0,0.01,-0.05607532955970118,-0.7184645438606431,25.2304,-0.04694144614521571,-7.67206181641711e-09,0.0,-0.012895493146234683,0.995392,-127.82238825999998,29.38,0.0,-0.0007520484218216834,-1.4046078086501694e-05,-0.8559394620858662,0.052594336278506494,-0.02223977596243705,-0.10472175164698855,2617,-0.47324833968406055,0.0005262586022985892,-0.254460046490675,132.6884651184082,0.2,1.0003314018249512,-0.013702779391314835,-1.7908403873443604,0.0003,-34.05779590606689,0.012413109,33449,38.24736785888672,0.10091552734375
7,0.2518358127166956,48,0.64981568,-0.05097023645133784,-7.13688587557404e-05,0.0,-0.005110669742053788,0.0018432,-0.11661567265677972,129024,-0.5,-0.09288190903208544,0.0,0.01,-0.052384038429786825,-0.7043270905103791,25.27648,-0.0467410465443489,-7.879721017341668e-09,0.0,-0.015080333068373305,0.9944704,-127.99129457,29.35,0.0,-0.0008754892927507013,-1.7511427390662973e-05,-0.8757825929673666,0.05447442329738671,-0.020483146322292544,-0.10866803145200418,2660,-0.47652416054844654,0.00033094609130380885,-0.2536996590169953,65.27528514862061,0.2,1.000579595565796,-0.01949325215537101,-1.759260892868042,0.0003,-34.05990142822266,0.01678996,33453,18.391868591308594,0.14267578125
8,0.2214900698689806,54,0.64978496,-0.0438963702671943,-8.226615412437974e-05,0.0,-0.00547471110864232,0.0021504,-0.11302338921329325,147456,-0.5,-0.089376160349741,0.0,0.01,-0.050506495108013916,-0.6956508082892163,25.32256,-0.04516862546352907,-7.954502819695334e-09,0.0,-0.013084158423088715,0.9935488,-124.78986275999999,25.61,0.0,-0.0010049466527928927,-2.0269305357666644e-05,-0.8918502966463371,0.05258445994373344,-0.0190444439732288,-0.10918721862335837,2695,-0.47566591069873204,0.00016384537189474536,-0.2536223690649131,34.306628704071045,0.2,1.001009464263916,-0.022468728478997946,-2.5365042686462402,0.0003,-34.06446857452393,0.021664983,33457,10.453580856323242,0.19261474609375
9,0.23112015573097666,60,0.64975424,-0.050796742888592955,-9.472392863258037e-05,0.0,-0.0060411164562942255,0.0024576,-0.11067337163086295,165888,-0.5,-0.09761127176622561,0.0,0.01,-0.050283451061627946,-0.6759157993154604,25.36864,-0.04521597967917288,-7.845803427709655e-09,0.0,-0.011996166262996254,0.9926272,-126.72554706000001,27.53,0.0,-0.0011466411147625268,-2.350181609115353e-05,-0.9079497705098262,0.054797993555078445,-0.019046511918039168,-0.11058228592852895,2721,-0.47825472054047274,0.00025716136830548447,-0.25409875407745214,19.919837368859184,0.2,1.0012966394424438,-0.021278647356666625,-1.648383378982544,0.0003,-34.06951247321235,0.04159534,33461,7.149585247039795,0.2764621310763889
10,0.22063222425771786,67,0.64972352,-0.06525201494732523,-0.00010714094175996627,0.0,-0.01224770713209485,0.0027648,-0.11204182337595696,184320,-0.5,-0.09994583391439317,0.0,0.01,-0.051105756094310034,-0.6634093761622208,25.41472,-0.04368193799006401,-8.035499826655736e-09,0.0,-0.011871242184249809,0.9917056,-130.18539232,31.78,0.0,-0.0012974246211737458,-2.5995239748516735e-05,-0.9248130408152977,0.05694541682047763,-0.019982034046878136,-0.11015446881026596,2744,-0.47522456932748686,0.0005946179347423216,-0.2542894023530002,17.989382314682008,0.2,1.0018997192382812,-0.018886266299523412,-1.8857817649841309,0.0003,-34.075226593017575,0.04078458,33465,5.846746444702148,0.3292724609375
