time/iterations,reward_terms/residual,reward_terms/coef_rate,reward_terms/foot_slip,reward_terms/hip_roll,time/time_elapsed,reward_terms/stance_time,reward_terms/phase_contact,reward_terms/height,rollout/ep_len_mean,time/fps,time/total_timesteps,curriculum/eff_scale,curriculum/ent_coef,reward_terms/vz,reward_terms/overrun,reward_terms/lat_vel,reward_terms/stance,reward_terms/ang_xy,reward_terms/air_time,reward_terms/energy,reward_terms/alive,rollout/ep_rew_mean,reward_terms/clearance,reward_terms/action_rate,curriculum/stance_ratio,reward_terms/stop,reward_terms/torque,reward_terms/upright,reward_terms/motor_vel,reward_terms/fwd_speed,reward_terms/time,train/std,train/clip_range,train/entropy_loss,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/loss,train/n_updates,train/clip_fraction,train/value_loss,train/explained_variance
1,-0.49890819324766056,-0.7317571984938414,-0.8576589144039307,-0.06682749777818334,17,0.0,-0.6854269837241205,-0.06558360096654038,20.34,1138,20480,0.0,0.01,-0.4788934551550462,0.0,-1.4314086053996806e-08,-0.21339572603351814,-0.596242146559504,0.0,0.0,0.5,-118.88051420000002,0.008120840953277947,-0.05012336015194725,0.65,0.0,0.0,-1.254505056969142,0.0,-1.2341716258159756,0.0,,,,,,,,,,,
2,-0.49822621917084764,-0.7213783661476866,-0.8291022625880936,-0.07028557112944668,36,0.0,-0.6769507067812695,-0.06142989299230376,19.78,1111,40960,0.00034133333333333335,0.01,-0.49612054618512025,0.0,-1.2371343562318446e-08,-0.23993180326569927,-0.6018236088409348,0.0,-5.379408564456396e-06,0.5,-118.25990077,0.0076117264719204394,-0.049236850930450375,0.6499214933333334,0.0,-7.160489506504401e-05,-1.2499962476805195,-1.6764555107589114e-06,-1.2644754985374027,0.0,1.0017319917678833,0.2,-34.08020420074463,0.0002999317333333333,0.01310398819623515,0.026237223,526.505615234375,33243,0.2456298828125,6411.025244140625,-3.594973087310791
3,-0.4980722629334867,-0.7164330764309834,-0.8226247021514173,-0.0704070163164301,55,0.0,-0.6757355665595935,-0.060393042403319705,20.12,1105,61440,0.0006826666666666667,0.01,-0.5023224716278339,0.0,-1.1433441186435574e-08,-0.2526628866507724,-0.6055878434247657,0.0,-1.0758883956471498e-05,0.5,-118.66477101999999,0.008077649492945201,-0.04975798245226108,0.6498429866666667,0.0,-0.00013700026164137165,-1.2476197965622415,-3.409286117155591e-06,-1.2722525448813322,0.0,1.00006103515625,0.2,-34.05321979522705,0.00029986346666666667,-0.0025430411333218217,0.0078070657,12.20089340209961,33247,0.0439453125,663.9627653121948,-19.713747024536133
4,-0.49764054663381546,-0.7084216977398945,-0.781757088235477,-0.07686354982868934,74,0.0,-0.6773326289461157,-0.05680190413994908,19.04,1103,81920,0.001024,0.01,-0.5233942741856652,0.0,-1.079657769173867e-08,-0.2932352705412113,-0.634045180011723,0.0,-1.601655703949978e-05,0.5,-117.49261277,0.010290344630181024,-0.04881738574201154,0.64976448,0.0,-0.0001803888142212916,-1.2403264523521007,-5.2104883059120696e-06,-1.2850231667026546,0.0,1.0004323720932007,0.2,-34.05468864440918,0.00029979519999999996,0.003407319274265319,0.035030298,1.0520304441452026,33251,0.21119384765625,24.22502374649048,-1.999889850616455
5,-0.4968726805400019,-0.6910272345764237,-0.740349660761473,-0.08220102637958229,92,0.0,-0.6765380860913431,-0.05357617011837361,18.63,1110,102400,0.0013653333333333334,0.01,-0.5405681688967913,0.0,-1.0633636640484985e-08,-0.3350978758126632,-0.6601459089231962,0.0,-2.122888008283164e-05,0.5,-117.01715609000001,0.012963629409735642,-0.04811867089342968,0.6496859733333333,0.0,-0.00021600309718416513,-1.2337144637805486,-7.049043936642263e-06,-1.290774479229489,0.0,0.9999465942382812,0.2,-34.052303314208984,0.0002997269333333333,0.041232449817471206,0.051871866,3.7574849128723145,33252,0.3167724609375,7.879309415817261,-2.381765127182007
6,-0.4961050494353255,-0.677861456035592,-0.6962989331485275,-0.08743307017609056,109,0.0,-0.6743925555456843,-0.05139080996943313,18.37,1117,122880,0.0017066666666666667,0.01,-0.5537694545943701,0.0,-1.0809787677112656e-08,-0.37223635866511084,-0.6846289445276301,0.0,-2.6031944143288482e-05,0.5,-116.68380169000002,0.01607689787946352,-0.047349827067427075,0.6496074666666667,0.0,-0.00025049209650491327,-1.2310345707710837,-8.811695348466304e-06,-1.2980680348551563,0.0,0.9999483227729797,0.2,-34.052364349365234,0.00029965866666666665,0.02662570064421743,0.035819236,3.6302499771118164,33253,0.2730712890625,8.003870487213135,-1.9514811038970947
7,-0.4959704828499897,-0.6644201315528481,-0.6747097288333656,-0.08732104636591931,128,0.0,-0.6752736722030839,-0.0502913740502437,17.86,1118,143360,0.002048,0.01,-0.5574877350791537,0.0,-1.1322157101767797e-08,-0.37067168970794734,-0.6941463512239262,0.0,-3.107600220346335e-05,0.5,-116.23942208,0.016903921275407085,-0.04678502721879641,0.64952896,0.0,-0.00029352397011383406,-1.2299162192375348,-1.0582826219834505e-05,-1.2978049701834373,0.0,0.9999473094940186,0.2,-34.05240249633789,0.0002995904,0.01890592835843563,0.024220593,3.286435604095459,33254,0.229736328125,7.575003385543823,-1.6807067394256592
8,-0.49546846967657787,-0.6737094349629109,-0.6908188778946067,-0.0835304711533913,146,0.0,-0.6729010797325111,-0.050825175725987326,18.02,1117,163840,0.002389333333333333,0.01,-0.5597135422780841,0.0,-1.0637528384240842e-08,-0.34158432461855665,-0.6900614113114114,0.0,-3.6634165190841504e-05,0.5,-116.40380503,0.01584382845925203,-0.04800094680655972,0.6494504533333334,0.0,-0.00034015804077236505,-1.230281478283954,-1.2450505927836381e-05,-1.3026299183295147,0.0,1.000093698501587,0.2,-34.054176330566406,0.00029952213333333334,0.02375031274277717,0.02652546,1.447733759880066,33255,0.27197265625,5.528626322746277,-1.653289794921875
9,-0.49550393558774725,-0.6791985952638837,-0.682594122340798,-0.07961335676377315,165,0.0,-0.6687879162281699,-0.05132803354754438,18.37,1114,184320,0.002730666666666667,0.01,-0.5544713113349513,0.0,-1.0555120794357797e-08,-0.3170394101476014,-0.680359524580154,0.0,-4.232466363861741e-05,0.5,-116.71114358000001,0.014728033510785004,-0.048172360002873935,0.6493719466666666,0.0,-0.00039874462193523197,-1.2310815193032378,-1.4243303262480309e-05,-1.2999754987381016,0.0,0.9999578595161438,0.2,-34.0526237487793,0.00029945386666666664,0.027419812977313995,0.030391475,1.5669200420379639,33256,0.2071533203125,4.311214447021484,-3.297067642211914
10,-0.4946498819903997,-0.6727071166488148,-0.6954594541651318,-0.07498377573254886,183,0.0,-0.6684860504471675,-0.05159726417241937,18.63,1114,204800,0.003072,0.01,-0.5535501207575512,0.0,-9.715454639154636e-09,-0.29324734813544606,-0.6742694501494921,0.0,-4.809860917211594e-05,0.5,-116.91259093999999,0.013413871428075933,-0.04904287406190138,0.64929344,0.0,-0.0004452686003818304,-1.2292331429098173,-1.6267050878678717e-05,-1.3010515569875958,0.0,0.9999544620513916,0.2,-34.0526237487793,0.0002993856,0.029613348306156695,0.03177036,1.3371455669403076,33257,0.2420654296875,3.82634437084198,-4.764250755310059
