time/time_elapsed,reward_terms/fwd_speed,reward_terms/motor_vel,rollout/ep_len_mean,reward_terms/vz,reward_terms/hip_roll,curriculum/ent_coef,reward_terms/phase_contact,reward_terms/torque,time/fps,reward_terms/stance_time,time/iterations,reward_terms/height,reward_terms/foot_slip,reward_terms/coef_rate,curriculum/eff_scale,reward_terms/air_time,curriculum/stance_ratio,curriculum/ctrl_drop_prob,reward_terms/action_rate,reward_terms/residual,reward_terms/clearance,reward_terms/assist_pen,reward_terms/angmom,rollout/ep_rew_mean,reward_terms/alive,time/total_timesteps,reward_terms/overrun,curriculum/ctrl_jitter_ms,reward_terms/ang_xy,reward_terms/stop,curriculum/sprint_dist_m,reward_terms/lat_vel,reward_terms/stance,reward_terms/energy,reward_terms/foot_ahead,reward_terms/upright,reward_terms/time,train/policy_gradient_loss,train/learning_rate,train/entropy_loss,train/n_updates,train/clip_range,train/clip_fraction,train/approx_kl,train/std,train/loss,train/explained_variance,train/value_loss
6,-0.6745820139138553,0.0,294.33962264150944,-0.1422834582590134,-0.14284937358589986,0.01,-0.5849641565473848,0.0,2984,-0.06683757370370182,1,-0.020928206570020674,-0.6466984804295032,-1.5366550934759342,0.0,7.812487052029205e-05,0.65,0.0,-0.12427416807672126,-0.1042684572400146,0.022217561544624433,0.0,-0.12281918421618578,-173.56001899999998,0.0,18432,0.0,0.0,-0.2737307828045644,0.0,25.0,-1.6138668883082762e-08,-1.4020555834316848e-07,0.0,0.0,-0.3823732852350054,-0.5,,,,,,,,,,,
12,-0.2507804542944157,-4.533978716355276e-07,280.69,-0.13638751531784804,-0.1473258183269034,0.01,-0.5850966866774224,-3.520645886187755e-05,3019,-0.026603938752992287,2,-0.026243971590538692,-0.7503754770515482,-1.4914486185647648,7.68e-05,0.0001535370732502391,0.649982336,0.0,-0.13407829563208898,-0.10070392458016925,0.023891630035513593,0.0,-0.12704303239659076,-169.96549941000004,0.0,36864,0.0,0.0,-0.35314467504522845,0.0,25.01152,-2.159883978185e-08,-3.9741024608562954e-05,-3.288323742356165e-06,0.0,-0.4486057237834168,-0.5,-0.003839375777170062,0.00029995392,-34.06625633239746,7376,0.2,0.11773681640625,0.009882423,1.0009595155715942,33.65837860107422,0.624838650226593,177.16646881103514
16,-0.21307540547677858,-8.163907517311526e-07,256.93,-0.1415119768898238,-0.14743047036738519,0.01,-0.5797086438609885,-6.803853251882141e-05,3370,-0.02796366120714487,3,-0.03348364655328084,-0.7573441505763779,-1.4285859477662204,0.0001536,6.347639524998765e-05,0.6499646720000001,0.0,-0.1332685208505143,-0.1011819390195713,0.02500546591143689,0.0,-0.12687479519550193,-163.71837896,0.0,55296,0.0,0.0,-0.3128848730186558,0.0,25.02304,-2.0891944135711266e-08,-0.0021306817450209696,-6.138660573578215e-06,0.0,-0.4878551238098932,-0.5,-0.010131080774590373,0.00029990784,-34.057887649536134,7380,0.2,0.06024169921875,0.0077005685,1.0005152225494385,44.60157012939453,0.8588828444480896,141.78323097229003
20,-0.3012797234289548,-1.2501754152714524e-06,260.1,-0.14793809917445785,-0.17045539338899474,0.01,-0.561116967279368,-0.00010021241956032772,3580,-0.027568423604760837,4,-0.031312971161850035,-0.7372649475323448,-1.4256026484470758,0.0002304,8.734793906720976e-05,0.649947008,0.0,-0.13080600537359863,-0.10159279728566482,0.026473805215747884,0.0,-0.13584827467216978,-164.23260620999997,0.0,73728,0.0,0.0,-0.33355469090931894,0.0,25.03456,-2.0945669954585073e-08,-0.0005558784641621833,-9.332565825083081e-06,0.0,-0.4278196225479738,-0.5,-0.010296818614006043,0.00029986176,-34.06053981781006,7384,0.2,0.0685302734375,0.008682316,1.0005971193313599,30.41341781616211,0.900336503982544,104.95206203460694
24,-0.5644606249082131,-1.6149744768742747e-06,263.77,-0.1497188590816954,-0.15930190632510702,0.01,-0.5606069349687599,-0.00012857416074228478,3722,-0.032699022923932515,5,-0.030943063683289942,-0.6946946764542232,-1.4228533505262688,0.0003072,0.0001350909135200911,0.649929344,0.0,-0.12915332106703334,-0.10209451206115269,0.025382116330648276,0.0,-0.12172841544878595,-165.18978557999998,0.0,92160,0.0,0.0,-0.31217458502427153,0.0,25.04608,-1.9363677877901488e-08,-0.00018717482463116817,-1.1809414239852621e-05,0.0,-0.44090373592909554,-0.5,-0.012133076635655016,0.00029981568,-34.05983409881592,7388,0.2,0.0918212890625,0.009864515,1.0006036758422852,29.582048416137695,0.9053330421447754,103.00216636657714
28,-0.26571804410994054,-2.007369761390915e-06,279.77,-0.14130678171216893,-0.18042639197368793,0.01,-0.5541652035987087,-0.00015570068238777627,3820,-0.057225633858858295,6,-0.02900728748547697,-0.6556926337968263,-1.391205300295676,0.000384,0.00017252576718520786,0.64991168,0.0,-0.1296688315453173,-0.10264983750377402,0.029535845128585463,0.0,-0.12784379790168865,-168.81567145999998,0.0,110592,0.0,0.0,-0.301174433701802,0.0,25.0576,-1.9157451022694242e-08,-0.0011201229872566823,-1.4874812863299298e-05,0.0,-0.3980486039350251,-0.5,-0.010070377064403146,0.00029976959999999996,-34.06169490814209,7392,0.2,0.094873046875,0.009055303,1.0007421970367432,23.79814910888672,0.9178121089935303,80.09082126617432
33,-0.5072374838096275,-2.2183886207616504e-06,280.59,-0.15463137477223252,-0.18662934399244233,0.01,-0.5578721545876609,-0.00017637210955602595,3895,-0.03819462290751593,7,-0.02837567523243855,-0.6546603812888235,-1.4089010304914238,0.0004608,0.00013997372136347822,0.6498940160000001,0.0,-0.12778935854302775,-0.10299208980609958,0.027191848643123104,0.0,-0.1278715980848429,-169.4016602,0.0,129024,0.0,0.0,-0.2821287929915217,0.0,25.06912,-1.8659898555283957e-08,-0.0006085055112401224,-1.6752041094469134e-05,0.0,-0.4499560032718199,-0.5,-0.012011912104208022,0.00029972352,-34.06171474456787,7396,0.2,0.09615478515625,0.009667641,1.0006873607635498,19.388200759887695,0.9127825498580933,70.25912017822266
37,-0.4846434938097921,-2.8123189293586843e-06,279.46,-0.16454119160106653,-0.20302177138938016,0.01,-0.5381233177279405,-0.00020664321596453942,3951,-0.05272680063272775,8,-0.0298515245398616,-0.6631716528020495,-1.3673600590451407,0.0005376,0.0002473954098402626,0.649876352,0.0,-0.1274305359662507,-0.10277374578483674,0.031213113739065927,0.0,-0.14173502213978303,-169.05247575,0.0,147456,0.0,0.0,-0.3070105296440018,0.0,25.08064,-1.8560930829646684e-08,-0.0022672455637454047,-2.0536092860610177e-05,0.0,-0.389302752643671,-0.5,-0.006857999693602323,0.00029967744,-34.0629602432251,7400,0.2,0.1699951171875,0.01239633,1.0008560419082642,16.601104736328125,0.918099045753479,59.15906944274902
41,-0.6692611987568498,-3.104350786227128e-06,270.67,-0.15147831558299477,-0.18606192016708661,0.01,-0.5309298497423349,-0.00023084378988336528,4000,-0.04414214665141319,9,-0.026788414197245744,-0.6469869356907888,-1.3611505106167148,0.0006144,0.00042534659668389294,0.649858688,0.0,-0.1302806764222536,-0.1021661396257864,0.027518941479268626,0.0,-0.13407398999319353,-167.18329402,0.0,165888,0.0,0.0,-0.297794349750629,0.0,25.09216,-1.8652051646515526e-08,-0.0034176029483920112,-2.2703887309634136e-05,0.0,-0.4225739234757426,-0.5,-0.01250694285845384,0.00029963136,-34.06487140655518,7404,0.2,0.140087890625,0.012443091,1.0009829998016357,14.628499984741211,0.918429434299469,46.998017978668216
45,-0.7521631613101774,-3.3648595473110145e-06,284.32,-0.15898049843596002,-0.17903231757306612,0.01,-0.5616482201414664,-0.0002539114831154676,4039,-0.05134034069326137,10,-0.026865550107364976,-0.6495668316005255,-1.4162005364734118,0.0006912,0.00020019499222851463,0.649841024,0.0,-0.12750597627260643,-0.10328481797952399,0.02864969862073039,0.0,-0.1447433342138288,-170.69067982000004,0.0,184320,0.0,0.0,-0.28627390966306393,0.0,25.10368,-1.66488010431199e-08,-0.007772454968686268,-2.504668074386438e-05,0.0,-0.36430206485478495,-0.5,-0.013010452676098794,0.00029958527999999996,-34.064932632446286,7408,0.2,0.11744384765625,0.011164574,1.000957727432251,11.089925765991211,0.9239158034324646,37.597933006286624
