time/iterations,reward_terms/vz,reward_terms/assist_pen,curriculum/ctrl_jitter_ms,reward_terms/action_rate,time/time_elapsed,reward_terms/foot_slip,time/total_timesteps,reward_terms/fwd_speed,reward_terms/upright,reward_terms/step_rate,reward_terms/time,reward_terms/angmom,reward_terms/stop,reward_terms/alive,reward_terms/energy,reward_terms/ang_xy,curriculum/eff_scale,curriculum/ctrl_drop_prob,reward_terms/height,rollout/ep_len_mean,reward_terms/clearance,reward_terms/air_time,reward_terms/hip_roll,reward_terms/stance_time,reward_terms/foot_ahead,reward_terms/overrun,curriculum/sprint_dist_m,reward_terms/stance,reward_terms/residual,reward_terms/coef_rate,curriculum/ent_coef,reward_terms/torque,reward_terms/lat_vel,reward_terms/phase_contact,time/fps,rollout/ep_rew_mean,curriculum/stance_ratio,reward_terms/motor_vel,train/clip_range,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/loss,train/explained_variance,train/std,train/entropy_loss,train/value_loss,train/clip_fraction,train/n_updates
1,-0.2563821509131503,0.0,0.0,-0.16116171503180968,4,-0.39709651660965206,18432,0.00029654226228152875,-0.8507746127686251,0.0,-0.5,-0.06844774651452097,0.0,0.0,0.0,-0.4407855696679101,0.0,0.0,-0.020308497655193814,98.62,0.06756873198569285,0.00023600214950015975,-0.23732340832179222,-5.1133292597822016e-05,0.0,0.0,25.0,-0.5903398429195881,-0.09204135080005135,-1.1805952329748581,0.01,0.0,-0.2793060007185403,-0.41323171071756726,4318,-124.63646793,0.65,0.0,,,,,,,,,,,
2,-0.3082203893863926,0.0,0.0,-0.16308851776205482,8,-0.38591946591761084,36864,-0.015979414101187316,-1.013269461328227,0.0,-0.5,-0.0719172421100806,0.0,0.0,-2.6206615825938314e-06,-0.4070058628153281,7.68e-05,0.0,-0.02632474985722209,114.73,0.05435023295903739,0.00023762973594582744,-0.25245951075360534,0.0,0.0,0.0,25.01152,-0.8568235275496218,-0.09147346782070288,-1.2584239480859258,0.01,-2.4475924758582236e-05,-0.47500873505594554,-0.42165306407294467,4153,-128.65947249,0.649982336,-3.501955340009831e-07,0.2,0.011320354,-0.005735823791474104,0.00029999385599999997,425.3302307128906,-0.15522193908691406,1.001320242881775,-34.072960662841794,2018.6854064941406,0.10069580078125,24486
3,-0.29916310671880486,0.0,0.0,-0.1611259213572342,13,-0.43466871829147935,55296,-0.02136722461271574,-0.9887931396086711,0.0,-0.5,-0.06428695898556286,0.0,0.0,-5.520402001172696e-06,-0.3927940900694246,0.0001536,0.0,-0.027330323284745023,117.8,0.04290287787888573,0.00019476954670002064,-0.21326453667937645,0.0,0.0,0.0,25.02304,-0.742233342982422,-0.0920927152248005,-1.2383700818729015,0.01,-5.080891467805781e-05,-0.4519911582591678,-0.4365789894324133,4237,-129.42220416,0.6499646720000001,-7.429464553488515e-07,0.2,0.012279472,-0.00799395926296711,0.000299987712,199.4984130859375,-0.16132616996765137,1.0006465911865234,-34.06044578552246,829.1967910766601,0.0943359375,24490
4,-0.2855914891526241,0.0,0.0,-0.15915761602479606,17,-0.4631213739217334,73728,-0.01704461791200111,-0.9733361851511445,0.0,-0.5,-0.06390756346559907,0.0,0.0,-8.880513478435535e-06,-0.3703475955208157,0.0002304,0.0,-0.029743256174200323,123.57,0.03700522025963135,0.00015082429551209012,-0.2070392060542988,0.0,0.0,0.0,25.03456,-0.7133396343136427,-0.09317151995332387,-1.2232818605907665,0.01,-7.8140083190074e-05,-0.49738462791117893,-0.4292300818069401,4275,-130.87810247,0.649947008,-1.2493296852155303e-06,0.2,0.021235768,-0.006551801704335958,0.000299981568,92.6990966796875,0.3879278898239136,1.000861644744873,-34.062863159179685,302.99127731323244,0.17723388671875,24494
5,-0.29397272312877404,0.0,0.0,-0.15885891984184644,21,-0.4898131845639363,92160,-0.055631081670796806,-0.9515518942956616,0.0,-0.5,-0.06300802633721254,0.0,0.0,-1.2626731760688435e-05,-0.363750357320939,0.0003072,0.0,-0.03552469345452795,133.32,0.034236709998759066,0.00010145377018488944,-0.19585390594417693,-1.3427488738670945e-05,0.0,0.0,25.04608,-0.6466168223633483,-0.0940618622517796,-1.1799473671059604,0.01,-0.0001094921843335322,-0.5253792753390598,-0.4063236179398801,4299,-133.31319323000002,0.649929344,-1.8145381013422794e-06,0.2,0.026174491,-0.00782952767331153,0.000299975424,56.42356491088867,0.7171717882156372,1.0013608932495117,-34.0664722442627,189.69351043701172,0.24608154296875,24498
6,-0.31496748680075837,0.0,0.0,-0.1617580253911603,25,-0.5325410104419193,110592,-0.10025650421174775,-0.9233329191135515,0.0,-0.5,-0.05874193278272076,0.0,0.0,-1.6844472567073533e-05,-0.3421064681596305,0.000384,0.0,-0.04289982451983258,142.94,0.03306275214624931,0.00018283395911566913,-0.1958675220995975,-2.848201095023089e-06,0.0,0.0,25.0576,-0.6766144017487815,-0.0957369766919418,-1.2088027577593445,0.01,-0.0001353508353626804,-0.6084517611744154,-0.40479911022036696,4319,-135.71590222,0.64991168,-2.5485023965151024e-06,0.2,0.03744772,-0.000320021161123326,0.00029996928,49.87187957763672,0.7929252982139587,1.0021166801452637,-34.07715586612099,147.87055527536492,0.34160413240131576,24502
7,-0.3237986255886407,0.0,0.0,-0.16396514766627698,29,-0.5545740407205159,129024,-0.12923051266337984,-0.90837933229798,0.0,-0.5,-0.04818433218945602,0.0,0.0,-2.1281501481939845e-05,-0.32454996048845786,0.0004608,0.0,-0.047604849969694,158.61,0.03189438683840041,9.548592626945012e-05,-0.18885395962107554,0.0,0.0,0.0,25.06912,-0.6148513682870527,-0.09644408222759968,-1.2050915201113324,0.01,-0.0001664609863931152,-0.6703108051103167,-0.400232212692132,4349,-139.63209472,0.6498940160000001,-3.2468026323714297e-06,0.2,0.028793054,0.025646633584983647,0.000299963136,121.88701629638672,0.7830682396888733,1.000004768371582,-34.05308151245117,232.69810485839844,0.260986328125,24503
8,-0.34270552588846226,0.0,0.0,-0.16866051647604188,33,-0.5619599587694984,147456,-0.1708958871253664,-0.8888054228610133,0.0,-0.5,-0.04681754308101513,0.0,0.0,-2.71931976397192e-05,-0.3232242999553814,0.0005376,0.0,-0.05219886900443783,168.18,0.036757659488346285,0.0001784936854771028,-0.19280440111953348,-6.00851328474366e-05,0.0,0.0,25.08064,-0.6890433242490478,-0.09691469624953929,-1.206413212535181,0.01,-0.00020343689761772194,-0.710859539237283,-0.38052231186464386,4370,-142.02474653,0.649876352,-4.308391297502982e-06,0.2,0.055975556,0.0343749257735908,0.000299956992,115.1535873413086,0.7432690858840942,1.000091552734375,-34.05399831136068,230.26323445638022,0.3778483072916667,24504
9,-0.29489062560143875,0.0,0.0,-0.1704839313146459,37,-0.5859193875512125,165888,-0.150552889746506,-0.8540872988715128,0.0,-0.5,-0.05590449707442232,0.0,0.0,-3.0829938156859956e-05,-0.3196728601223711,0.0006144,0.0,-0.04289269625833307,168.01,0.03346789002861595,0.00012369765317998827,-0.16964438185604233,-8.124374693983959e-05,0.0,0.0,25.09216,-0.5375429034705895,-0.09660312853248483,-1.1951932240080865,0.01,-0.00023710563549747307,-0.615533952272974,-0.39003939555064315,4385,-141.97572552000003,0.649858688,-4.837801161491534e-06,0.2,0.022309685,0.014743444509804249,0.00029995084799999997,107.05508422851562,0.6740153431892395,1.0000433921813965,-34.05319595336914,239.2636260986328,0.24267578125,24505
10,-0.3483180839233738,0.0,0.0,-0.17364466693058134,42,-0.5905987185210024,184320,-0.18412885336845722,-0.8704654266099362,0.0,-0.5,-0.04954665222467767,0.0,0.0,-3.790423032079997e-05,-0.32010498422152556,0.0006912,0.0,-0.0542409374588438,177.84,0.038453143132540696,0.00017035558509329954,-0.1850822555751538,-2.31931044254452e-05,0.0,0.0,25.10368,-0.637589793887734,-0.09778173040915224,-1.1917617036787698,0.01,-0.000274137772656914,-0.7270848164496307,-0.3601042879237658,4388,-144.43506127,0.649841024,-6.195579423312167e-06,0.2,0.034371268,-0.015001885569654405,0.00029994470399999997,50.839622497558594,0.657034695148468,1.00236177444458,-34.07581691741943,144.98462600708007,0.3125,24509
11,-0.33762856372553096,0.0,0.0,-0.1767219910396997,46,-0.6142761975831532,202752,-0.24733493000865645,-0.825955196730709,0.0,-0.5,-0.05330906038704547,0.0,0.0,-4.2578197894990025e-05,-0.3237403665196819,0.000768,0.0,-0.055683330816559885,184.45,0.03811630655877782,0.00012966552296549908,-0.1657810241361585,-6.388292402132518e-05,0.0,0.0,25.1152,-0.45983083149520926,-0.09807492335713541,-1.1714318044341805,0.01,-0.0003097853859979253,-0.6876604651382,-0.35028363860315054,4389,-146.09512218999998,0.6498233600000001,-6.982219261964678e-06,0.2,0.043692537,-0.007525197512127067,0.00029993856,36.683807373046875,0.7015026211738586,1.0029618740081787,-34.08708331459447,98.97741217362254,0.37374074835526316,24513
12,-0.3251352652966993,0.0,0.0,-0.17513162634512267,50,-0.65184333512293,221184,-0.21473355084325668,-0.8038913423106471,0.0,-0.5,-0.05319377799091536,0.0,0.0,-4.977950652742089e-05,-0.3315487450326178,0.0008448,0.0,-0.053596868850652235,190.57,0.036925376821746056,0.00011176191037520766,-0.1655984415786039,-1.4376910662071572e-05,0.0,0.0,25.12672,-0.4831983537135499,-0.09861910509410793,-1.1521585908223415,0.01,-0.0003486578306036168,-0.6894416258496473,-0.35095597944713686,4394,-147.62455299,0.649805696,-8.527319217448037e-06,0.2,0.04728812,-0.007892552708439967,0.000299932416,22.63142967224121,0.789711594581604,1.0029444694519043,-34.08869530172909,69.47303570018096,0.36233340992647056,24517
13,-0.31622780401783934,0.0,0.0,-0.1728425070705325,54,-0.6457072476178843,239616,-0.2586069389318745,-0.7326303554654164,0.0,-0.5,-0.054783451884586394,0.0,0.0,-5.561069373383527e-05,-0.3290646253218861,0.0009216,0.0,-0.047865284440716034,184.44,0.039195248879198556,0.00013509089411753748,-0.15598196290273014,-3.214477651959492e-05,0.0,0.0,25.13824,-0.3689295981202582,-0.09847283185936902,-1.144679131492026,0.01,-0.00039386734181488434,-0.6588697673558955,-0.34869406377854584,4397,-146.08360285,0.649788032,-9.427368535825898e-06,0.2,0.055043027,-0.008094123360933736,0.000299926272,17.8801212310791,0.8234455585479736,1.002685308456421,-34.084861516952515,55.8287398815155,0.3507232666015625,24521
14,-0.31972734431202166,0.0,0.0,-0.17337662202322215,58,-0.6578548314102513,258048,-0.23313856197316932,-0.7743406936195867,0.0,-0.5,-0.05694212235307916,0.0,0.0,-6.109639741130367e-05,-0.3324276307513011,0.0009984,0.0,-0.051291978670453965,194.4,0.03589362206588185,9.223067900165915e-05,-0.1587945937202095,-0.0002444103398981194,0.0,0.0,25.14976,-0.44127552833949735,-0.0985170835851181,-1.1213248845826302,0.01,-0.00043223820194713674,-0.6542675077541961,-0.33886419904222287,4399,-148.57507115,0.649770368,-1.0515436710696338e-05,0.2,0.044559572,-0.0030400532369430247,0.000299920128,17.1807804107666,0.8035672307014465,1.002413272857666,-34.07838880098783,46.8337820493258,0.32059420072115385,24524
