time/iterations,reward_terms/time,time/fps,curriculum/eff_scale,reward_terms/height,reward_terms/vz,reward_terms/hip_roll,curriculum/ctrl_drop_prob,reward_terms/step_rate,reward_terms/coef_rate,reward_terms/stance,reward_terms/fwd_speed,curriculum/ent_coef,time/time_elapsed,reward_terms/residual_rate,reward_terms/upright,reward_terms/duty_sym,time/total_timesteps,reward_terms/stop,reward_terms/assist_pen,rollout/ep_len_mean,reward_terms/foot_ahead,reward_terms/clearance,reward_terms/overrun,reward_terms/phase_contact,curriculum/ctrl_jitter_ms,reward_terms/stance_time,reward_terms/motor_vel,rollout/ep_rew_mean,curriculum/stance_ratio,reward_terms/alive,reward_terms/action_rate,reward_terms/residual,reward_terms/energy,reward_terms/angmom,reward_terms/foot_slip,reward_terms/ang_xy,reward_terms/lat_vel,reward_terms/air_time,reward_terms/torque,curriculum/sprint_dist_m,train/learning_rate,train/value_loss,train/std,train/clip_range,train/n_updates,train/explained_variance,train/clip_fraction,train/loss,train/entropy_loss,train/approx_kl,train/policy_gradient_loss
1,-0.5,4231,0.0,-0.040985622697263885,-0.25581946121869187,-0.21861280673424133,0.0,-0.011436631944444265,-0.623033629002516,-0.4935633840620276,-0.22706145022326737,0.01,4,0.0,-0.5388641813684504,-0.00901191120839447,18432,0.0,0.0,112.29,0.0,0.07588448146159775,0.0,-0.36482917120140335,0.0,-0.00036132541329910356,0.0,-127.89852681999999,0.65,0.0,-0.053064658221297495,-0.10266540546823318,0.0,-0.22355721674586862,-0.5750345521919394,-0.533166207078252,-0.2867947630018165,0.00041558101010094915,0.0,25.0,,,,,,,,,,,
2,-0.5,4082,7.68e-05,-0.044830956180384886,-0.2698087071018472,-0.1490857664099009,0.0,-0.012630208333333092,-0.7845129048083702,-0.41555285536837866,-0.8204810688805602,0.01,9,0.0,-0.5006672557857068,-0.0019984656761024965,36864,0.0,0.0,126.52,0.0,0.06832963136914764,0.0,-0.38099102325289286,0.0,-8.137831981811258e-06,-7.078914257706789e-07,-131.48150227999997,0.649982336,0.0,-0.06117689762905836,-0.10259429254408625,-4.308187548937498e-06,-0.24394293214017151,-0.6002411900690637,-0.47223420918454845,-0.2618752265219234,0.00017035555598946908,-3.802424212535713e-05,25.01152,0.00029997952,11.432541346549987,1.0005195140838623,0.2,169914,0.8297064304351807,0.2275390625,4.248978137969971,-34.05864086151123,0.02363186,-0.0059021631954237815
3,-0.5,4159,0.0001536,-0.040431986995785874,-0.2536567483148651,-0.1473680689493263,0.0,-0.01249999999999976,-0.8318643036671267,-0.3846600065422302,-0.8519843396299704,0.01,13,0.0,-0.4693639516557323,-0.0008889648667448133,55296,0.0,0.0,129.18,0.0,0.06886127151557132,0.0,-0.3836519760669413,0.0,-8.137625021239122e-07,-1.5597703352123433e-06,-132.15341913000003,0.6499646720000001,0.0,-0.06810966047464018,-0.10403457408213551,-9.268163481413375e-06,-0.20828326792750118,-0.5959358199738769,-0.5095264819392162,-0.2759736108757402,8.300762985729509e-05,-7.578945045970831e-05,25.02304,0.00029995904,5.9466958999633786,1.000252604484558,0.2,169918,-0.16849076747894287,0.1739013671875,1.671002984046936,-34.05448608398437,0.02040596,-0.017979549383744596
4,-0.5,4197,0.0002304,-0.03899083477919046,-0.24925446315552602,-0.14963059618378202,0.0,-0.012923177083333078,-0.8683451708368726,-0.36604306674815384,-0.8045337986596425,0.01,17,0.0,-0.4250860772328628,-0.0004465730060876881,73728,0.0,0.0,137.56,0.0,0.07006484854452301,0.0,-0.39329493313328956,0.0,-5.424953997135162e-07,-2.4703248925729716e-06,-134.2393939,0.649947008,0.0,-0.07352697390094139,-0.10445114089867558,-1.4489047876561552e-05,-0.1665132448593933,-0.5640051702188214,-0.49179727804651807,-0.28299739193943635,0.00014322885544970632,-0.00011542664353684556,25.03456,0.00029993856,6.456869053840637,1.0003284215927124,0.2,169922,-0.40417051315307617,0.195947265625,1.8558324575424194,-34.056370162963866,0.020871857,-0.023273856402374803
5,-0.5,4230,0.0003072,-0.04392810367560372,-0.2623971864220939,-0.17354358051730223,0.0,-0.01241319444444422,-0.8429954764113857,-0.4685099191831175,-0.7801340113346534,0.01,21,0.0,-0.4875038962224391,-0.0037128150652599714,92160,0.0,0.0,149.38,0.0,0.07446801670533736,0.0,-0.3769337508292831,0.0,-0.0005603006235711897,-3.4360021311648513e-06,-137.20320538,0.649929344,0.0,-0.07754343452767601,-0.10546014488735744,-1.9794091760496744e-05,-0.13338118514820052,-0.5386497331104887,-0.5294391232913264,-0.36195643567804653,0.00014648412535380985,-0.00015738598912162392,25.04608,0.00029991808,7.344751000404358,1.0004454851150513,0.2,169926,-0.987187385559082,0.21629638671875,1.9139409065246582,-34.0582836151123,0.028184999,-0.029999297601170836
6,-0.5,4248,0.000384,-0.04699983158458603,-0.28574630436889936,-0.15554112777147938,0.0,-0.01340060763888861,-0.8738297041649333,-0.4699183175550362,-0.6465915803107938,0.01,26,0.0,-0.5574197307861974,-0.002108644393530864,110592,0.0,0.0,137.28,0.0,0.07217934924313668,0.0,-0.368124220597047,0.0,0.0,-4.522117299603069e-06,-134.18556034,0.64991168,0.0,-0.08211851704820387,-0.10538386763200461,-2.5438048022554123e-05,-0.13784896929627263,-0.5712384577420718,-0.530405163831422,-0.48678588630346264,0.0002544483836067633,-0.00019609277185159493,25.0576,0.0002998976,5.8135977506637575,1.0006957054138184,0.2,169930,-1.0042004585266113,0.2415771484375,1.6672451496124268,-34.06139907836914,0.035635132,-0.03686753063229844
7,-0.5,4263,0.0004608,-0.041378497183980845,-0.2375186515551556,-0.13583489979292757,0.0,-0.012695312499999757,-0.8688645133943171,-0.33040979620818645,-0.6775628596650245,0.01,30,0.0,-0.46828891853730364,-0.0011329525579872708,129024,0.0,0.0,124.83,0.0,0.07224136686186051,0.0,-0.3548103996745644,0.0,0.0,-5.490785341426956e-06,-131.07966176999997,0.6498940160000001,0.0,-0.0793136136152881,-0.10577970979789597,-3.1256763559154855e-05,-0.13833214348873463,-0.5706931173493606,-0.531932800947639,-0.36266847458420093,0.00023762988146497973,-0.00023389900423250704,25.06912,0.00029987712,5.913237202167511,1.0007976293563843,0.2,169934,-2.443246841430664,0.2272216796875,1.6335581541061401,-34.06220531463623,0.03485809,-0.035502890846692024
8,-0.5,4271,0.0005376,-0.03089692976039508,-0.20746307352895843,-0.10385294216120206,0.0,-0.013541666666666397,-0.8437766266829324,-0.221349263565961,-0.5733072237257254,0.01,34,0.0,-0.4248559344752728,-0.0003890274343523318,147456,0.0,0.0,125.79,0.0,0.06970832808498567,0.0,-0.34844562828920034,0.0,0.0,-6.4290021157656525e-06,-131.30360451,0.649876352,0.0,-0.07797529297889612,-0.10605458433604632,-3.687508087757502e-05,-0.14552647849513528,-0.6456760708183596,-0.5412999531105016,-0.30673746370390753,9.060310549102724e-05,-0.00027522985089461523,25.08064,0.00029985664,5.484104037284851,1.000976324081421,0.2,169938,-3.1456875801086426,0.24718017578125,1.4488286972045898,-34.06559886932373,0.039830875,-0.038835600588936356
9,-0.5,4279,0.0006144,-0.03205623709243713,-0.20735129833212965,-0.12295696492371509,0.0,-0.012999131944444187,-0.813439237381117,-0.2167114623625418,-0.5915638877590685,0.01,38,0.0,-0.4177826896513415,-6.421640144767699e-05,165888,0.0,0.0,120.91,0.0,0.07158233014577602,0.0,-0.3248579108833218,0.0,0.0,-7.1466371645342e-06,-130.06394039,0.649858688,0.0,-0.07513848585916139,-0.10627711479748975,-4.1103750251642234e-05,-0.15458571565681473,-0.61690271194653,-0.5312572082575352,-0.22531553470958698,0.00020562029547161527,-0.0003145560412898946,25.09216,0.00029983616,4.884368443489075,1.0011725425720215,0.2,169942,-4.975386619567871,0.26055908203125,1.4300470352172852,-34.067963409423825,0.04198373,-0.0414112985949032
10,-0.5,4285,0.0006912,-0.04035198092618837,-0.25325394438572735,-0.12896300956966894,0.0,-0.013248697916666396,-0.8104156073765412,-0.24648590841782955,-0.6621083604177801,0.01,43,0.0,-0.4669326087472386,-0.0010845247532352343,184320,0.0,0.0,135.05,0.0,0.0756198574943025,0.0,-0.3026910368755184,0.0,0.0,-7.837212951540392e-06,-133.60834346,0.649841024,0.0,-0.07378519571814715,-0.10674830625756088,-4.564917024716892e-05,-0.1508891925961403,-0.5648332052667853,-0.5647394933270539,-0.30269345407369797,0.00017361078062094748,-0.0003537132926598419,25.10368,0.00029981568,4.541362351841396,1.0009956359863281,0.2,169946,-3.363694667816162,0.2578125,1.1293048858642578,-34.0665955013699,0.044253916,-0.037745602480653256
